gene_id	pathway
TRINITY_DN1296_c0_g1	map00052
TRINITY_DN12997_c0_g1	map00052
TRINITY_DN13024_c0_g1	map00052
TRINITY_DN13470_c0_g1	map00052
TRINITY_DN13793_c0_g1	map00052
TRINITY_DN14106_c0_g1	map00052
TRINITY_DN14556_c0_g1	map00052
TRINITY_DN15838_c0_g1	map00052
TRINITY_DN15996_c0_g1	map00052
TRINITY_DN16050_c0_g1	map00052
TRINITY_DN16125_c0_g1	map00052
TRINITY_DN17879_c0_g1	map00052
TRINITY_DN2242_c0_g1	map00052
TRINITY_DN2349_c0_g1	map00052
TRINITY_DN243_c0_g1	map00052
TRINITY_DN3396_c0_g1	map00052
TRINITY_DN3417_c0_g1	map00052
TRINITY_DN352_c0_g1	map00052
TRINITY_DN361_c0_g1	map00052
TRINITY_DN370_c0_g1	map00052
TRINITY_DN4312_c0_g1	map00052
TRINITY_DN43_c0_g1	map00052
TRINITY_DN5176_c0_g1	map00052
TRINITY_DN5372_c0_g1	map00052
TRINITY_DN5563_c0_g1	map00052
TRINITY_DN5830_c0_g1	map00052
TRINITY_DN5922_c0_g1	map00052
TRINITY_DN6808_c0_g2	map00052
TRINITY_DN7515_c0_g2	map00052
TRINITY_DN786_c0_g1	map00052
TRINITY_DN8908_c0_g1	map00052
TRINITY_DN9077_c0_g1	map00052
TRINITY_DN9113_c0_g1	map00052
TRINITY_DN9563_c0_g1	map00052
TRINITY_DN9_c0_g2	map00052
TRINITY_DN10931_c0_g1	map00053
TRINITY_DN1115_c0_g1	map00053
TRINITY_DN12712_c0_g1	map00053
TRINITY_DN13175_c0_g1	map00053
TRINITY_DN16298_c0_g1	map00053
TRINITY_DN16322_c0_g1	map00053
TRINITY_DN1735_c0_g1	map00053
TRINITY_DN17854_c0_g1	map00053
TRINITY_DN17962_c7_g1	map00053
TRINITY_DN2794_c0_g1	map00053
TRINITY_DN2809_c1_g1	map00053
TRINITY_DN3804_c0_g1	map00053
TRINITY_DN4141_c0_g1	map00053
TRINITY_DN4680_c0_g1	map00053
TRINITY_DN4839_c0_g1	map00053
TRINITY_DN4938_c0_g1	map00053
TRINITY_DN4960_c0_g1	map00053
TRINITY_DN5019_c0_g1	map00053
TRINITY_DN9179_c0_g1	map00053
TRINITY_DN9630_c0_g1	map00053
TRINITY_DN12361_c0_g1	map00061
TRINITY_DN12480_c0_g1	map00061
TRINITY_DN12951_c0_g1	map00061
TRINITY_DN1387_c0_g1	map00061
TRINITY_DN15031_c0_g1	map00061
TRINITY_DN2279_c0_g1	map00061
TRINITY_DN2371_c0_g1	map00061
TRINITY_DN2900_c0_g1	map00061
TRINITY_DN3477_c0_g1	map00061
TRINITY_DN3991_c0_g1	map00061
TRINITY_DN4139_c0_g1	map00061
TRINITY_DN4895_c0_g1	map00061
TRINITY_DN651_c0_g1	map00061
TRINITY_DN661_c0_g1	map00061
TRINITY_DN694_c0_g1	map00061
TRINITY_DN8990_c0_g1	map00061
TRINITY_DN16252_c0_g1	map00062
TRINITY_DN1960_c0_g1	map00062
TRINITY_DN243_c0_g1	map00062
TRINITY_DN2564_c0_g1	map00062
TRINITY_DN2631_c0_g1	map00062
TRINITY_DN2839_c0_g1	map00062
TRINITY_DN3356_c0_g1	map00062
TRINITY_DN784_c0_g1	map00062
TRINITY_DN8903_c0_g1	map00062
TRINITY_DN10097_c0_g1	map00071
TRINITY_DN10931_c0_g1	map00071
TRINITY_DN11021_c0_g1	map00071
TRINITY_DN1115_c0_g1	map00071
TRINITY_DN12491_c0_g1	map00071
TRINITY_DN13175_c0_g1	map00071
TRINITY_DN14133_c0_g1	map00071
TRINITY_DN14166_c0_g1	map00071
TRINITY_DN14373_c0_g1	map00071
TRINITY_DN1474_c0_g1	map00071
TRINITY_DN14_c1_g1	map00071
TRINITY_DN15990_c0_g1	map00071
TRINITY_DN1620_c0_g1	map00071
TRINITY_DN1735_c0_g1	map00071
TRINITY_DN17611_c0_g1	map00071
TRINITY_DN1766_c0_g1	map00071
TRINITY_DN17962_c7_g1	map00071
TRINITY_DN17985_c0_g1	map00071
TRINITY_DN1915_c0_g1	map00071
TRINITY_DN2128_c0_g1	map00071
TRINITY_DN2378_c0_g1	map00071
TRINITY_DN2770_c0_g1	map00071
TRINITY_DN2794_c0_g1	map00071
TRINITY_DN2809_c1_g1	map00071
TRINITY_DN2931_c0_g1	map00071
TRINITY_DN305_c0_g1	map00071
TRINITY_DN3356_c0_g1	map00071
TRINITY_DN3896_c0_g1	map00071
TRINITY_DN4009_c0_g1	map00071
TRINITY_DN4287_c0_g1	map00071
TRINITY_DN4632_c0_g1	map00071
TRINITY_DN4839_c0_g1	map00071
TRINITY_DN4895_c0_g1	map00071
TRINITY_DN4938_c0_g1	map00071
TRINITY_DN4960_c0_g1	map00071
TRINITY_DN5019_c0_g1	map00071
TRINITY_DN5163_c0_g1	map00071
TRINITY_DN6487_c0_g1	map00071
TRINITY_DN651_c0_g1	map00071
TRINITY_DN661_c0_g1	map00071
TRINITY_DN8246_c0_g1	map00071
TRINITY_DN8246_c0_g2	map00071
TRINITY_DN8378_c0_g1	map00071
TRINITY_DN8903_c0_g1	map00071
TRINITY_DN8990_c0_g1	map00071
TRINITY_DN9198_c0_g1	map00071
TRINITY_DN1197_c0_g1	map00072
TRINITY_DN14573_c0_g1	map00072
TRINITY_DN1474_c0_g1	map00072
TRINITY_DN17790_c0_g1	map00072
TRINITY_DN1915_c0_g1	map00072
TRINITY_DN4862_c0_g1	map00072
TRINITY_DN8802_c0_g1	map00072
TRINITY_DN9198_c0_g1	map00072
TRINITY_DN10593_c0_g1	map00100
TRINITY_DN12496_c0_g1	map00100
TRINITY_DN1310_c0_g1	map00100
TRINITY_DN1381_c0_g1	map00100
TRINITY_DN1384_c0_g1	map00100
TRINITY_DN14158_c0_g1	map00100
TRINITY_DN14212_c0_g1	map00100
TRINITY_DN1690_c0_g1	map00100
TRINITY_DN17653_c0_g1	map00100
TRINITY_DN18164_c0_g1	map00100
TRINITY_DN18619_c0_g1	map00100
TRINITY_DN2087_c0_g1	map00100
TRINITY_DN2389_c0_g1	map00100
TRINITY_DN2447_c0_g2	map00100
TRINITY_DN2683_c0_g1	map00100
TRINITY_DN2684_c0_g1	map00100
TRINITY_DN3093_c0_g1	map00100
TRINITY_DN3828_c0_g1	map00100
TRINITY_DN3963_c0_g1	map00100
TRINITY_DN3999_c0_g1	map00100
TRINITY_DN4059_c0_g1	map00100
TRINITY_DN4193_c0_g1	map00100
TRINITY_DN4236_c0_g1	map00100
TRINITY_DN465_c0_g1	map00100
TRINITY_DN4772_c0_g1	map00100
TRINITY_DN4839_c0_g1	map00100
TRINITY_DN6655_c0_g1	map00100
TRINITY_DN6655_c0_g2	map00100
TRINITY_DN7_c0_g2	map00100
TRINITY_DN8657_c0_g1	map00100
TRINITY_DN8985_c0_g1	map00100
TRINITY_DN9413_c0_g1	map00100
TRINITY_DN988_c0_g1	map00100
TRINITY_DN10667_c0_g1	map00120
TRINITY_DN17860_c0_g1	map00120
TRINITY_DN17911_c0_g1	map00120
TRINITY_DN2839_c0_g1	map00120
TRINITY_DN3570_c0_g1	map00120
TRINITY_DN4449_c0_g1	map00120
TRINITY_DN5354_c0_g1	map00120
TRINITY_DN12464_c0_g1	map00130
TRINITY_DN1619_c0_g1	map00130
TRINITY_DN2145_c0_g1	map00130
TRINITY_DN2569_c0_g1	map00130
TRINITY_DN2790_c0_g1	map00130
TRINITY_DN3111_c0_g1	map00130
TRINITY_DN4684_c0_g1	map00130
TRINITY_DN5126_c0_g1	map00130
TRINITY_DN580_c0_g1	map00130
TRINITY_DN751_c0_g1	map00130
TRINITY_DN910_c0_g1	map00130
TRINITY_DN17860_c0_g1	map00140
TRINITY_DN17911_c0_g1	map00140
TRINITY_DN2384_c0_g1	map00140
TRINITY_DN243_c0_g1	map00140
TRINITY_DN2957_c0_g1	map00140
TRINITY_DN3570_c0_g1	map00140
TRINITY_DN4449_c0_g1	map00140
TRINITY_DN484_c0_g1	map00140
TRINITY_DN10855_c0_g1	map00190
TRINITY_DN1092_c0_g1	map00190
TRINITY_DN1151_c0_g1	map00190
TRINITY_DN1198_c0_g1	map00190
TRINITY_DN121_c0_g1	map00190
TRINITY_DN1228_c0_g1	map00190
TRINITY_DN123_c0_g1	map00190
TRINITY_DN12729_c0_g1	map00190
TRINITY_DN1283_c0_g1	map00190
TRINITY_DN1329_c0_g1	map00190
TRINITY_DN1430_c0_g1	map00190
TRINITY_DN1468_c0_g1	map00190
TRINITY_DN1564_c0_g1	map00190
TRINITY_DN160_c0_g1	map00190
TRINITY_DN1613_c0_g1	map00190
TRINITY_DN16577_c0_g1	map00190
TRINITY_DN1780_c0_g1	map00190
TRINITY_DN1824_c0_g1	map00190
TRINITY_DN18445_c0_g1	map00190
TRINITY_DN1880_c0_g1	map00190
TRINITY_DN1890_c0_g1	map00190
TRINITY_DN1920_c0_g1	map00190
TRINITY_DN1990_c1_g1	map00190
TRINITY_DN2084_c0_g1	map00190
TRINITY_DN2111_c0_g1	map00190
TRINITY_DN2112_c0_g1	map00190
TRINITY_DN2153_c0_g1	map00190
TRINITY_DN2210_c0_g1	map00190
TRINITY_DN2290_c0_g1	map00190
TRINITY_DN2312_c0_g1	map00190
TRINITY_DN2392_c0_g1	map00190
TRINITY_DN242_c0_g1	map00190
TRINITY_DN2683_c0_g1	map00190
TRINITY_DN2738_c0_g1	map00190
TRINITY_DN2855_c0_g1	map00190
TRINITY_DN2880_c0_g1	map00190
TRINITY_DN2936_c0_g1	map00190
TRINITY_DN3070_c0_g1	map00190
TRINITY_DN3075_c0_g1	map00190
TRINITY_DN3111_c0_g1	map00190
TRINITY_DN3116_c0_g1	map00190
TRINITY_DN3236_c0_g1	map00190
TRINITY_DN3240_c0_g1	map00190
TRINITY_DN3450_c0_g1	map00190
TRINITY_DN3548_c0_g1	map00190
TRINITY_DN3631_c0_g1	map00190
TRINITY_DN3696_c0_g1	map00190
TRINITY_DN3903_c0_g1	map00190
TRINITY_DN3947_c0_g1	map00190
TRINITY_DN395_c0_g1	map00190
TRINITY_DN3967_c0_g1	map00190
TRINITY_DN3985_c0_g1	map00190
TRINITY_DN4048_c0_g1	map00190
TRINITY_DN4160_c0_g1	map00190
TRINITY_DN420_c0_g1	map00190
TRINITY_DN4377_c0_g1	map00190
TRINITY_DN4603_c0_g1	map00190
TRINITY_DN4720_c0_g1	map00190
TRINITY_DN4818_c0_g1	map00190
TRINITY_DN4986_c0_g1	map00190
TRINITY_DN506_c0_g1	map00190
TRINITY_DN5210_c0_g1	map00190
TRINITY_DN579_c0_g1	map00190
TRINITY_DN5975_c0_g1	map00190
TRINITY_DN6302_c0_g1	map00190
TRINITY_DN7178_c0_g1	map00190
TRINITY_DN7600_c0_g1	map00190
TRINITY_DN7695_c0_g1	map00190
TRINITY_DN788_c0_g1	map00190
TRINITY_DN794_c0_g1	map00190
TRINITY_DN828_c0_g2	map00190
TRINITY_DN8457_c0_g1	map00190
TRINITY_DN92_c0_g1	map00190
TRINITY_DN985_c0_g1	map00190
TRINITY_DN990_c0_g1	map00190
TRINITY_DN10822_c0_g1	map00220
TRINITY_DN10865_c0_g1	map00220
TRINITY_DN10887_c0_g1	map00220
TRINITY_DN1135_c0_g1	map00220
TRINITY_DN12695_c0_g1	map00220
TRINITY_DN1269_c0_g1	map00220
TRINITY_DN13118_c0_g1	map00220
TRINITY_DN15871_c0_g1	map00220
TRINITY_DN1804_c0_g1	map00220
TRINITY_DN2033_c0_g1	map00220
TRINITY_DN2347_c0_g1	map00220
TRINITY_DN2609_c0_g1	map00220
TRINITY_DN2660_c0_g1	map00220
TRINITY_DN2730_c0_g1	map00220
TRINITY_DN3624_c0_g1	map00220
TRINITY_DN3652_c0_g1	map00220
TRINITY_DN3835_c0_g1	map00220
TRINITY_DN393_c0_g1	map00220
TRINITY_DN4175_c0_g1	map00220
TRINITY_DN4186_c0_g1	map00220
TRINITY_DN4340_c0_g1	map00220
TRINITY_DN4484_c0_g1	map00220
TRINITY_DN5135_c0_g1	map00220
TRINITY_DN5321_c1_g1	map00220
TRINITY_DN5682_c0_g1	map00220
TRINITY_DN607_c0_g1	map00220
TRINITY_DN664_c0_g1	map00220
TRINITY_DN99_c0_g1	map00220
TRINITY_DN1057_c0_g1	map00230
TRINITY_DN10646_c1_g1	map00230
TRINITY_DN10690_c0_g1	map00230
TRINITY_DN1107_c0_g1	map00230
TRINITY_DN11200_c0_g1	map00230
TRINITY_DN1120_c0_g1	map00230
TRINITY_DN1146_c0_g1	map00230
TRINITY_DN1157_c0_g1	map00230
TRINITY_DN1185_c0_g1	map00230
TRINITY_DN1193_c0_g1	map00230
TRINITY_DN1204_c0_g1	map00230
TRINITY_DN12460_c0_g1	map00230
TRINITY_DN12501_c0_g1	map00230
TRINITY_DN12573_c0_g1	map00230
TRINITY_DN12575_c0_g1	map00230
TRINITY_DN12773_c0_g1	map00230
TRINITY_DN134_c0_g1	map00230
TRINITY_DN1386_c0_g1	map00230
TRINITY_DN1390_c0_g1	map00230
TRINITY_DN14008_c0_g1	map00230
TRINITY_DN14217_c0_g1	map00230
TRINITY_DN1438_c0_g1	map00230
TRINITY_DN1442_c0_g1	map00230
TRINITY_DN1444_c0_g1	map00230
TRINITY_DN1503_c0_g1	map00230
TRINITY_DN1510_c0_g1	map00230
TRINITY_DN1531_c0_g1	map00230
TRINITY_DN1533_c0_g1	map00230
TRINITY_DN1566_c0_g1	map00230
TRINITY_DN16058_c0_g1	map00230
TRINITY_DN16075_c0_g1	map00230
TRINITY_DN1622_c0_g1	map00230
TRINITY_DN16303_c0_g1	map00230
TRINITY_DN1657_c0_g1	map00230
TRINITY_DN17587_c0_g1	map00230
TRINITY_DN17692_c0_g1	map00230
TRINITY_DN17822_c0_g1	map00230
TRINITY_DN178_c0_g1	map00230
TRINITY_DN183_c0_g1	map00230
TRINITY_DN1950_c0_g1	map00230
TRINITY_DN1952_c0_g1	map00230
TRINITY_DN1985_c0_g1	map00230
TRINITY_DN2065_c0_g1	map00230
TRINITY_DN2167_c0_g1	map00230
TRINITY_DN2275_c0_g1	map00230
TRINITY_DN2299_c0_g1	map00230
TRINITY_DN22_c0_g1	map00230
TRINITY_DN2304_c0_g1	map00230
TRINITY_DN238_c0_g1	map00230
TRINITY_DN2392_c0_g1	map00230
TRINITY_DN23_c0_g1	map00230
TRINITY_DN2444_c1_g1	map00230
TRINITY_DN2547_c0_g1	map00230
TRINITY_DN2568_c0_g1	map00230
TRINITY_DN2606_c0_g1	map00230
TRINITY_DN2609_c0_g1	map00230
TRINITY_DN2616_c0_g1	map00230
TRINITY_DN2653_c0_g1	map00230
TRINITY_DN2666_c0_g1	map00230
TRINITY_DN2734_c0_g1	map00230
TRINITY_DN294_c0_g1	map00230
TRINITY_DN3118_c0_g1	map00230
TRINITY_DN3154_c0_g1	map00230
TRINITY_DN3407_c0_g1	map00230
TRINITY_DN3456_c0_g1	map00230
TRINITY_DN345_c0_g2	map00230
TRINITY_DN34_c0_g1	map00230
TRINITY_DN3623_c0_g1	map00230
TRINITY_DN3659_c0_g1	map00230
TRINITY_DN3661_c0_g1	map00230
TRINITY_DN3665_c0_g1	map00230
TRINITY_DN3758_c0_g1	map00230
TRINITY_DN3849_c0_g1	map00230
TRINITY_DN3914_c0_g1	map00230
TRINITY_DN4077_c0_g1	map00230
TRINITY_DN4101_c0_g1	map00230
TRINITY_DN4205_c0_g1	map00230
TRINITY_DN4215_c0_g1	map00230
TRINITY_DN448_c0_g1	map00230
TRINITY_DN4716_c0_g1	map00230
TRINITY_DN480_c0_g1	map00230
TRINITY_DN4878_c0_g1	map00230
TRINITY_DN4893_c0_g1	map00230
TRINITY_DN489_c0_g1	map00230
TRINITY_DN4978_c0_g1	map00230
TRINITY_DN5134_c0_g1	map00230
TRINITY_DN5234_c0_g1	map00230
TRINITY_DN525_c0_g1	map00230
TRINITY_DN5345_c0_g1	map00230
TRINITY_DN5643_c1_g1	map00230
TRINITY_DN5830_c0_g1	map00230
TRINITY_DN597_c0_g1	map00230
TRINITY_DN614_c0_g1	map00230
TRINITY_DN6390_c0_g1	map00230
TRINITY_DN63_c0_g1	map00230
TRINITY_DN651_c1_g1	map00230
TRINITY_DN6810_c0_g1	map00230
TRINITY_DN6941_c0_g1	map00230
TRINITY_DN6998_c0_g1	map00230
TRINITY_DN742_c0_g1	map00230
TRINITY_DN75_c0_g1	map00230
TRINITY_DN804_c1_g1	map00230
TRINITY_DN8710_c0_g1	map00230
TRINITY_DN87_c0_g1	map00230
TRINITY_DN9039_c0_g1	map00230
TRINITY_DN909_c0_g1	map00230
TRINITY_DN911_c0_g1	map00230
TRINITY_DN9228_c0_g1	map00230
TRINITY_DN925_c0_g1	map00230
TRINITY_DN933_c0_g1	map00230
TRINITY_DN985_c0_g1	map00230
TRINITY_DN987_c0_g1	map00230
TRINITY_DN14008_c0_g1	map00232
TRINITY_DN6810_c0_g1	map00232
TRINITY_DN1029_c2_g1	map00240
TRINITY_DN1057_c0_g1	map00240
TRINITY_DN10690_c0_g1	map00240
TRINITY_DN1107_c0_g1	map00240
TRINITY_DN1146_c0_g1	map00240
TRINITY_DN1157_c0_g1	map00240
TRINITY_DN1185_c0_g1	map00240
TRINITY_DN1193_c0_g1	map00240
TRINITY_DN1204_c0_g1	map00240
TRINITY_DN1301_c0_g2	map00240
TRINITY_DN1315_c0_g1	map00240
TRINITY_DN1386_c0_g1	map00240
TRINITY_DN1406_c0_g1	map00240
TRINITY_DN14217_c0_g1	map00240
TRINITY_DN1430_c0_g1	map00240
TRINITY_DN1444_c0_g1	map00240
TRINITY_DN14718_c0_g1	map00240
TRINITY_DN1538_c0_g4	map00240
TRINITY_DN1574_c0_g1	map00240
TRINITY_DN16075_c0_g1	map00240
TRINITY_DN1615_c0_g1	map00240
TRINITY_DN1670_c0_g1	map00240
TRINITY_DN17692_c0_g1	map00240
TRINITY_DN17821_c0_g1	map00240
TRINITY_DN17822_c0_g1	map00240
TRINITY_DN1909_c0_g1	map00240
TRINITY_DN2075_c0_g1	map00240
TRINITY_DN2275_c0_g1	map00240
TRINITY_DN23_c0_g1	map00240
TRINITY_DN2547_c0_g1	map00240
TRINITY_DN2653_c0_g1	map00240
TRINITY_DN2681_c0_g1	map00240
TRINITY_DN2734_c0_g1	map00240
TRINITY_DN2821_c0_g1	map00240
TRINITY_DN294_c0_g1	map00240
TRINITY_DN3011_c0_g1	map00240
TRINITY_DN3154_c0_g1	map00240
TRINITY_DN3407_c0_g1	map00240
TRINITY_DN3456_c0_g1	map00240
TRINITY_DN345_c0_g2	map00240
TRINITY_DN34_c0_g1	map00240
TRINITY_DN3623_c0_g1	map00240
TRINITY_DN3665_c0_g1	map00240
TRINITY_DN36_c0_g1	map00240
TRINITY_DN3727_c0_g1	map00240
TRINITY_DN3758_c0_g1	map00240
TRINITY_DN379_c0_g1	map00240
TRINITY_DN4205_c0_g1	map00240
TRINITY_DN4215_c0_g1	map00240
TRINITY_DN422_c0_g1	map00240
