gene_id	protein_id	go_id	go_name	go_type	ontology
gene_36	1978596	GO:0046923	ER retention sequence binding	molecular_function	MF
gene_40	1978600	GO:0003824	catalytic activity	molecular_function	MF
gene_40	1978600	GO:0008152	metabolic process	biological_process	BP
gene_40	1978600	GO:0033814	propanoyl-CoA C-acyltransferase activity	molecular_function	MF
gene_41	1978601	GO:0003700	transcription factor activity	molecular_function	MF
gene_41	1978601	GO:0005634	nucleus	cellular_component	CC
gene_41	1978601	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_41	1978601	GO:0008270	zinc ion binding	molecular_function	MF
gene_41	1978601	GO:0003677	DNA binding	molecular_function	MF
gene_41	1978601	GO:0006350	transcription	biological_process	BP
gene_46	1978606	GO:0030001	metal ion transport	biological_process	BP
gene_46	1978606	GO:0046872	metal ion binding	molecular_function	MF
gene_50	1978610	GO:0003777	microtubule motor activity	molecular_function	MF
gene_50	1978610	GO:0005524	ATP binding	molecular_function	MF
gene_50	1978610	GO:0005875	microtubule associated complex	cellular_component	CC
gene_50	1978610	GO:0007018	microtubule-based movement	biological_process	BP
gene_52	1978612	GO:0003677	DNA binding	molecular_function	MF
gene_52	1978612	GO:0004518	nuclease activity	molecular_function	MF
gene_52	1978612	GO:0005515	protein binding	molecular_function	MF
gene_52	1978612	GO:0005634	nucleus	cellular_component	CC
gene_52	1978612	GO:0006259	DNA metabolic process	biological_process	BP
gene_52	1978612	GO:0008821	crossover junction endodeoxyribonuclease activity	molecular_function	MF
gene_53	1978613	GO:0004842	ubiquitin-protein ligase activity	molecular_function	MF
gene_53	1978613	GO:0006512	ubiquitin cycle	biological_process	BP
gene_53	1978613	GO:0008270	zinc ion binding	molecular_function	MF
gene_53	1978613	GO:0051438	regulation of ubiquitin-protein ligase activity	biological_process	BP
gene_53	1978613	GO:0051440	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	BP
gene_53	1978613	GO:0051443	positive regulation of ubiquitin-protein ligase activity	biological_process	BP
gene_53	1978613	GO:0051444	negative regulation of ubiquitin-protein ligase activity	biological_process	BP
gene_54	1978614	GO:0005740	mitochondrial envelope	cellular_component	CC
gene_54	1978614	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	BP
gene_54	1978614	GO:0008121	ubiquinol-cytochrome-c reductase activity	molecular_function	MF
gene_56	1978616	GO:0045437	uridine nucleosidase activity	molecular_function	MF
gene_57	1978617	GO:0045437	uridine nucleosidase activity	molecular_function	MF
gene_58	1978618	GO:0006281	DNA repair	biological_process	BP
gene_58	1978618	GO:0005622	intracellular	cellular_component	CC
gene_58	1978618	GO:0003720	telomerase activity	molecular_function	MF
gene_58	1978618	GO:0003724	RNA helicase activity	molecular_function	MF
gene_58	1978618	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	MF
gene_58	1978618	GO:0003896	DNA primase activity	molecular_function	MF
gene_58	1978618	GO:0004779	sulfate adenylyltransferase activity	molecular_function	MF
gene_58	1978618	GO:0008192	RNA guanylyltransferase activity	molecular_function	MF
gene_58	1978618	GO:0008193	tRNA guanylyltransferase activity	molecular_function	MF
gene_58	1978618	GO:0008905	mannose-phosphate guanylyltransferase activity	molecular_function	MF
gene_58	1978618	GO:0033677	DNA/RNA helicase activity	molecular_function	MF
gene_58	1978618	GO:0043338	CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase	molecular_function	MF
gene_58	1978618	GO:0043814	phospholactate guanylyltransferase activity	molecular_function	MF
gene_60	1978620	GO:0004222	metalloendopeptidase activity	molecular_function	MF
gene_60	1978620	GO:0006508	proteolysis	biological_process	BP
gene_60	1978620	GO:0004243	mitochondrial intermediate peptidase activity	molecular_function	MF
gene_62	1978622	GO:0005488	binding	molecular_function	MF
gene_62	1978622	GO:0005743	mitochondrial inner membrane	cellular_component	CC
gene_62	1978622	GO:0006810	transport	biological_process	BP
gene_66	1978626	GO:0003700	transcription factor activity	molecular_function	MF
gene_66	1978626	GO:0005634	nucleus	cellular_component	CC
gene_66	1978626	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_66	1978626	GO:0008270	zinc ion binding	molecular_function	MF
gene_67	1978627	GO:0004022	alcohol dehydrogenase activity	molecular_function	MF
gene_67	1978627	GO:0004023	alcohol dehydrogenase activity, metal ion-independent	molecular_function	MF
gene_67	1978627	GO:0004024	alcohol dehydrogenase activity, zinc-dependent	molecular_function	MF
gene_67	1978627	GO:0004025	alcohol dehydrogenase activity, iron-dependent	molecular_function	MF
gene_69	1978629	GO:0004784	superoxide dismutase activity	molecular_function	MF
gene_73	1978633	GO:0003676	nucleic acid binding	molecular_function	MF
gene_73	1978633	GO:0005622	intracellular	cellular_component	CC
gene_73	1978633	GO:0008270	zinc ion binding	molecular_function	MF
gene_74	1978634	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	MF
gene_74	1978634	GO:0034061	DNA polymerase activity	molecular_function	MF
gene_78	1978638	GO:0000166	nucleotide binding	molecular_function	MF
gene_78	1978638	GO:0017111	nucleoside-triphosphatase activity	molecular_function	MF
gene_78	1978638	GO:0003677	DNA binding	molecular_function	MF
gene_78	1978638	GO:0005524	ATP binding	molecular_function	MF
gene_80	1978640	GO:0016021	integral to membrane	cellular_component	CC
gene_82	1978642	GO:0003676	nucleic acid binding	molecular_function	MF
gene_82	1978642	GO:0005622	intracellular	cellular_component	CC
gene_82	1978642	GO:0008270	zinc ion binding	molecular_function	MF
gene_83	1978643	GO:0003846	2-acylglycerol O-acyltransferase activity	molecular_function	MF
gene_87	1978647	GO:0003702	RNA polymerase II transcription factor activity	molecular_function	MF
gene_87	1978647	GO:0005634	nucleus	cellular_component	CC
gene_87	1978647	GO:0006281	DNA repair	biological_process	BP
gene_87	1978647	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_88	1978648	GO:0016289	CoA hydrolase activity	molecular_function	MF
gene_88	1978648	GO:0016291	acyl-CoA thioesterase activity	molecular_function	MF
gene_89	1978649	GO:0003700	transcription factor activity	molecular_function	MF
gene_89	1978649	GO:0005634	nucleus	cellular_component	CC
gene_89	1978649	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_89	1978649	GO:0008270	zinc ion binding	molecular_function	MF
gene_89	1978649	GO:0003677	DNA binding	molecular_function	MF
gene_89	1978649	GO:0006350	transcription	biological_process	BP
gene_90	1978650	GO:0004497	monooxygenase activity	molecular_function	MF
gene_90	1978650	GO:0006118	electron transport	biological_process	BP
gene_90	1978650	GO:0006725	aromatic compound metabolic process	biological_process	BP
gene_90	1978650	GO:0008152	metabolic process	biological_process	BP
gene_90	1978650	GO:0016491	oxidoreductase activity	molecular_function	MF
gene_92	1978652	GO:0003700	transcription factor activity	molecular_function	MF
gene_92	1978652	GO:0005634	nucleus	cellular_component	CC
gene_92	1978652	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_92	1978652	GO:0008270	zinc ion binding	molecular_function	MF
gene_92	1978652	GO:0003677	DNA binding	molecular_function	MF
gene_92	1978652	GO:0006350	transcription	biological_process	BP
gene_94	1978654	GO:0008152	metabolic process	biological_process	BP
gene_94	1978654	GO:0016491	oxidoreductase activity	molecular_function	MF
gene_95	1978655	GO:0016020	membrane	cellular_component	CC
gene_100	1978660	GO:0005525	GTP binding	molecular_function	MF
gene_100	1978660	GO:0007264	small GTPase mediated signal transduction	biological_process	BP
gene_100	1978660	GO:0005622	intracellular	cellular_component	CC
gene_100	1978660	GO:0015031	protein transport	biological_process	BP
gene_101	1978661	GO:0004672	protein kinase activity	molecular_function	MF
gene_101	1978661	GO:0005524	ATP binding	molecular_function	MF
gene_101	1978661	GO:0006468	protein amino acid phosphorylation	biological_process	BP
gene_101	1978661	GO:0004674	protein serine/threonine kinase activity	molecular_function	MF
gene_101	1978661	GO:0004682	protein kinase CK2 activity	molecular_function	MF
gene_102	1978662	GO:0005524	ATP binding	molecular_function	MF
gene_102	1978662	GO:0006810	transport	biological_process	BP
gene_102	1978662	GO:0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	MF
gene_102	1978662	GO:0016020	membrane	cellular_component	CC
gene_102	1978662	GO:0006812	cation transport	biological_process	BP
gene_102	1978662	GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	MF
gene_102	1978662	GO:0005391	sodium:potassium-exchanging ATPase activity	molecular_function	MF
gene_105	1978665	GO:0006865	amino acid transport	biological_process	BP
gene_105	1978665	GO:0015171	amino acid transmembrane transporter activity	molecular_function	MF
gene_105	1978665	GO:0016020	membrane	cellular_component	CC
gene_105	1978665	GO:0016021	integral to membrane	cellular_component	CC
gene_105	1978665	GO:0006810	transport	biological_process	BP
gene_108	1978668	GO:0005488	binding	molecular_function	MF
gene_110	1978670	GO:0005783	endoplasmic reticulum	cellular_component	CC
gene_110	1978670	GO:0016021	integral to membrane	cellular_component	CC
gene_110	1978670	GO:0016125	sterol metabolic process	biological_process	BP
gene_110	1978670	GO:0047750	cholestenol delta-isomerase activity	molecular_function	MF
gene_111	1978671	GO:0003677	DNA binding	molecular_function	MF
gene_111	1978671	GO:0005634	nucleus	cellular_component	CC
gene_111	1978671	GO:0006350	transcription	biological_process	BP
gene_111	1978671	GO:0008270	zinc ion binding	molecular_function	MF
gene_112	1978672	GO:0000398	nuclear mRNA splicing, via spliceosome	biological_process	BP
gene_112	1978672	GO:0005681	spliceosome	cellular_component	CC
gene_113	1978673	GO:0000175	3'-5'-exoribonuclease activity	molecular_function	MF
gene_113	1978673	GO:0003723	RNA binding	molecular_function	MF
gene_113	1978673	GO:0006396	RNA processing	biological_process	BP
gene_114	1978674	GO:0005525	GTP binding	molecular_function	MF
gene_114	1978674	GO:0005622	intracellular	cellular_component	CC
gene_114	1978674	GO:0006886	intracellular protein transport	biological_process	BP
gene_114	1978674	GO:0050800	hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement	molecular_function	MF
gene_118	1978678	GO:0016021	integral to membrane	cellular_component	CC
gene_118	1978678	GO:0016192	vesicle-mediated transport	biological_process	BP
gene_118	1978678	GO:0006810	transport	biological_process	BP
gene_120	1978680	GO:0003676	nucleic acid binding	molecular_function	MF
gene_120	1978680	GO:0008168	methyltransferase activity	molecular_function	MF
gene_120	1978680	GO:0032259	methylation	biological_process	BP
gene_120	1978680	GO:0006479	protein amino acid methylation	biological_process	BP
gene_120	1978680	GO:0008276	protein methyltransferase activity	molecular_function	MF
gene_121	1978681	GO:0000166	nucleotide binding	molecular_function	MF
gene_121	1978681	GO:0004812	aminoacyl-tRNA ligase activity	molecular_function	MF
gene_121	1978681	GO:0005524	ATP binding	molecular_function	MF
gene_121	1978681	GO:0005737	cytoplasm	cellular_component	CC
gene_121	1978681	GO:0006412	translation	biological_process	BP
gene_121	1978681	GO:0006418	tRNA aminoacylation for protein translation	biological_process	BP
gene_121	1978681	GO:0004823	leucine-tRNA ligase activity	molecular_function	MF
gene_121	1978681	GO:0006429	leucyl-tRNA aminoacylation	biological_process	BP
gene_123	1978683	GO:0006865	amino acid transport	biological_process	BP
gene_123	1978683	GO:0015171	amino acid transmembrane transporter activity	molecular_function	MF
gene_123	1978683	GO:0016020	membrane	cellular_component	CC
gene_125	1978685	GO:0006118	electron transport	biological_process	BP
gene_125	1978685	GO:0016491	oxidoreductase activity	molecular_function	MF
gene_125	1978685	GO:0004128	cytochrome-b5 reductase activity	molecular_function	MF
gene_126	1978686	GO:0016773	phosphotransferase activity, alcohol group as acceptor	molecular_function	MF
gene_126	1978686	GO:0005488	binding	molecular_function	MF
gene_128	1978688	GO:0005524	ATP binding	molecular_function	MF
gene_128	1978688	GO:0016887	ATPase activity	molecular_function	MF
gene_128	1978688	GO:0000166	nucleotide binding	molecular_function	MF
gene_128	1978688	GO:0017111	nucleoside-triphosphatase activity	molecular_function	MF
gene_128	1978688	GO:0006810	transport	biological_process	BP
gene_128	1978688	GO:0016021	integral to membrane	cellular_component	CC
gene_128	1978688	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	molecular_function	MF
gene_128	1978688	GO:0015412	molybdate transmembrane-transporting ATPase activity	molecular_function	MF
gene_129	1978689	GO:0003700	transcription factor activity	molecular_function	MF
gene_129	1978689	GO:0005634	nucleus	cellular_component	CC
gene_129	1978689	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_129	1978689	GO:0008270	zinc ion binding	molecular_function	MF
gene_129	1978689	GO:0003677	DNA binding	molecular_function	MF
gene_129	1978689	GO:0006350	transcription	biological_process	BP
gene_129	1978689	GO:0008869	galactonate dehydratase activity	molecular_function	MF
gene_130	1978690	GO:0003677	DNA binding	molecular_function	MF
gene_130	1978690	GO:0005524	ATP binding	molecular_function	MF
gene_130	1978690	GO:0003676	nucleic acid binding	molecular_function	MF
gene_130	1978690	GO:0004386	helicase activity	molecular_function	MF
gene_131	1978691	GO:0003824	catalytic activity	molecular_function	MF
gene_131	1978691	GO:0008152	metabolic process	biological_process	BP
gene_131	1978691	GO:0050033	L-rhamnono-1,4-lactonase activity	molecular_function	MF
gene_134	1978694	GO:0015205	nucleobase transmembrane transporter activity	molecular_function	MF
gene_134	1978694	GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	biological_process	BP
gene_134	1978694	GO:0016020	membrane	cellular_component	CC
gene_136	1978696	GO:0003677	DNA binding	molecular_function	MF
gene_136	1978696	GO:0005634	nucleus	cellular_component	CC
gene_136	1978696	GO:0003700	transcription factor activity	molecular_function	MF
gene_136	1978696	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_136	1978696	GO:0043565	sequence-specific DNA binding	molecular_function	MF
gene_136	1978696	GO:0046983	protein dimerization activity	molecular_function	MF
gene_140	1978700	GO:0003676	nucleic acid binding	molecular_function	MF
gene_140	1978700	GO:0005634	nucleus	cellular_component	CC
gene_140	1978700	GO:0008270	zinc ion binding	molecular_function	MF
gene_143	1978703	GO:0003824	catalytic activity	molecular_function	MF
gene_145	1978705	GO:0005525	GTP binding	molecular_function	MF
gene_145	1978705	GO:0007264	small GTPase mediated signal transduction	biological_process	BP
gene_145	1978705	GO:0015031	protein transport	biological_process	BP
gene_145	1978705	GO:0005622	intracellular	cellular_component	CC
gene_149	1978709	GO:0003924	GTPase activity	molecular_function	MF
gene_149	1978709	GO:0005525	GTP binding	molecular_function	MF
gene_149	1978709	GO:0003747	translation release factor activity	molecular_function	MF
gene_149	1978709	GO:0006415	translational termination	biological_process	BP
gene_150	1978710	GO:0005737	cytoplasm	cellular_component	CC
gene_150	1978710	GO:0006629	lipid metabolic process	biological_process	BP
gene_150	1978710	GO:0016021	integral to membrane	cellular_component	CC
gene_150	1978710	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	MF
gene_151	1978711	GO:0003677	DNA binding	molecular_function	MF
gene_151	1978711	GO:0005524	ATP binding	molecular_function	MF
gene_151	1978711	GO:0003676	nucleic acid binding	molecular_function	MF
gene_151	1978711	GO:0004386	helicase activity	molecular_function	MF
gene_151	1978711	GO:0005515	protein binding	molecular_function	MF
gene_151	1978711	GO:0008270	zinc ion binding	molecular_function	MF
gene_151	1978711	GO:0005634	nucleus	cellular_component	CC
gene_152	1978712	GO:0003723	RNA binding	molecular_function	MF
gene_152	1978712	GO:0006396	RNA processing	biological_process	BP
gene_152	1978712	GO:0008173	RNA methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0003880	C-terminal protein carboxyl methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008169	C-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008170	N-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008171	O-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008172	S-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008174	mRNA methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008175	tRNA methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008276	protein methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008326	site-specific DNA-methyltransferase (cytosine-specific) activity	molecular_function	MF
gene_152	1978712	GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008649	rRNA methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0008650	rRNA (uridine-2'-O-)-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0009008	DNA-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0009383	rRNA (cytosine-C5-967)-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016205	selenocysteine methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016273	arginine N-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016274	protein-arginine N-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016278	lysine N-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016279	protein-lysine N-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016300	tRNA (uracil) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016423	tRNA (guanine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016424	tRNA (guanosine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016426	tRNA (adenine)-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016427	tRNA (cytosine)-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016431	tRNA (uridine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016433	rRNA (adenine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016434	rRNA (cytosine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016435	rRNA (guanine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0016436	rRNA (uridine) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0018423	protein-leucine O-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0018707	1-phenanthrol methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0019702	protein-arginine N5-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0030792	methylarsonite methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043770	demethylmenaquinone methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043776	cobalt-precorrin-6B C5-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043777	cobalt-precorrin-7 C15-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043780	cobalt-precorrin-5B C1-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043782	cobalt-precorrin-3 C17-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043790	dimethyladenosine transferase activity	molecular_function	MF
gene_152	1978712	GO:0043791	dimethylamine methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043803	hydroxyneurosporene-O-methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043827	tRNA (adenine-57, 58-N(1)-) methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043833	methylamine-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043834	trimethylamine methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043851	methanol-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	MF
gene_152	1978712	GO:0043852	monomethylamine methyltransferase activity	molecular_function	MF
gene_154	1978714	GO:0043565	sequence-specific DNA binding	molecular_function	MF
gene_154	1978714	GO:0003677	DNA binding	molecular_function	MF
gene_156	1978716	GO:0008152	metabolic process	biological_process	BP
gene_156	1978716	GO:0016846	carbon-sulfur lyase activity	molecular_function	MF
gene_158	1978718	GO:0006886	intracellular protein transport	biological_process	BP
gene_160	1978720	GO:0005515	protein binding	molecular_function	MF
gene_161	1978721	GO:0005488	binding	molecular_function	MF
gene_161	1978721	GO:0005743	mitochondrial inner membrane	cellular_component	CC
gene_161	1978721	GO:0006810	transport	biological_process	BP
gene_161	1978721	GO:0004427	inorganic diphosphatase activity	molecular_function	MF
gene_162	1978722	GO:0005515	protein binding	molecular_function	MF
gene_162	1978722	GO:0003723	RNA binding	molecular_function	MF
gene_162	1978722	GO:0003676	nucleic acid binding	molecular_function	MF
gene_167	1978727	GO:0003702	RNA polymerase II transcription factor activity	molecular_function	MF
gene_167	1978727	GO:0005667	transcription factor complex	cellular_component	CC
gene_167	1978727	GO:0006352	transcription initiation	biological_process	BP
gene_167	1978727	GO:0003677	DNA binding	molecular_function	MF
gene_168	1978728	GO:0004497	monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0005506	iron ion binding	molecular_function	MF
gene_168	1978728	GO:0006118	electron transport	biological_process	BP
gene_168	1978728	GO:0020037	heme binding	molecular_function	MF
gene_168	1978728	GO:0018585	fluorene oxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018586	mono-butyltin dioxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018587	limonene 8-monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018588	tri-n-butyltin dioxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018589	di-n-butyltin dioxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018590	methylsilanetriol hydroxylase activity	molecular_function	MF
gene_168	1978728	GO:0018591	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018592	4-nitrocatechol 4-monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018593	4-chlorophenoxyacetate monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018594	tert-butyl alcohol 2-monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018595	alpha-pinene monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018596	dimethylsilanediol hydroxylase activity	molecular_function	MF
gene_168	1978728	GO:0018597	ammonia monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018598	hydroxymethylsilanetriol oxidase activity	molecular_function	MF
gene_168	1978728	GO:0018599	2-hydroxyisobutyrate 3-monooxygenase activity	molecular_function	MF
gene_168	1978728	GO:0018600	alpha-pinene dehydrogenase activity	molecular_function	MF
gene_168	1978728	GO:0043823	spheroidene monooxygenase activity	molecular_function	MF
gene_173	1978733	GO:0006810	transport	biological_process	BP
gene_174	1978734	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	MF
gene_174	1978734	GO:0005975	carbohydrate metabolic process	biological_process	BP
gene_174	1978734	GO:0004568	chitinase activity	molecular_function	MF
gene_174	1978734	GO:0006032	chitin catabolic process	biological_process	BP
gene_174	1978734	GO:0008843	endochitinase activity	molecular_function	MF
gene_175	1978735	GO:0005524	ATP binding	molecular_function	MF
gene_175	1978735	GO:0016887	ATPase activity	molecular_function	MF
gene_175	1978735	GO:0000166	nucleotide binding	molecular_function	MF
gene_175	1978735	GO:0017111	nucleoside-triphosphatase activity	molecular_function	MF
gene_175	1978735	GO:0006810	transport	biological_process	BP
gene_175	1978735	GO:0016021	integral to membrane	cellular_component	CC
gene_175	1978735	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	molecular_function	MF
gene_175	1978735	GO:0015412	molybdate transmembrane-transporting ATPase activity	molecular_function	MF
