HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
AA7.hmm	458	mRNA_1700	490	1.1841599123237457e-87	5	458	48	485	0.9912663755458516	dbCAN
AA8.hmm	182	mRNA_1724	217	2.853246493107961e-53	1	180	32	210	0.989010989010989	dbCAN
GH18.hmm	296	mRNA_174	435	2.0148686679536032e-77	5	287	51	401	0.956081081081081	dbCAN
GT50.hmm	262	mRNA_1752	480	2.4789904783087865e-89	1	262	187	475	1.0	dbCAN
CE15.hmm	269	mRNA_1754	390	4.58242200923138e-86	1	268	41	360	0.9962825278810408	dbCAN
GH3.hmm	216	mRNA_1765	897	5.465283762139914e-51	3	202	60	274	0.925925925925926	dbCAN
GH31_1.hmm	447	mRNA_1786	957	6.894098592667861e-167	1	445	363	808	0.9955257270693512	dbCAN
GH55_2.hmm	740	mRNA_1800	1320	1.1752956845888424e-254	3	734	158	908	0.9891891891891892	dbCAN
GH18.hmm	296	mRNA_1826	431	1.1915810455902744e-74	3	288	42	399	0.9662162162162162	dbCAN
AA3_2.hmm	568	mRNA_1868	578	8.703864060609329e-147	2	567	8	572	0.9964788732394366	dbCAN
GT34.hmm	246	mRNA_187	495	4.207075686317045e-22	23	244	91	339	0.902439024390244	dbCAN
GH1.hmm	429	mRNA_1902	477	5.448120800457949e-155	4	425	2	472	0.9836829836829836	dbCAN
GH11.hmm	177	mRNA_1927	476	4.572352912204694e-53	5	174	298	468	0.96045197740113	dbCAN
GH51_1.hmm	472	mRNA_1939	512	1.0119586268645234e-162	4	471	18	509	0.9915254237288136	dbCAN
GH47.hmm	446	mRNA_2034	1185	2.837675703520028e-138	1	444	59	619	0.9955156950672646	dbCAN
GH47.hmm	446	mRNA_2060	656	1.3689593502511768e-153	1	446	136	629	1.0	dbCAN
GH45.hmm	198	mRNA_2072	230	3.3364662351805073e-90	1	197	28	228	0.9949494949494948	dbCAN
GH43_14.hmm	291	mRNA_2081	586	2.122991380065589e-137	1	291	21	320	1.0	dbCAN
CBM91.hmm	200	mRNA_2081	586	9.302647177195656e-26	10	185	361	561	0.88	dbCAN
CE4.hmm	130	mRNA_210	454	2.950077952902128e-28	10	125	165	290	0.8923076923076924	dbCAN
GH16_23.hmm	187	mRNA_2125	364	3.2794682633173687e-85	6	187	96	278	0.9732620320855616	dbCAN
GH64.hmm	367	mRNA_2126	673	1.7302960589311474e-109	1	367	53	434	1.0	dbCAN
GH92.hmm	491	mRNA_2155	924	6.362614087880525e-149	3	491	263	775	0.9959266802443992	dbCAN
GT39.hmm	223	mRNA_2222	758	1.2829804504382263e-68	2	223	79	317	0.9955156950672646	dbCAN
GH128.hmm	224	mRNA_2251	444	1.3952951499114093e-61	5	223	229	440	0.9776785714285714	dbCAN
GH17.hmm	311	mRNA_2318	440	2.716112095675719e-16	35	301	72	302	0.8585209003215434	dbCAN
GT66.hmm	693	mRNA_2370	754	2.602470767123895e-189	10	598	28	674	0.84992784992785	dbCAN
CE16.hmm	267	mRNA_2448	344	2.5407598458387323e-73	3	266	43	333	0.9887640449438202	dbCAN
GH13_40.hmm	359	mRNA_2533	608	2.0263418894872983e-175	1	359	35	393	1.0	dbCAN
GH5_11.hmm	335	mRNA_2667	417	4.670599014924376e-148	1	335	31	372	1.0	dbCAN
GH2_1.hmm	560	mRNA_2690	883	1.6905998147682116e-196	2	560	49	683	0.9982142857142856	dbCAN
GT22.hmm	389	mRNA_2694	785	3.322572299196447e-96	2	388	86	617	0.9948586118251928	dbCAN
GT2.hmm	170	mRNA_2743	438	2.6166843342439537e-19	26	103	197	277	0.4588235294117647	dbCAN
GH16_3.hmm	230	mRNA_2751	330	6.680095011642723e-47	2	230	55	328	0.9956521739130436	dbCAN
GH15.hmm	361	mRNA_278	703	9.108428923847619e-77	2	360	310	687	0.994459833795014	dbCAN
GH37.hmm	491	mRNA_2886	713	2.787200794621422e-156	2	489	67	644	0.9938900203665988	dbCAN
GT17.hmm	284	mRNA_2888	406	4.2809028861092774e-77	5	284	60	391	0.9859154929577464	dbCAN
AA1.hmm	358	mRNA_2937	727	7.016594128674212e-98	7	357	161	682	0.9804469273743016	dbCAN
GH78.hmm	504	mRNA_2942	739	1.5819085948253287e-57	136	503	275	691	0.7301587301587301	dbCAN
GH15.hmm	361	mRNA_2946	641	4.427276455349765e-78	11	358	61	460	0.96398891966759	dbCAN
CBM20.hmm	90	mRNA_2946	641	1.6825774256074488e-29	1	88	540	630	0.9777777777777776	dbCAN
GH13_1.hmm	306	mRNA_2947	628	3.2502122481876226e-134	1	306	57	361	1.0	dbCAN
CBM20.hmm	90	mRNA_2947	628	3.4099036038843697e-29	1	88	527	617	0.9777777777777776	dbCAN
AA9.hmm	220	mRNA_2958	230	2.776232155829326e-68	2	220	5	214	0.9954545454545456	dbCAN
GH18.hmm	296	mRNA_2960	357	4.328511910616249e-57	6	285	18	343	0.945945945945946	dbCAN
GH18.hmm	296	mRNA_2967	381	2.133277101352148e-49	32	285	24	357	0.8581081081081081	dbCAN
GH154.hmm	348	mRNA_297	679	5.469671532515465e-121	1	347	25	373	0.9971264367816092	dbCAN
GH16_18.hmm	158	mRNA_2975	400	1.0521627508752536e-69	2	158	71	227	0.9936708860759492	dbCAN
GH81.hmm	622	mRNA_3030	737	1.5597663727003836e-218	9	622	34	729	0.9871382636655948	dbCAN
GH47.hmm	446	mRNA_3037	525	2.938219274993284e-129	1	445	46	519	0.9977578475336324	dbCAN
AA2.hmm	255	mRNA_3059	310	2.37401984103857e-53	7	253	24	276	0.9686274509803922	dbCAN
AA2.hmm	255	mRNA_3065	805	5.929291556662089e-18	14	115	130	232	0.4	dbCAN
GH17.hmm	311	mRNA_3262	300	4.8644755392577755e-39	1	311	22	300	1.0	dbCAN
GT39.hmm	223	mRNA_3298	979	4.976103692731412e-68	2	223	58	303	0.9955156950672646	dbCAN
GH3.hmm	216	mRNA_3307	877	3.326764666955732e-63	3	216	33	248	0.9907407407407408	dbCAN
GH43_1.hmm	307	mRNA_3338	338	5.853025862152376e-156	1	307	4	329	1.0	dbCAN
GH76.hmm	358	mRNA_336	652	8.925775657255086e-110	8	351	209	596	0.9608938547486032	dbCAN
GH76.hmm	358	mRNA_3380	643	3.9113793100198147e-101	9	355	39	415	0.9692737430167596	dbCAN
CBM52.hmm	52	mRNA_3394	253	4.294644182021594e-25	1	51	22	72	0.9807692307692308	dbCAN
AA9.hmm	220	mRNA_3418	257	1.8975570225402633e-54	3	218	9	228	0.9818181818181818	dbCAN
GT71.hmm	264	mRNA_3431	624	8.234311756040628e-63	2	264	218	447	0.9962121212121212	dbCAN
AA7.hmm	458	mRNA_3442	483	3.1245961601349444e-72	3	450	35	451	0.9781659388646288	dbCAN
GT61.hmm	119	mRNA_3458	533	1.2421448423950911e-20	39	115	356	433	0.6470588235294118	dbCAN
GT90.hmm	250	mRNA_3466	638	1.1424404980755465e-61	3	248	313	622	0.984	dbCAN
CE5.hmm	189	mRNA_3477	224	2.3550839936081545e-35	4	188	30	222	0.9788359788359788	dbCAN
GT1.hmm	382	mRNA_3529	878	3.223730161474557e-49	193	380	326	556	0.4921465968586387	dbCAN
GH37.hmm	491	mRNA_3564	754	9.323417986683681e-150	2	490	155	714	0.9959266802443992	dbCAN
AA7.hmm	458	mRNA_3579	475	2.6762810958863264e-74	6	229	41	269	0.4890829694323144	dbCAN
GH47.hmm	446	mRNA_3591	761	6.39641138588415e-163	1	446	236	731	1.0	dbCAN
GH3.hmm	216	mRNA_3594	848	5.384723913661652e-59	3	215	137	352	0.9861111111111112	dbCAN
GH5_5.hmm	282	mRNA_3643	385	5.962958199882597e-94	1	280	21	325	0.9929078014184396	dbCAN
AA3.hmm	618	mRNA_3659	1414	7.495120041187139e-45	76	403	148	720	0.5307443365695793	dbCAN
GT69.hmm	239	mRNA_3677	428	6.090809891642871e-66	1	238	116	355	0.99581589958159	dbCAN
GH16_18.hmm	158	mRNA_3714	576	6.820466048943209e-64	2	158	73	229	0.9936708860759492	dbCAN
GH16_1.hmm	229	mRNA_372	375	1.1831461168425359e-79	3	223	102	346	0.965065502183406	dbCAN
GH16_4.hmm	316	mRNA_3724	508	7.817727988787129e-111	1	316	175	500	1.0	dbCAN
GT2.hmm	197	mRNA_3725	914	6.960470266912053e-51	1	196	531	736	0.9949238578680204	dbCAN
GH3.hmm	216	mRNA_3731	993	2.29571359676744e-61	7	216	183	395	0.9722222222222222	dbCAN
GH55_2.hmm	740	mRNA_3766	887	3.8212377641267283e-277	3	698	24	754	0.9405405405405406	dbCAN
GT4.hmm	160	mRNA_3796	569	3.441318179896012e-34	6	147	286	425	0.8875	dbCAN
AA9.hmm	220	mRNA_3826	247	1.328396191787602e-68	2	219	5	225	0.990909090909091	dbCAN
AA1_3.hmm	312	mRNA_3867	680	2.1320580635107225e-117	1	304	62	380	0.9743589743589745	dbCAN
AA7.hmm	458	mRNA_388	668	2.5619918033782777e-49	10	199	195	389	0.4148471615720524	dbCAN
GT69.hmm	239	mRNA_3900	450	1.7409066275590277e-74	2	238	56	334	0.99163179916318	dbCAN
GH16_1.hmm	229	mRNA_394	858	7.540187565643729e-65	3	228	65	312	0.9868995633187772	dbCAN
GH76.hmm	358	mRNA_3958	459	2.167143793938905e-108	10	354	30	400	0.9636871508379888	dbCAN
GH5_24.hmm	314	mRNA_3977	415	1.570358911291727e-166	1	313	65	378	0.9968152866242038	dbCAN
GT2.hmm	197	mRNA_3987	655	1.2671366014478843e-20	1	182	263	542	0.9238578680203046	dbCAN
GT32.hmm	90	mRNA_4024	385	1.56025459640393e-18	5	89	129	211	0.9444444444444444	dbCAN
GT69.hmm	239	mRNA_4069	556	2.349153981800804e-74	1	238	150	426	0.99581589958159	dbCAN
GH35.hmm	307	mRNA_4071	575	3.7857404994008814e-31	1	189	21	222	0.6156351791530945	dbCAN
GH5_5.hmm	282	mRNA_4140	453	1.2483813397944167e-76	2	281	23	317	0.9929078014184396	dbCAN
GH16_3.hmm	230	mRNA_4183	288	1.5353406082791532e-51	1	230	31	286	1.0	dbCAN
GH18.hmm	296	mRNA_4195	621	5.9436442312992726e-21	4	203	23	271	0.6756756756756757	dbCAN
GT76.hmm	407	mRNA_4211	490	1.40471163736988e-104	5	407	28	490	0.9901719901719902	dbCAN
AA8.hmm	182	mRNA_4265	480	4.754457696750236e-19	15	175	14	173	0.8846153846153846	dbCAN
GT4.hmm	160	mRNA_4286	511	1.8322782656414728e-32	9	149	257	424	0.88125	dbCAN
GH31.hmm	427	mRNA_4325	809	1.1721098051050818e-67	6	427	262	692	0.9882903981264636	dbCAN
AA9.hmm	220	mRNA_4330	325	1.371585528846198e-54	3	219	10	234	0.9863636363636364	dbCAN
GT4.hmm	160	mRNA_4381	583	4.142400542383827e-24	5	150	381	544	0.9125	dbCAN
GT2.hmm	163	mRNA_4386	927	2.8576254944555693e-74	1	163	263	425	1.0	dbCAN
GT2.hmm	527	mRNA_4386	927	7.299084126887839e-18	204	430	403	636	0.4307400379506641	dbCAN
GT32.hmm	90	mRNA_4407	406	5.694769808173682e-16	3	87	107	186	0.9444444444444444	dbCAN
AA11.hmm	191	mRNA_4465	367	1.839982505514706e-61	17	186	2	174	0.8900523560209425	dbCAN
GT39.hmm	223	mRNA_4470	775	8.419601985424827e-70	2	223	64	308	0.9955156950672646	dbCAN
GH20.hmm	337	mRNA_4490	639	2.3772184882765183e-85	7	336	237	582	0.9792284866468842	dbCAN
GH16_18.hmm	158	mRNA_4493	362	3.350718670343627e-68	2	158	73	229	0.9936708860759492	dbCAN
CE8.hmm	288	mRNA_4603	2312	6.325743829586842e-19	4	264	92	348	0.90625	dbCAN
CE8.hmm	288	mRNA_4603	2312	7.909024441441401e-50	3	276	458	741	0.9513888888888888	dbCAN
CE8.hmm	288	mRNA_4603	2312	1.1508297260743544e-66	8	286	804	1096	0.96875	dbCAN
CE8.hmm	288	mRNA_4603	2312	7.217962232431412e-59	3	270	1149	1432	0.9305555555555556	dbCAN
CE8.hmm	288	mRNA_4603	2312	3.0553166720220813e-64	6	286	1511	1804	0.9756944444444444	dbCAN
GH105.hmm	332	mRNA_4614	383	3.0443014199388325e-102	8	332	47	380	0.9789156626506024	dbCAN
GH5_15.hmm	300	mRNA_4682	418	1.1573235846808759e-132	1	300	97	396	1.0	dbCAN
GH12.hmm	156	mRNA_4692	330	4.8407313727673455e-24	10	156	176	327	0.9423076923076924	dbCAN
GT2.hmm	230	mRNA_4693	830	1.284649518966833e-18	2	229	306	539	0.991304347826087	dbCAN
GT20.hmm	475	mRNA_4721	949	8.394243082467502e-157	33	475	173	624	0.9326315789473684	dbCAN
GH51_2.hmm	435	mRNA_4724	631	2.6703717060201787e-115	4	434	201	629	0.9908045977011494	dbCAN
GH13.hmm	299	mRNA_4731	682	3.0757013543601104e-30	12	293	207	546	0.94314381270903	dbCAN
GT57.hmm	481	mRNA_4738	597	3.969911769101235e-88	3	229	76	307	0.4719334719334719	dbCAN
GT57.hmm	481	mRNA_4738	597	9.781297963713939e-55	227	480	346	575	0.5280665280665281	dbCAN
GH154.hmm	348	mRNA_4754	724	2.628153656167836e-118	1	348	14	399	1.0	dbCAN
GH88.hmm	329	mRNA_4755	502	5.040558920428281e-80	2	324	87	491	0.9817629179331308	dbCAN
GH188.hmm	259	mRNA_4763	349	2.5390149391682823e-16	3	192	4	209	0.7335907335907336	dbCAN
GH188.hmm	259	mRNA_4764	364	1.3933853674068071e-23	1	233	8	244	0.8996138996138996	dbCAN
GH188.hmm	259	mRNA_4766	349	1.0300866257389102e-24	2	258	7	260	0.9922779922779924	dbCAN
GT22.hmm	389	mRNA_4798	607	9.71346628111555e-81	2	359	8	404	0.9203084832904884	dbCAN
GH76.hmm	358	mRNA_482	651	1.762069377684421e-56	49	336	86	525	0.8044692737430168	dbCAN
GH38.hmm	269	mRNA_4849	1109	1.7435702780171898e-83	2	258	287	547	0.9553903345724908	dbCAN
CBM38.hmm	129	mRNA_4862	680	2.543858754630536e-34	2	129	40	168	0.992248062015504	dbCAN
GH32.hmm	293	mRNA_4862	680	2.4130019024911124e-80	1	287	224	517	0.9795221843003412	dbCAN
AA3_2.hmm	568	mRNA_4913	551	1.363044022129462e-134	2	568	13	543	0.9982394366197184	dbCAN
GH17.hmm	311	mRNA_4916	812	3.5792817465115834e-27	10	306	530	799	0.954983922829582	dbCAN
GH43_11.hmm	292	mRNA_5037	576	2.029027836236508e-135	1	292	4	305	1.0	dbCAN
CBM91.hmm	200	mRNA_5037	576	7.9974588285101e-38	10	199	354	567	0.95	dbCAN
CE16.hmm	267	mRNA_5062	354	1.0478608720583583e-64	1	266	34	339	0.99625468164794	dbCAN
AA1.hmm	358	mRNA_5065	647	4.776441114836603e-47	8	169	73	249	0.4525139664804469	dbCAN
AA1.hmm	358	mRNA_5065	647	3.598929654614157e-27	182	358	335	626	0.494413407821229	dbCAN
GH76.hmm	358	mRNA_5066	468	1.7711228777754148e-82	10	355	33	415	0.9664804469273744	dbCAN
GT2.hmm	170	mRNA_5116	241	7.65032360101205e-36	1	170	10	180	1.0	dbCAN
GT34.hmm	246	mRNA_5129	357	7.659913217314159e-70	2	241	114	339	0.975609756097561	dbCAN
CE4.hmm	130	mRNA_5160	243	1.213596396057505e-24	5	128	33	176	0.953846153846154	dbCAN
GH125.hmm	402	mRNA_5169	539	1.4431067634562713e-152	1	402	73	523	1.0	dbCAN
AA4.hmm	522	mRNA_5184	599	2.290462408911921e-21	7	248	124	358	0.4636015325670498	dbCAN
AA6.hmm	195	mRNA_5195	203	4.424608367643954e-84	1	195	4	201	1.0	dbCAN
AA9.hmm	220	mRNA_532	378	3.8222697158208837e-47	3	220	10	252	0.990909090909091	dbCAN
CBM67.hmm	176	mRNA_5345	935	2.7285604911746506e-21	15	167	146	307	0.8693181818181818	dbCAN
GH78.hmm	504	mRNA_5345	935	6.334623650836373e-159	3	504	336	878	0.996031746031746	dbCAN
GT62.hmm	268	mRNA_5359	373	4.124662959284234e-101	5	268	75	339	0.9850746268656716	dbCAN
GH16_1.hmm	229	mRNA_5363	355	1.8828952835869813e-82	3	228	61	298	0.9868995633187772	dbCAN
GT34.hmm	246	mRNA_5364	471	3.187393744213837e-85	2	245	170	432	0.991869918699187	dbCAN
GH16_19.hmm	174	mRNA_5399	451	4.366416242333906e-78	7	174	106	272	0.9655172413793104	dbCAN
GT15.hmm	273	mRNA_5406	507	3.3402451574438785e-125	1	272	121	426	0.9963369963369964	dbCAN
AA9.hmm	220	mRNA_5422	224	9.566585711063019e-55	2	220	8	210	0.9954545454545456	dbCAN
GT32.hmm	90	mRNA_5424	526	1.9319813430077936e-17	4	89	159	246	0.9555555555555556	dbCAN
CE1.hmm	227	mRNA_5439	313	9.71068656385544e-18	6	185	31	237	0.7929515418502202	dbCAN
GH5_5.hmm	282	mRNA_5443	349	1.2506426782008404e-111	1	282	49	327	1.0	dbCAN
GT2.hmm	527	mRNA_545	1884	1.128712313090624e-246	2	527	1211	1718	0.9981024667931688	dbCAN
GT2.hmm	527	mRNA_546	1829	3.5696216096366645e-225	2	525	1089	1597	0.9943074003795066	dbCAN
GH6.hmm	294	mRNA_549	398	6.373831884752889e-84	9	290	67	359	0.9591836734693876	dbCAN
GH18.hmm	296	mRNA_5497	1183	6.887736923540264e-69	4	288	117	466	0.9628378378378378	dbCAN
GT33.hmm	425	mRNA_5532	481	1.9199769842957663e-132	3	424	35	472	0.9929411764705882	dbCAN
GT22.hmm	389	mRNA_5540	614	9.539566766273744e-98	2	389	36	476	0.9974293059125964	dbCAN
GT59.hmm	404	mRNA_5552	802	1.735264090871916e-128	3	404	148	745	0.995049504950495	dbCAN
GH47.hmm	446	mRNA_5560	625	1.1387849234875242e-165	2	446	126	622	0.9977578475336324	dbCAN
GH92.hmm	491	mRNA_5584	827	7.744015047694513e-162	4	490	287	809	0.9918533604887984	dbCAN
GT3.hmm	637	mRNA_559	704	1.4396753048173923e-304	1	637	19	655	1.0	dbCAN
GT15.hmm	273	mRNA_5597	429	1.5167790680391116e-126	1	272	107	377	0.9963369963369964	dbCAN
GT58.hmm	364	mRNA_5609	485	1.1903497571667647e-136	2	364	70	449	0.9972527472527472	dbCAN
GH28.hmm	325	mRNA_5612	441	4.5883533994540175e-48	6	321	63	374	0.9723076923076924	dbCAN
GH3.hmm	216	mRNA_5659	797	2.159942859267595e-63	4	216	89	302	0.9861111111111112	dbCAN
GT61.hmm	119	mRNA_5664	419	8.896378523743735e-24	5	115	164	287	0.9327731092436976	dbCAN
GH7.hmm	415	mRNA_5676	468	2.3990429188346066e-143	1	414	22	464	0.9975903614457832	dbCAN
GH28.hmm	325	mRNA_5694	461	6.205480606925371e-69	8	319	95	443	0.96	dbCAN
GH76.hmm	358	mRNA_5697	468	1.1659045194035943e-100	11	355	26	399	0.9636871508379888	dbCAN
GH115.hmm	697	mRNA_5712	1102	1.5297161454790848e-226	2	597	36	757	0.8550932568149211	dbCAN
GH3.hmm	216	mRNA_5900	865	1.0058167785366309e-59	4	216	32	250	0.9861111111111112	dbCAN
GT15.hmm	273	mRNA_592	394	6.622644862110819e-120	1	272	74	352	0.9963369963369964	dbCAN
AA7.hmm	458	mRNA_5958	498	7.032815553526971e-55	4	210	59	264	0.4519650655021834	dbCAN
GH47.hmm	446	mRNA_5971	646	7.349058975047492e-153	2	446	130	643	0.9977578475336324	dbCAN
AA3_3.hmm	590	mRNA_5980	666	1.3371676852685489e-251	1	590	5	641	1.0	dbCAN
GT2.hmm	527	mRNA_6023	1228	1.1878469713961685e-291	2	527	661	1185	0.9981024667931688	dbCAN
GH81.hmm	622	mRNA_6066	784	3.944425721854514e-181	4	622	24	777	0.995176848874598	dbCAN
GT8.hmm	257	mRNA_6091	720	1.2944815095109924e-41	31	253	10	222	0.867704280155642	dbCAN
GH2_10.hmm	819	mRNA_6122	1130	6.879915282793731e-266	6	818	47	1001	0.9926739926739928	dbCAN
GH16_22.hmm	216	mRNA_6136	283	7.738190645490464e-75	2	208	34	250	0.9583333333333334	dbCAN
GH18.hmm	296	mRNA_6137	1482	4.825427361311939e-47	5	285	515	878	0.9493243243243245	dbCAN
GH28.hmm	325	mRNA_616	457	8.056446322260041e-47	10	320	70	377	0.9569230769230768	dbCAN
GH2_13.hmm	665	mRNA_6171	916	1.3258419916290437e-243	2	657	38	777	0.9864661654135338	dbCAN
GT2.hmm	230	mRNA_6194	509	1.8403933612713848e-24	3	229	69	307	0.9869565217391304	dbCAN
AA7.hmm	458	mRNA_6200	627	5.931490182076539e-19	12	200	194	389	0.4126637554585153	dbCAN
GT22.hmm	389	mRNA_6236	505	8.165032129981696e-72	18	386	4	382	0.948586118251928	dbCAN
GT4.hmm	160	mRNA_6247	691	2.3636386719603886e-31	9	159	454	621	0.94375	dbCAN
AA9.hmm	220	mRNA_631	230	1.8077990848056944e-71	4	219	7	214	0.9818181818181818	dbCAN
GH3.hmm	216	mRNA_6311	834	1.3125175178021743e-64	3	216	32	244	0.9907407407407408	dbCAN
GH63.hmm	570	mRNA_6341	824	1.1097707162160946e-26	319	565	596	810	0.4333333333333333	dbCAN
GT21.hmm	233	mRNA_6354	531	5.854934422031849e-79	1	233	75	370	1.0	dbCAN
CE12.hmm	210	mRNA_636	268	3.796327877306534e-38	1	210	18	235	1.0	dbCAN
CE12.hmm	210	mRNA_6360	400	4.444459567716162e-34	3	208	142	351	0.9809523809523808	dbCAN
GH43_26.hmm	294	mRNA_6383	383	6.00969310149316e-73	4	286	5	309	0.9625850340136054	dbCAN
AA1_3.hmm	312	mRNA_6443	587	1.4027115010379623e-127	1	310	54	365	0.9935897435897436	dbCAN
GH7.hmm	415	mRNA_648	456	2.6368347000962663e-193	1	414	19	452	0.9975903614457832	dbCAN
AA1_2.hmm	337	mRNA_6483	608	1.3657429874234792e-145	1	335	40	376	0.9940652818991098	dbCAN
AA3_1.hmm	548	mRNA_6541	637	2.923130222134106e-237	7	547	44	586	0.9872262773722628	dbCAN
GH72.hmm	312	mRNA_6562	450	1.6001327348304345e-118	3	311	35	334	0.9903846153846154	dbCAN
CE1.hmm	227	mRNA_6609	295	3.9607740604934765e-49	1	224	23	291	0.986784140969163	dbCAN
AA3.hmm	618	mRNA_6637	821	1.0423273099348711e-47	74	395	241	815	0.5210355987055016	dbCAN
GH125.hmm	402	mRNA_6647	601	1.265434328380998e-151	1	402	87	586	1.0	dbCAN
GH92.hmm	491	mRNA_6652	880	7.516265333582484e-160	3	490	323	862	0.9938900203665988	dbCAN
GH55_2.hmm	740	mRNA_6653	769	4.274742376743479e-264	5	740	17	766	0.9945945945945946	dbCAN
AA7.hmm	458	mRNA_6729	559	3.519499343459003e-24	4	195	31	222	0.4192139737991266	dbCAN
GT48.hmm	739	mRNA_6758	1944	0.0	1	733	870	1651	0.9918809201623816	dbCAN
GH18.hmm	296	mRNA_6769	522	1.788962292689082e-28	3	204	32	289	0.6824324324324325	dbCAN
GH16_3.hmm	230	mRNA_6789	285	8.17498677601141e-48	1	228	33	280	0.991304347826087	dbCAN
GH128.hmm	224	mRNA_6791	326	1.8694659353671448e-62	4	224	46	284	0.9866071428571428	dbCAN
GH18.hmm	296	mRNA_6797	440	5.97796813481173e-17	24	198	45	260	0.5912162162162162	dbCAN
GH72.hmm	312	mRNA_6892	478	2.415593377808491e-118	3	312	16	331	0.9935897435897436	dbCAN
AA4.hmm	522	mRNA_6924	590	3.770943066373073e-21	3	249	112	352	0.4731800766283525	dbCAN
AA9.hmm	220	mRNA_7022	343	9.149116129671216e-62	2	219	7	232	0.990909090909091	dbCAN
