Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
AA16_e2	AA16:6	-	cellulose	171	mRNA_1512	197	4.182858998324814e-83	1	171	20	188	1.0	dbCAN-sub
GH3_e223	GH3:90;CBM1:15;CE16:3	3.2.1.21:16;3.2.1.-:3	beta-glucan;xyloglucan	207	mRNA_1559	733	4.679697295522165e-111	2	207	74	279	0.9951690821256038	dbCAN-sub
GH131_e4	GH131:11	-	beta-glucan	258	mRNA_1562	287	8.247805135574817e-125	1	258	25	283	1.0	dbCAN-sub
AA3_e44	AA3:76;AA3_2:7	-	-	619	mRNA_1572	680	3.1315269550459367e-277	1	618	49	674	0.9983844911147012	dbCAN-sub
GH28_e75	GH28:2162;CBM1:1	3.2.1.15:80	pectin	315	mRNA_1575	379	3.583253511012702e-144	2	314	56	372	0.9936507936507936	dbCAN-sub
GT4_e4041	GT4:21;AA3_2:1	-	-	156	mRNA_1588	601	1.958913164809121e-68	1	156	288	443	1.0	dbCAN-sub
GH132_e1	GH132:219	-	beta-glucan	269	mRNA_164	590	8.590714756757514e-110	4	269	121	377	0.9888475836431226	dbCAN-sub
GH72_e5	GH72:123;CBM43:121	2.4.1.-:3	beta-glucan	309	mRNA_1666	542	5.007322411390734e-149	2	309	25	333	0.9967637540453076	dbCAN-sub
CBM43_e30	CBM43:536;GH72:534	2.4.1.-:33	-	85	mRNA_1666	542	1.1265132331374015e-26	1	84	383	469	0.9882352941176472	dbCAN-sub
GH3_e32	GH3:167;GH134:1	3.2.1.21:10;3.2.1.37:4	beta-glucan;xylan	215	mRNA_1687	809	2.147924131057552e-95	1	215	104	331	1.0	dbCAN-sub
AA7_e5	AA7:20;CBM1:1	1.1.3.-:2	xylan	438	mRNA_1700	490	1.3809437836378754e-200	1	437	49	485	0.997716894977169	dbCAN-sub
AA8_e3	AA8:7	-	lignin	179	mRNA_1724	217	5.460946625367541e-78	2	178	34	210	0.988826815642458	dbCAN-sub
GH18_e272	GH18:958;CBM50:6	3.2.1.14:58	chitin	351	mRNA_174	435	1.85341714466878e-166	3	351	53	401	0.9943019943019944	dbCAN-sub
GT50_e0	GT50:306	2.4.1.-:14	-	252	mRNA_1752	480	1.5596378850299328e-99	1	251	188	475	0.996031746031746	dbCAN-sub
CE15_e22	CE15:53;CBM1:11;CBM60:7;CBM10:6;CBM2:4;CBM22:1;CE1:1	3.1.1.-:10	-	325	mRNA_1754	390	8.732695488228028e-146	1	325	42	361	1.0	dbCAN-sub
GH3_e88	GH3:482	3.2.1.21:1;3.2.1.37:15;3.2.1.55:3	beta-glucan;xylan;arabinan	228	mRNA_1765	897	1.4101695371881165e-61	2	223	62	284	0.9736842105263158	dbCAN-sub
GH31_e39	GH31:687;GH18:1	3.2.1.20:27;3.2.1.84:26	alpha-glucan;alpha-glucan	446	mRNA_1786	957	1.949916506319822e-220	1	444	364	809	0.9955156950672646	dbCAN-sub
GH55_e7	GH55:7	-	-	556	mRNA_1800	1320	3.622813454476813e-259	1	555	343	906	0.9982014388489208	dbCAN-sub
GH18_e272	GH18:958;CBM50:6	3.2.1.14:58	chitin	351	mRNA_1826	431	1.27151351603081e-157	1	351	44	398	1.0	dbCAN-sub
AA3_e28	AA3_2:42;AA3:1	-	-	565	mRNA_1868	578	2.5384562080798133e-291	1	564	9	572	0.9982300884955752	dbCAN-sub
GT34_e16	GT34:5	-	-	192	mRNA_187	495	4.537212949179618e-41	2	159	93	275	0.8229166666666666	dbCAN-sub
GH1_e105	GH1:93	3.2.1.21:13	beta-glucan	468	mRNA_1902	477	9.314276813018652e-265	1	468	3	472	1.0	dbCAN-sub
GH11_e16	GH11:9	3.2.1.8:2	xylan	170	mRNA_1927	476	4.510325896485424e-86	1	170	300	469	1.0	dbCAN-sub
GH51_e31	GH51:63	3.2.1.55:3	arabinan	479	mRNA_1939	512	2.491167131498242e-219	2	479	17	511	0.9979123173277662	dbCAN-sub
GH47_e19	GH47:70	-	host glycan	507	mRNA_2034	1185	6.04856785403793e-261	1	506	60	620	0.9980276134122288	dbCAN-sub
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	mRNA_2060	656	2.892893819082175e-196	1	481	137	629	0.9979253112033196	dbCAN-sub
GH45_e0	GH45:307;CBM1:59	3.2.1.4:59	beta-glucan	200	mRNA_2072	230	2.4489067412091977e-100	1	199	29	228	0.995	dbCAN-sub
GH43_e51	GH43_14:53	3.2.1.37:1	xylan	285	mRNA_2081	586	7.061390202034512e-135	1	284	22	320	0.9964912280701754	dbCAN-sub
CBM91_e33	CBM91:58;GH43_14:57;GH43_12:1	-	xylan	211	mRNA_2081	586	2.717092263299387e-60	1	210	363	579	0.995260663507109	dbCAN-sub
CE4_e46	CE4:78;CBM18:52;CBM50:1	3.5.1.41:1	chitin	128	mRNA_210	454	1.1205629341089772e-56	2	128	164	291	0.9921875	dbCAN-sub
GH16_e100	GH16_23:32;GH64:1	-	-	185	mRNA_2125	364	2.0003540743835367e-90	3	185	97	279	0.9891891891891892	dbCAN-sub
GH64_e16	GH64:53;CBM6:8;GH16_23:1	-	beta-glucan	368	mRNA_2126	673	2.8707862836910942e-158	1	368	55	435	1.0	dbCAN-sub
GH92_e32	GH92:63	-	host glycan	503	mRNA_2155	924	2.1595244896210528e-245	1	502	263	775	0.9980119284294234	dbCAN-sub
GT39_e30	GT39:555	2.4.1.109:13	-	239	mRNA_2222	758	2.3394574560870688e-113	1	239	80	318	1.0	dbCAN-sub
GH128_e34	GH128:8	-	beta-glucan	206	mRNA_2251	444	6.293366075308974e-77	2	206	233	438	0.9951456310679612	dbCAN-sub
GH17_e7	GH17:71	-	-	241	mRNA_2318	440	9.333837372813356e-113	2	241	72	313	0.995850622406639	dbCAN-sub
GT66_e1	GT66:655	2.4.99.18:21	-	644	mRNA_2370	754	0.0	2	642	30	675	0.9953416149068324	dbCAN-sub
CE16_e2	CE16:12	-	xylan	278	mRNA_2448	344	4.548037480458598e-112	1	278	42	334	1.0	dbCAN-sub
AA3_e34	AA3_2:10	-	-	561	mRNA_2461	271	3.227696527930318e-40	275	475	1	215	0.3582887700534759	dbCAN-sub
GH13_e122	GH13_31:1547;GH13_40:132;GH13:79;GH13_29:30;GH13_23:5;GH13_17:3;GH13_36:3;GH13_44:1;GT25:1;GT5:1	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	alpha-glucan;alpha-glucan;alpha-glucan;alpha-glucan;sucrose	344	mRNA_2533	608	1.3338103303088617e-143	1	342	35	393	0.994186046511628	dbCAN-sub
CBM50_e307	CBM50:13	-	chitin	44	mRNA_2666	604	5.475122287289545e-23	2	44	198	240	0.9772727272727272	dbCAN-sub
GH5_e82	GH5_11:9	-	-	336	mRNA_2667	417	4.466259604369736e-159	1	336	32	372	1.0	dbCAN-sub
GH2_e127	GH2:646;CBM32:8;CBM35:1	3.2.1.23:2	beta-galactan	717	mRNA_2690	883	2.40720100738475e-276	8	715	45	816	0.98744769874477	dbCAN-sub
GT22_e3	GT22:63	-	-	452	mRNA_2694	785	6.570703998439081e-169	3	452	89	618	0.995575221238938	dbCAN-sub
GT2	-	-	-	163	mRNA_2743	438	3.154950092759711e-65	1	161	113	326	0.9877300613496932	dbCAN-sub
GH16_e177	GH16_3:13;CBM13:3	-	-	271	mRNA_2751	330	9.844611230792933e-103	2	270	56	328	0.992619926199262	dbCAN-sub
GH15_e38	GH15:67	-	-	378	mRNA_278	703	3.928390157046918e-207	1	378	311	688	1.0	dbCAN-sub
GH37_e4	GH37:63	3.2.1.28:1	trehalose	552	mRNA_2886	713	2.657619765466673e-248	1	552	68	645	1.0	dbCAN-sub
GT17_e12	GT17:10	-	-	300	mRNA_2888	406	1.3058625242719607e-92	2	300	62	391	0.9966666666666668	dbCAN-sub
AA1_e22	AA1:24	-	lignin	492	mRNA_2937	727	2.912115692266309e-186	1	491	162	682	0.9979674796747968	dbCAN-sub
GH78_e52	GH78:53	3.2.1.174:2	pectin	544	mRNA_2942	739	8.697677284758488e-196	1	543	90	691	0.9981617647058824	dbCAN-sub
GH15_e31	GH15:272;CBM20:192;CBM21:1	3.2.1.3:94	alpha-glucan	405	mRNA_2946	641	5.850216760580377e-195	4	404	67	461	0.9901234567901236	dbCAN-sub
CBM20_e25	AA13:19;CBM20:19	1.14.99.55:4	alpha-glucan	91	mRNA_2946	641	1.642989390663077e-44	1	90	541	630	0.989010989010989	dbCAN-sub
GH13_e19	GH13_1:56;CBM20:11	3.2.1.1:16	alpha-glucan	305	mRNA_2947	628	2.5973490774817346e-159	1	305	58	362	1.0	dbCAN-sub
CBM20_e25	AA13:19;CBM20:19	1.14.99.55:4	alpha-glucan	91	mRNA_2947	628	2.0466862270036835e-47	2	91	529	618	0.989010989010989	dbCAN-sub
AA9_e7	AA9:29;CBM1:1	1.14.99.54:5;1.14.99.56:1	cellulose;cellulose	209	mRNA_2958	230	1.853275172479413e-90	2	209	7	215	0.9952153110047848	dbCAN-sub
GH18_e143	GH18:25	-	-	325	mRNA_2960	357	3.620874703754575e-155	1	325	16	344	1.0	dbCAN-sub
GH18_e227	GH18:91;CBM18:30;AA15:1	3.2.1.-:1	peptidoglycan	346	mRNA_2967	381	5.775973309431607e-144	6	345	12	356	0.9826589595375722	dbCAN-sub
GH154_e10	GH154:86	-	arabinogalactan	357	mRNA_297	679	4.1198478182309966e-173	1	356	26	373	0.9971988795518208	dbCAN-sub
GH16_e149	GH16_18:33;GH16:4	-	-	157	mRNA_2975	400	3.4213041091951815e-72	1	157	72	228	1.0	dbCAN-sub
GH81_e0	GH81:460;CBM52:2	3.2.1.39:20	beta-glucan	684	mRNA_3030	737	1.3911846377287495e-264	7	684	40	730	0.9912280701754386	dbCAN-sub
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	mRNA_3037	525	5.530422003858687e-225	1	463	47	519	0.9956989247311828	dbCAN-sub
AA2_e1	AA2:59	-	lignin	252	mRNA_3059	310	3.614975604065552e-125	2	251	23	277	0.992063492063492	dbCAN-sub
AA2_e1	AA2:59	-	lignin	252	mRNA_3065	805	6.269133892418588e-19	14	110	133	230	0.3849206349206349	dbCAN-sub
GH17_e53	GH17:31	-	-	280	mRNA_3262	300	5.623722110907209e-133	1	280	24	300	1.0	dbCAN-sub
GT39_e9	GT39:393	2.4.1.109:12	-	238	mRNA_3298	979	6.751876772397535e-106	1	237	59	303	0.9957983193277312	dbCAN-sub
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	mRNA_3307	877	1.2138549273255963e-98	3	213	37	249	0.9906103286384976	dbCAN-sub
GH43_e53	GH43_1:1254;GH43_10:16;GH5_21:6;CBM6:5;GH43:4;GH10:3;GH43_33:2;GH43_32:2;GH43_34:1;GH43_29:1;GH117:1	3.2.1.37:19;3.2.1.55:4	xylan;xylan	310	mRNA_3338	338	5.6871801697966705e-143	1	309	5	329	0.9967741935483873	dbCAN-sub
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	mRNA_336	652	5.62535893506916e-171	2	359	214	590	0.9862258953168044	dbCAN-sub
GH76_e8	GH76:104	3.2.1.101:1	alpha-mannan	373	mRNA_3380	643	1.795831221353415e-167	2	372	42	415	0.9946380697050938	dbCAN-sub
AA9_e16	AA9:24;CBM1:4	1.14.99.54:1	cellulose	214	mRNA_3418	257	7.101876069445487e-96	2	213	10	228	0.9906542056074766	dbCAN-sub
GT71_e18	GT71:26	-	-	233	mRNA_3431	624	2.7573182829572967e-78	1	233	219	448	1.0	dbCAN-sub
AA7_e3	AA7:11;CBM18:8	-	-	391	mRNA_3442	483	3.9421541101949953e-36	3	177	40	213	0.4475703324808184	dbCAN-sub
GT61_e19	GT61:14	-	-	120	mRNA_3458	533	1.0168664961927923e-38	1	116	313	434	0.9666666666666668	dbCAN-sub
GT90_e11	GT90:72	-	-	290	mRNA_3466	638	3.842426160967614e-111	1	290	315	623	1.0	dbCAN-sub
CE5_e48	CE5:7	-	-	199	mRNA_3477	224	6.755115509867642e-68	3	198	30	222	0.984924623115578	dbCAN-sub
GT1_e153	GT1:468;PL1_1:1;GH18:1;GH29:1	2.4.1.173:23;2.4.1.-:3	-;-	414	mRNA_3529	878	4.537611818481715e-161	2	412	78	557	0.9927536231884058	dbCAN-sub
GH37_e7	GH37:547	3.2.1.28:32	trehalose	525	mRNA_3564	754	5.1652130567777406e-241	1	524	170	713	0.998095238095238	dbCAN-sub
AA7_e0	AA7:17	1.1.3.-:1	xylan	417	mRNA_3579	475	6.645422024910944e-141	1	417	41	472	1.0	dbCAN-sub
GH47_e17	GH47:516	3.2.1.113:99	host glycan	460	mRNA_3591	761	5.027231359924438e-213	1	460	237	732	1.0	dbCAN-sub
GH3_e32	GH3:167;GH134:1	3.2.1.21:10;3.2.1.37:4	beta-glucan;xylan	215	mRNA_3594	848	6.34186374437636e-112	1	214	138	353	0.9953488372093025	dbCAN-sub
GH5_e97	GH5_5:22;GH5:1	3.2.1.4:2	beta-glucan	304	mRNA_3643	385	5.659198269841048e-165	1	303	22	325	0.9967105263157896	dbCAN-sub
GT69_e0	GT69:44	-	-	243	mRNA_3677	428	1.2423346320963901e-111	1	243	117	356	1.0	dbCAN-sub
GH16_e153	GH16_18:22	-	-	157	mRNA_3714	576	1.511099775907012e-83	1	157	74	230	1.0	dbCAN-sub
GH16_e91	GH16_1:51;GH16:1	-	-	231	mRNA_372	375	9.876270223899428e-102	1	227	103	333	0.9826839826839828	dbCAN-sub
GH16_e102	GH16_4:139;GH16_3:3;GH16:2;CBM39:2;GH128:1	3.2.1.39:7	beta-glucan	329	mRNA_3724	508	1.5081302470519202e-136	1	329	176	501	1.0	dbCAN-sub
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	mRNA_3731	993	1.348818838026587e-108	2	210	183	396	0.9952380952380953	dbCAN-sub
GH55_e8	GH55:191;CBM50:9;CBM66:1	3.2.1.58:16	beta-glucan	748	mRNA_3766	887	5.601383221099467e-287	3	706	24	751	0.9411764705882352	dbCAN-sub
GT4_e954	GT4:90	2.4.1.198:3	-	142	mRNA_3796	569	1.6539225482962768e-66	3	141	290	428	0.9788732394366196	dbCAN-sub
AA9_e31	AA9:30;CBM1:16	1.14.99.54:2;1.14.99.56:4	cellulose;cellulose	219	mRNA_3826	247	2.4801355209796404e-100	2	218	7	225	0.9908675799086758	dbCAN-sub
AA1_e18	AA1_3:59;AA1:6	1.10.3.2:2	lignin	318	mRNA_3867	680	3.645342106540414e-152	2	313	67	380	0.981132075471698	dbCAN-sub
AA1_e9	AA1:15;CBM1:1	-	lignin	483	mRNA_3867	680	9.779840129463281e-23	309	482	473	637	0.3602484472049689	dbCAN-sub
AA7_e0	AA7:17	1.1.3.-:1	xylan	417	mRNA_388	668	2.842578316203923e-27	5	188	195	385	0.4412470023980815	dbCAN-sub
GT69_e1	GT69:64	2.4.1.-:1	-	253	mRNA_3900	450	5.467268789774741e-95	1	252	56	334	0.9960474308300395	dbCAN-sub
CBM48_e62	CBM48:19	-	alpha-glucan	58	mRNA_3920	713	1.6103945858196842e-24	1	56	9	65	0.9655172413793104	dbCAN-sub
GH16_e226	GH16_1:7	-	-	233	mRNA_394	858	1.4750097551379103e-70	5	232	70	312	0.9785407725321889	dbCAN-sub
GH76_e8	GH76:104	3.2.1.101:1	alpha-mannan	373	mRNA_3958	459	4.507765842463941e-189	2	373	32	402	0.9973190348525468	dbCAN-sub
GH5_e56	GH5_24:29	-	-	314	mRNA_3977	415	7.182782626636799e-173	1	312	66	378	0.9936305732484076	dbCAN-sub
GT32_e68	GT32:249	2.4.1.257:12	-	81	mRNA_4024	385	1.7531449129918815e-34	2	80	132	210	0.9753086419753086	dbCAN-sub
GT69_e6	GT69:46	-	-	266	mRNA_4069	556	1.5059908203216244e-110	1	265	151	426	0.9962406015037594	dbCAN-sub
GH35_e11	GH35:32	-	-	186	mRNA_4071	575	9.696117200053767e-95	1	185	22	206	0.9946236559139784	dbCAN-sub
GH5_e131	GH5_5:12;GH5:1	3.2.1.4:1	beta-glucan	293	mRNA_4140	453	2.1717726082753047e-138	1	293	23	318	1.0	dbCAN-sub
GH16_e87	GH16_3:52	3.2.1.6:2	beta-glucan	253	mRNA_4183	288	1.6378057814140321e-103	1	253	32	287	1.0	dbCAN-sub
GH18_e161	CBM50:6;GH18:6	-	-	265	mRNA_4195	621	8.241162910589655e-68	1	265	25	273	1.0	dbCAN-sub
GT76_e8	GT76:35	-	-	420	mRNA_4211	490	1.1637373182671633e-147	2	420	28	490	0.9976190476190476	dbCAN-sub
AA8_e6	AA8:8	-	lignin	177	mRNA_4265	480	2.706026961929084e-17	15	175	14	175	0.9096045197740112	dbCAN-sub
GT4_e2823	GT4:197	2.4.1.132:6;2.4.1.257:6	-;-	161	mRNA_4286	511	1.1301400325145252e-60	4	154	259	426	0.937888198757764	dbCAN-sub
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	mRNA_4325	809	3.130654669022589e-53	5	430	262	692	0.988399071925754	dbCAN-sub
AA9_e20	AA9:13;CBM1:13	1.14.99.54:2;1.14.99.56:2	cellulose;cellulose	219	mRNA_4330	325	4.511114627797482e-88	3	218	12	234	0.9863013698630136	dbCAN-sub
GT4_e1364	GT4:172	2.4.1.131:1	-	156	mRNA_4381	583	1.1118583462687909e-65	2	155	383	544	0.9871794871794872	dbCAN-sub
GT2	-	-	-	276	mRNA_4386	927	2.6001417499195045e-91	1	172	264	427	0.6231884057971014	dbCAN-sub
GT2	-	-	-	276	mRNA_4386	927	7.023050506825057e-39	41	271	454	701	0.8369565217391305	dbCAN-sub
GT32_e69	GT32:22	-	-	79	mRNA_4407	406	1.1530190510063022e-36	2	79	109	186	0.9873417721518988	dbCAN-sub
GT1_e51	GT1:17	-	-	180	mRNA_445	229	4.349614381094605e-32	6	161	13	173	0.8666666666666667	dbCAN-sub
AA11_e8	AA11:56	-	chitin	194	mRNA_4465	367	7.194432516797634e-72	24	192	1	175	0.8711340206185567	dbCAN-sub
GT39_e12	GT39:259	2.4.1.109:8	-	242	mRNA_4470	775	4.804902319336445e-125	1	242	65	309	1.0	dbCAN-sub
GH20_e10	GH20:74	3.2.1.52:9	host glycan	345	mRNA_4490	639	1.2616864220960199e-178	2	345	239	583	0.9971014492753624	dbCAN-sub
GH16_e274	GH16_18:33;GH16:1	-	-	156	mRNA_4493	362	7.955617546054716e-85	1	156	74	230	1.0	dbCAN-sub
CE8_e46	CE8:12	-	pectin	296	mRNA_4603	2312	2.082498776563056e-57	8	296	96	375	0.9763513513513512	dbCAN-sub
CE8_e46	CE8:12	-	pectin	296	mRNA_4603	2312	4.417106343629224e-79	6	290	464	744	0.9628378378378378	dbCAN-sub
CE8_e46	CE8:12	-	pectin	296	mRNA_4603	2312	6.631131965359313e-122	2	296	800	1097	0.9966216216216216	dbCAN-sub
CE8_e46	CE8:12	-	pectin	296	mRNA_4603	2312	8.84698191997882e-103	6	279	1154	1442	0.9256756756756755	dbCAN-sub
CE8_e46	CE8:12	-	pectin	296	mRNA_4603	2312	2.022340644670369e-101	4	296	1511	1805	0.9898648648648648	dbCAN-sub
GH105_e57	GH105:2529	-	-	317	mRNA_4614	383	7.278349201237487e-149	1	317	49	380	1.0	dbCAN-sub
GH5_e206	GH5_15:35	3.2.1.75:2	beta-glucan	298	mRNA_4682	418	5.990946900923787e-134	1	298	98	397	1.0	dbCAN-sub
GH12_e17	GH12:14	3.2.1.4:1	cellulose	143	mRNA_4692	330	1.0854254265126719e-60	2	143	185	327	0.993006993006993	dbCAN-sub
GT2	-	-	-	283	mRNA_4693	830	3.5318830097281137e-155	1	283	307	589	1.0	dbCAN-sub
GT20_e24	GT20:403	2.4.1.15:11	-	447	mRNA_4721	949	1.096999062746457e-217	2	446	175	623	0.9955257270693512	dbCAN-sub
GH51_e35	GH51:48	3.2.1.55:10	arabinan	444	mRNA_4724	631	1.4275733647368956e-139	2	441	200	628	0.990990990990991	dbCAN-sub
GH13_e84	GH13:64;CBM48:62	-	-	294	mRNA_4731	682	8.098356117618057e-29	116	292	347	545	0.6020408163265306	dbCAN-sub
GT57_e0	GT57:386	2.4.1.267:14	-	456	mRNA_4738	597	1.3385177415456429e-186	1	455	76	575	0.9978070175438596	dbCAN-sub
GH154_e10	GH154:86	-	arabinogalactan	357	mRNA_4754	724	1.66740490023597e-159	1	357	15	399	1.0	dbCAN-sub
GH88_e4	GH88:37	-	host glycan	401	mRNA_4755	502	2.521540032166255e-165	1	401	89	493	1.0	dbCAN-sub
GT22_e27	GT22:221	-	-	384	mRNA_4798	607	9.009036499470926e-140	2	379	13	405	0.984375	dbCAN-sub
GH76_e26	GH76:10	-	-	316	mRNA_482	651	4.4916405008326296e-20	148	271	295	450	0.3924050632911392	dbCAN-sub
GH38_e20	GH38:303	3.2.1.24:32	host glycan	259	mRNA_4849	1109	5.011878598072838e-143	1	258	288	545	0.996138996138996	dbCAN-sub
CBM38_e5	CBM38:9;GH32:8	3.2.1.26:1	fructan	129	mRNA_4862	680	7.103241835330216e-58	2	129	42	169	0.992248062015504	dbCAN-sub
GH32_e104	CBM38:8;GH32:8	3.2.1.26:1	fructan	298	mRNA_4862	680	6.973062794133433e-149	1	298	225	524	1.0	dbCAN-sub
AA3_e4	AA3_2:57;AA3:5	-	-	517	mRNA_4913	551	4.1089027449978407e-249	1	517	14	543	1.0	dbCAN-sub
GH17_e67	GH17:62	2.4.1.-:1;3.2.1.-:2	beta-glucan;-	265	mRNA_4916	812	8.279706712214689e-131	1	265	532	800	1.0	dbCAN-sub
AA8_e6	AA8:8	-	lignin	177	mRNA_4921	284	1.348071331194491e-16	58	143	1	87	0.4858757062146893	dbCAN-sub
GH43_e285	GH43_11:2705;GH43:7;GH43_12:2	3.2.1.37:21;3.2.1.55:3;3.2.1.-:1	xylan;xylan;arabinan	292	mRNA_5037	576	4.911328993683408e-140	1	292	5	306	1.0	dbCAN-sub
CBM91_e24	CBM91:3225;GH43_11:3213;GH43_12:1;GH43:1	-	xylan	200	mRNA_5037	576	4.5694393807469705e-57	6	199	354	566	0.97	dbCAN-sub
CE16_e10	CE16:12	3.1.1.6:1	xylan	302	mRNA_5062	354	6.4229927342589935e-133	1	302	35	340	1.0	dbCAN-sub
AA1_e8	AA1:20	1.10.3.2:1	lignin	533	mRNA_5065	647	2.017388465383289e-217	2	533	74	626	0.99812382739212	dbCAN-sub
GH76_e9	GH76:16	-	-	368	mRNA_5066	468	3.193604167088822e-132	2	366	36	405	0.9918478260869564	dbCAN-sub
GT2	-	-	-	171	mRNA_5116	241	4.0466450089104856e-80	1	170	11	179	0.9941520467836256	dbCAN-sub
GT34_e9	GT34:56	-	-	229	mRNA_5129	357	2.1466893463177032e-107	1	226	115	337	0.9868995633187772	dbCAN-sub
