gene_id	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg
gene_11	1978571	1978825	jgi.p|Ophnu1|1978571	Ophnu1	OphioH327chr_1	68430	70198	+	prediction	87	0				0									no	no
gene_12	1978572	1978826	jgi.p|Ophnu1|1978572	Ophnu1	OphioH327chr_1	70917	72295	-	prediction	95	0				0									no	no
gene_13	1978573	1978827	jgi.p|Ophnu1|1978573	Ophnu1	OphioH327chr_1	72921	74625	+	prediction	101	6	GO:0005215; GO:0005351; GO:0006810; GO:0008643; GO:0016020; GO:0016021	carbohydrate transport; integral to membrane; membrane; sugar:hydrogen symporter activity; transport; transporter activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_14	1978574	1978828	jgi.p|Ophnu1|1978574	Ophnu1	OphioH327chr_1	76905	79722	+	prediction	111	1	GO:0003824	catalytic activity	molecular_function	0									yes	no
gene_15	1978575	1978829	jgi.p|Ophnu1|1978575	Ophnu1	OphioH327chr_1	80724	81497	-	prediction	119	0				0									no	no
gene_16	1978576	1978830	jgi.p|Ophnu1|1978576	Ophnu1	OphioH327chr_1	82522	82930	+	prediction	123	0				0									no	no
gene_17	1978577	1978831	jgi.p|Ophnu1|1978577	Ophnu1	OphioH327chr_1	83705	84516	+	prediction	129	0				0									no	no
gene_18	1978578	1978832	jgi.p|Ophnu1|1978578	Ophnu1	OphioH327chr_1	85043	86426	+	prediction	137	4	GO:0000166; GO:0003684; GO:0005634; GO:0006289	damaged DNA binding; nucleotide binding; nucleotide-excision repair; nucleus	biological_process; cellular_component; molecular_function	0									yes	no
gene_19	1978579	1978833	jgi.p|Ophnu1|1978579	Ophnu1	OphioH327chr_1	87351	89985	+	prediction	145	0				0									no	no
gene_20	1978580	1978834	jgi.p|Ophnu1|1978580	Ophnu1	OphioH327chr_1	91579	92627	+	prediction	151	4	GO:0000786; GO:0003677; GO:0005634; GO:0006334	DNA binding; nucleosome; nucleosome assembly; nucleus	biological_process; cellular_component; molecular_function	0									yes	no
gene_21	1978581	1978835	jgi.p|Ophnu1|1978581	Ophnu1	OphioH327chr_1	93662	94540	-	prediction	157	0				0									no	no
gene_22	1978582	1978836	jgi.p|Ophnu1|1978582	Ophnu1	OphioH327chr_1	97450	99588	+	prediction	161	1	GO:0003676	nucleic acid binding	molecular_function	0									yes	no
gene_23	1978583	1978837	jgi.p|Ophnu1|1978583	Ophnu1	OphioH327chr_1	101431	105315	-	prediction	165	1	GO:0003968	RNA-directed RNA polymerase activity	molecular_function	1	2.7.7.48	RNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	yes	yes
gene_24	1978584	1978838	jgi.p|Ophnu1|1978584	Ophnu1	OphioH327chr_1	106472	108103	+	prediction	169	0				0									no	no
gene_25	1978585	1978839	jgi.p|Ophnu1|1978585	Ophnu1	OphioH327chr_1	108603	109118	-	prediction	173	0				0									no	no
gene_26	1978586	1978840	jgi.p|Ophnu1|1978586	Ophnu1	OphioH327chr_1	110000	111169	-	prediction	177	7	GO:0000166; GO:0005524; GO:0005634; GO:0005737; GO:0016787; GO:0017111; GO:0030163	ATP binding; cytoplasm; hydrolase activity; nucleoside-triphosphatase activity; nucleotide binding; nucleus; protein catabolic process	biological_process; cellular_component; molecular_function	0									yes	no
gene_27	1978587	1978841	jgi.p|Ophnu1|1978587	Ophnu1	OphioH327chr_1	111812	115045	-	prediction	181	0				0									no	no
gene_28	1978588	1978842	jgi.p|Ophnu1|1978588	Ophnu1	OphioH327chr_1	118698	119525	+	prediction	185	0				0									no	no
gene_29	1978589	1978843	jgi.p|Ophnu1|1978589	Ophnu1	OphioH327chr_1	120452	121777	-	prediction	195	2	GO:0004194; GO:0006508	pepsin A activity; proteolysis	biological_process; molecular_function	1	3.4.23.18	Aspergillopepsin I.	Hydrolysis of proteins with broad specificity. Generally favors hydrophobic residues in P1 and P1', but also accepts Lys in P1, which leads to activation of trypsinogen. Does not clot milk.	\N	\N	\N	\N	\N	yes	yes
gene_30	1978590	1978844	jgi.p|Ophnu1|1978590	Ophnu1	OphioH327chr_1	123226	126246	-	prediction	199	0				0									no	no
gene_31	1978591	1978845	jgi.p|Ophnu1|1978591	Ophnu1	OphioH327chr_1	127181	128815	+	prediction	203	6	GO:0003824; GO:0004795; GO:0006520; GO:0008152; GO:0009088; GO:0030170	amino acid metabolic process; catalytic activity; metabolic process; pyridoxal phosphate binding; threonine biosynthetic process; threonine synthase activity	biological_process; molecular_function	0									yes	no
gene_32	1978592	1978846	jgi.p|Ophnu1|1978592	Ophnu1	OphioH327chr_1	129409	130639	-	prediction	207	0				0									no	no
gene_33	1978593	1978847	jgi.p|Ophnu1|1978593	Ophnu1	OphioH327chr_1	131881	133725	+	prediction	213	1	GO:0003993	acid phosphatase activity	molecular_function	2	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation; Riboflavin metabolism	Biodegradation of Xenobiotics; Metabolism of Cofactors and Vitamins	METABOLIC	yes	yes
gene_34	1978594	1978848	jgi.p|Ophnu1|1978594	Ophnu1	OphioH327chr_1	134707	139140	-	prediction	217	3	GO:0003676; GO:0005622; GO:0008270	intracellular; nucleic acid binding; zinc ion binding	cellular_component; molecular_function	0									yes	no
gene_35	1978595	1978849	jgi.p|Ophnu1|1978595	Ophnu1	OphioH327chr_1	142087	143724	-	prediction	221	0				0									no	no
gene_36	1978596	1978850	jgi.p|Ophnu1|1978596	Ophnu1	OphioH327chr_1	146244	146943	-	prediction	225	3	GO:0006621; GO:0016021; GO:0046923	ER retention sequence binding; integral to membrane; protein retention in ER	biological_process; cellular_component; molecular_function	0									yes	no
gene_37	1978597	1978851	jgi.p|Ophnu1|1978597	Ophnu1	OphioH327chr_1	147697	148980	+	prediction	231	0				0									no	no
gene_38	1978598	1978852	jgi.p|Ophnu1|1978598	Ophnu1	OphioH327chr_1	149335	150383	-	prediction	235	0				0									no	no
gene_39	1978599	1978853	jgi.p|Ophnu1|1978599	Ophnu1	OphioH327chr_1	153903	158265	-	prediction	241	0				0									no	no
gene_40	1978600	1978854	jgi.p|Ophnu1|1978600	Ophnu1	OphioH327chr_1	159385	160776	-	prediction	249	3	GO:0003824; GO:0008152; GO:0033814	catalytic activity; metabolic process; propanoyl-CoA C-acyltransferase activity	biological_process; molecular_function	0									yes	no
gene_41	1978601	1978855	jgi.p|Ophnu1|1978601	Ophnu1	OphioH327chr_1	161735	164838	-	prediction	253	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_42	1978602	1978856	jgi.p|Ophnu1|1978602	Ophnu1	OphioH327chr_1	172896	174641	+	prediction	259	0				0									no	no
gene_43	1978603	1978857	jgi.p|Ophnu1|1978603	Ophnu1	OphioH327chr_1	176545	178038	+	prediction	263	0				0									no	no
gene_44	1978604	1978858	jgi.p|Ophnu1|1978604	Ophnu1	OphioH327chr_1	178979	180964	+	prediction	267	0				0									no	no
gene_45	1978605	1978859	jgi.p|Ophnu1|1978605	Ophnu1	OphioH327chr_1	181638	183791	+	prediction	277	0				0									no	no
gene_46	1978606	1978860	jgi.p|Ophnu1|1978606	Ophnu1	OphioH327chr_1	185058	185389	+	prediction	281	2	GO:0030001; GO:0046872	metal ion binding; metal ion transport	biological_process; molecular_function	0									yes	no
gene_47	1978607	1978861	jgi.p|Ophnu1|1978607	Ophnu1	OphioH327chr_1	186720	189294	+	prediction	287	0				0									no	no
gene_48	1978608	1978862	jgi.p|Ophnu1|1978608	Ophnu1	OphioH327chr_1	190040	190747	+	prediction	295	0				0									no	no
gene_49	1978609	1978863	jgi.p|Ophnu1|1978609	Ophnu1	OphioH327chr_1	191658	194522	-	prediction	299	0				0									no	no
gene_50	1978610	1978864	jgi.p|Ophnu1|1978610	Ophnu1	OphioH327chr_1	201258	207047	-	prediction	303	4	GO:0003777; GO:0005524; GO:0005875; GO:0007018	ATP binding; microtubule associated complex; microtubule motor activity; microtubule-based movement	biological_process; cellular_component; molecular_function	0									yes	no
gene_51	1978611	1978865	jgi.p|Ophnu1|1978611	Ophnu1	OphioH327chr_1	213966	216689	-	prediction	311	0				0									no	no
gene_52	1978612	1978866	jgi.p|Ophnu1|1978612	Ophnu1	OphioH327chr_1	218009	220909	+	prediction	321	6	GO:0003677; GO:0004518; GO:0005515; GO:0005634; GO:0006259; GO:0008821	crossover junction endodeoxyribonuclease activity; DNA binding; DNA metabolic process; nuclease activity; nucleus; protein binding	biological_process; cellular_component; molecular_function	1	3.1.22.-	Endodeoxyribonucleases producing other than 5'-phosphomonoesters.	\N	\N	\N	\N	\N	\N	yes	yes
gene_53	1978613	1978867	jgi.p|Ophnu1|1978613	Ophnu1	OphioH327chr_1	221365	228558	-	prediction	325	7	GO:0004842; GO:0006512; GO:0008270; GO:0051438; GO:0051440; GO:0051443; GO:0051444	negative regulation of ubiquitin-protein ligase activity; positive regulation of ubiquitin-protein ligase activity; regulation of ubiquitin-protein ligase activity; regulation of ubiquitin-protein ligase activity during meiotic cell cycle; ubiquitin cycle; ubiquitin-protein ligase activity; zinc ion binding	biological_process; molecular_function	1	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N	yes	yes
gene_54	1978614	1978868	jgi.p|Ophnu1|1978614	Ophnu1	OphioH327chr_1	229977	230247	-	prediction	329	3	GO:0005740; GO:0006122; GO:0008121	mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial envelope; ubiquinol-cytochrome-c reductase activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_55	1978615	1978869	jgi.p|Ophnu1|1978615	Ophnu1	OphioH327chr_1	231150	231824	+	prediction	337	0				0									no	no
gene_56	1978616	1978870	jgi.p|Ophnu1|1978616	Ophnu1	OphioH327chr_1	232377	233682	-	prediction	341	1	GO:0045437	uridine nucleosidase activity	molecular_function	1	3.2.2.3	Uridine nucleosidase.	Uridine + H(2)O = uracil + D-ribose.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	yes	yes
gene_57	1978617	1978871	jgi.p|Ophnu1|1978617	Ophnu1	OphioH327chr_1	234433	236385	-	prediction	349	1	GO:0045437	uridine nucleosidase activity	molecular_function	1	3.2.2.3	Uridine nucleosidase.	Uridine + H(2)O = uracil + D-ribose.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	yes	yes
gene_58	1978618	1978872	jgi.p|Ophnu1|1978618	Ophnu1	OphioH327chr_1	236782	240801	+	prediction	353	13	GO:0003720; GO:0003724; GO:0003887; GO:0003896; GO:0004779; GO:0005622; GO:0006281; GO:0008192; GO:0008193; GO:0008905; GO:0033677; GO:0043338; GO:0043814	CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase; DNA primase activity; DNA repair; DNA-directed DNA polymerase activity; DNA/RNA helicase activity; intracellular; mannose-phosphate guanylyltransferase activity; phospholactate guanylyltransferase activity; RNA guanylyltransferase activity; RNA helicase activity; sulfate adenylyltransferase activity; telomerase activity; tRNA guanylyltransferase activity	biological_process; cellular_component; molecular_function	2	2.7.7.-	Nucleotidyltransferases.	\N	\N	\N	DNA polymerase; Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins; REPLICATION AND REPAIR	METABOLIC; REGULATORY	yes	yes
gene_59	1978619	1978873	jgi.p|Ophnu1|1978619	Ophnu1	OphioH327chr_1	240988	241608	-	prediction	357	0				0									no	no
gene_60	1978620	1978874	jgi.p|Ophnu1|1978620	Ophnu1	OphioH327chr_1	242322	244859	-	prediction	363	3	GO:0004222; GO:0004243; GO:0006508	metalloendopeptidase activity; mitochondrial intermediate peptidase activity; proteolysis	biological_process; molecular_function	1	3.4.24.59	Mitochondrial intermediate peptidase.	Release of an N-terminal octapeptide as second stage of processing of some proteins imported in the mitochondrion.	Zinc.	\N	\N	\N	\N	yes	yes
gene_61	1978621	1978875	jgi.p|Ophnu1|1978621	Ophnu1	OphioH327chr_1	245437	246411	+	prediction	367	0				0									no	no
gene_62	1978622	1978876	jgi.p|Ophnu1|1978622	Ophnu1	OphioH327chr_1	246669	247752	-	prediction	375	3	GO:0005488; GO:0005743; GO:0006810	binding; mitochondrial inner membrane; transport	biological_process; cellular_component; molecular_function	0									yes	no
gene_63	1978623	1978877	jgi.p|Ophnu1|1978623	Ophnu1	OphioH327chr_1	249343	250023	-	prediction	381	0				0									no	no
gene_64	1978624	1978878	jgi.p|Ophnu1|1978624	Ophnu1	OphioH327chr_1	255461	256129	-	prediction	385	0				0									no	no
gene_65	1978625	1978879	jgi.p|Ophnu1|1978625	Ophnu1	OphioH327chr_1	257694	260714	-	prediction	389	0				0									no	no
gene_66	1978626	1978880	jgi.p|Ophnu1|1978626	Ophnu1	OphioH327chr_1	276882	279383	+	prediction	395	4	GO:0003700; GO:0005634; GO:0006355; GO:0008270	nucleus; regulation of transcription, DNA-dependent; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_67	1978627	1978881	jgi.p|Ophnu1|1978627	Ophnu1	OphioH327chr_1	283961	284735	+	prediction	399	4	GO:0004022; GO:0004023; GO:0004024; GO:0004025	alcohol dehydrogenase activity; alcohol dehydrogenase activity, iron-dependent; alcohol dehydrogenase activity, metal ion-independent; alcohol dehydrogenase activity, zinc-dependent	molecular_function	5	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Bile acid biosynthesis; Fatty acid metabolism; Glycerolipid metabolism; Glycolysis / Gluconeogenesis; Tyrosine metabolism	Amino Acid Metabolism; Carbohydrate Metabolism; Lipid Metabolism; Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_68	1978628	1978882	jgi.p|Ophnu1|1978628	Ophnu1	OphioH327chr_1	285038	285853	-	prediction	405	0				0									no	no
gene_69	1978629	1978883	jgi.p|Ophnu1|1978629	Ophnu1	OphioH327chr_1	287210	288399	-	prediction	409	1	GO:0004784	superoxide dismutase activity	molecular_function	1	1.15.1.1	Superoxide dismutase.	2 peroxide radical + 2 H(+) = O(2) + H(2)O(2).	Copper and Zinc or Iron or Manganese.	\N	\N	\N	\N	yes	yes
gene_70	1978630	1978884	jgi.p|Ophnu1|1978630	Ophnu1	OphioH327chr_1	288996	290228	-	prediction	415	0				0									no	no
gene_71	1978631	1978885	jgi.p|Ophnu1|1978631	Ophnu1	OphioH327chr_1	295615	298107	+	prediction	419	0				0									no	no
gene_72	1978632	1978886	jgi.p|Ophnu1|1978632	Ophnu1	OphioH327chr_1	306878	313741	-	prediction	423	0				0									no	no
gene_73	1978633	1978887	jgi.p|Ophnu1|1978633	Ophnu1	OphioH327chr_1	326046	328277	+	prediction	429	3	GO:0003676; GO:0005622; GO:0008270	intracellular; nucleic acid binding; zinc ion binding	cellular_component; molecular_function	0									yes	no
gene_74	1978634	1978888	jgi.p|Ophnu1|1978634	Ophnu1	OphioH327chr_1	332251	334140	-	prediction	435	2	GO:0003887; GO:0034061	DNA polymerase activity; DNA-directed DNA polymerase activity	molecular_function	3	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	DNA polymerase; Purine metabolism; Pyrimidine metabolism	Nucleotide Metabolism; REPLICATION AND REPAIR	METABOLIC; REGULATORY	yes	yes
gene_75	1978635	1978889	jgi.p|Ophnu1|1978635	Ophnu1	OphioH327chr_1	336963	338675	+	prediction	439	0				0									no	no
gene_76	1978636	1978890	jgi.p|Ophnu1|1978636	Ophnu1	OphioH327chr_1	339298	340136	-	prediction	443	0				0									no	no
gene_77	1978637	1978891	jgi.p|Ophnu1|1978637	Ophnu1	OphioH327chr_1	341273	344770	-	prediction	449	0				0									no	no
gene_78	1978638	1978892	jgi.p|Ophnu1|1978638	Ophnu1	OphioH327chr_1	348424	350706	-	prediction	453	4	GO:0000166; GO:0003677; GO:0005524; GO:0017111	ATP binding; DNA binding; nucleoside-triphosphatase activity; nucleotide binding	molecular_function	0									yes	no
gene_79	1978639	1978893	jgi.p|Ophnu1|1978639	Ophnu1	OphioH327chr_1	351115	352482	-	prediction	457	0				0									no	no
gene_80	1978640	1978894	jgi.p|Ophnu1|1978640	Ophnu1	OphioH327chr_1	353489	358132	-	prediction	461	1	GO:0016021	integral to membrane	cellular_component	0									yes	no
gene_81	1978641	1978895	jgi.p|Ophnu1|1978641	Ophnu1	OphioH327chr_1	360151	361563	-	prediction	465	0				0									no	no
gene_82	1978642	1978896	jgi.p|Ophnu1|1978642	Ophnu1	OphioH327chr_1	366149	368611	-	prediction	469	3	GO:0003676; GO:0005622; GO:0008270	intracellular; nucleic acid binding; zinc ion binding	cellular_component; molecular_function	0									yes	no
gene_83	1978643	1978897	jgi.p|Ophnu1|1978643	Ophnu1	OphioH327chr_1	372723	373937	+	prediction	473	1	GO:0003846	2-acylglycerol O-acyltransferase activity	molecular_function	1	2.3.1.22	2-acylglycerol O-acyltransferase.	Acyl-CoA + 2-acylglycerol = CoA + diacylglycerol.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_84	1978644	1978898	jgi.p|Ophnu1|1978644	Ophnu1	OphioH327chr_1	374112	376460	-	prediction	477	0				0									no	no
gene_85	1978645	1978899	jgi.p|Ophnu1|1978645	Ophnu1	OphioH327chr_1	378625	379791	+	prediction	481	0				0									no	no
gene_86	1978646	1978900	jgi.p|Ophnu1|1978646	Ophnu1	OphioH327chr_1	380276	381802	-	prediction	485	0				0									no	no
gene_87	1978647	1978901	jgi.p|Ophnu1|1978647	Ophnu1	OphioH327chr_1	383824	385515	-	prediction	489	4	GO:0003702; GO:0005634; GO:0006281; GO:0006355	DNA repair; nucleus; regulation of transcription, DNA-dependent; RNA polymerase II transcription factor activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_88	1978648	1978902	jgi.p|Ophnu1|1978648	Ophnu1	OphioH327chr_1	386197	387122	+	prediction	493	2	GO:0016289; GO:0016291	acyl-CoA thioesterase activity; CoA hydrolase activity	molecular_function	1	3.1.2.-	Thiolester hydrolases.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	yes	yes
gene_89	1978649	1978903	jgi.p|Ophnu1|1978649	Ophnu1	OphioH327chr_1	387289	390599	-	prediction	509	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_90	1978650	1978904	jgi.p|Ophnu1|1978650	Ophnu1	OphioH327chr_1	393940	398620	+	prediction	519	5	GO:0004497; GO:0006118; GO:0006725; GO:0008152; GO:0016491	aromatic compound metabolic process; electron transport; metabolic process; monooxygenase activity; oxidoreductase activity	biological_process; molecular_function	0									yes	no
gene_91	1978651	1978905	jgi.p|Ophnu1|1978651	Ophnu1	OphioH327chr_1	399109	400635	-	prediction	527	0				0									no	no
gene_92	1978652	1978906	jgi.p|Ophnu1|1978652	Ophnu1	OphioH327chr_1	406066	410001	+	prediction	531	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_93	1978653	1978907	jgi.p|Ophnu1|1978653	Ophnu1	OphioH327chr_1	410100	412511	-	prediction	535	0				0									no	no
gene_94	1978654	1978908	jgi.p|Ophnu1|1978654	Ophnu1	OphioH327chr_1	413695	414498	+	prediction	539	2	GO:0008152; GO:0016491	metabolic process; oxidoreductase activity	biological_process; molecular_function	0									yes	no
gene_95	1978655	1978909	jgi.p|Ophnu1|1978655	Ophnu1	OphioH327chr_1	415633	417631	+	prediction	543	1	GO:0016020	membrane	cellular_component	0									yes	no
gene_96	1978656	1978910	jgi.p|Ophnu1|1978656	Ophnu1	OphioH327chr_1	418212	418607	+	prediction	551	0				0									no	no
gene_97	1978657	1978911	jgi.p|Ophnu1|1978657	Ophnu1	OphioH327chr_1	421640	422057	+	prediction	555	0				0									no	no
gene_98	1978658	1978912	jgi.p|Ophnu1|1978658	Ophnu1	OphioH327chr_1	422809	424386	+	prediction	561	0				0									no	no
gene_99	1978659	1978913	jgi.p|Ophnu1|1978659	Ophnu1	OphioH327chr_1	424588	425814	-	prediction	565	0				0									no	no
gene_100	1978660	1978914	jgi.p|Ophnu1|1978660	Ophnu1	OphioH327chr_1	426634	428009	-	prediction	569	4	GO:0005525; GO:0005622; GO:0007264; GO:0015031	GTP binding; intracellular; protein transport; small GTPase mediated signal transduction	biological_process; cellular_component; molecular_function	0									yes	no
gene_101	1978661	1978915	jgi.p|Ophnu1|1978661	Ophnu1	OphioH327chr_1	430839	434480	+	prediction	577	5	GO:0004672; GO:0004674; GO:0004682; GO:0005524; GO:0006468	ATP binding; protein amino acid phosphorylation; protein kinase activity; protein kinase CK2 activity; protein serine/threonine kinase activity	biological_process; molecular_function	0									yes	no
gene_102	1978662	1978916	jgi.p|Ophnu1|1978662	Ophnu1	OphioH327chr_1	440173	444014	+	prediction	585	7	GO:0005391; GO:0005524; GO:0006810; GO:0006812; GO:0015662; GO:0016020; GO:0016820	ATP binding; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; cation transport; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; membrane; sodium:potassium-exchanging ATPase activity; transport	biological_process; cellular_component; molecular_function	1	3.6.3.9	Sodium/potassium-echanging ATPase.	ATP + H(2)O + Na(+)(In) + K(+)(Out) = ADP + phosphate + Na(+)(Out) + K(+)(In).	Magnesium.	\N	\N	\N	\N	yes	yes
gene_103	1978663	1978917	jgi.p|Ophnu1|1978663	Ophnu1	OphioH327chr_1	444919	445225	+	prediction	599	0				0									no	no
gene_104	1978664	1978918	jgi.p|Ophnu1|1978664	Ophnu1	OphioH327chr_1	446023	446755	-	prediction	605	0				0									no	no
gene_105	1978665	1978919	jgi.p|Ophnu1|1978665	Ophnu1	OphioH327chr_1	448479	450184	-	prediction	613	5	GO:0006810; GO:0006865; GO:0015171; GO:0016020; GO:0016021	amino acid transmembrane transporter activity; amino acid transport; integral to membrane; membrane; transport	biological_process; cellular_component; molecular_function	0									yes	no
gene_106	1978666	1978920	jgi.p|Ophnu1|1978666	Ophnu1	OphioH327chr_1	455068	458568	-	prediction	619	0				0									no	no
gene_107	1978667	1978921	jgi.p|Ophnu1|1978667	Ophnu1	OphioH327chr_1	465039	465485	+	prediction	625	0				0									no	no
gene_108	1978668	1978922	jgi.p|Ophnu1|1978668	Ophnu1	OphioH327chr_1	466190	469798	-	prediction	629	1	GO:0005488	binding	molecular_function	0									yes	no
gene_109	1978669	1978923	jgi.p|Ophnu1|1978669	Ophnu1	OphioH327chr_1	470145	471158	+	prediction	633	0				0									no	no
gene_110	1978670	1978924	jgi.p|Ophnu1|1978670	Ophnu1	OphioH327chr_1	471200	472161	-	prediction	639	4	GO:0005783; GO:0016021; GO:0016125; GO:0047750	cholestenol delta-isomerase activity; endoplasmic reticulum; integral to membrane; sterol metabolic process	biological_process; cellular_component; molecular_function	1	5.3.3.5	Cholestenol delta-isomerase.	5-alpha-cholest-7-en-3-beta-ol = 5-alpha-cholest-8-en-3-beta-ol.	\N	\N	Sterol biosynthesis	Lipid Metabolism	METABOLIC	yes	yes
