gene_id	protein_id	direction	baseMean	log2FoldChange	padj	functional_label	annotation_class	signal_peptide	cazyme	kegg_definition_label	kegg_activity_label	kegg_pathway_label	go_label	dbcan_family	dbcan_substrate_label
gene_3696	1982256	Downregulated	4.90782877859497	-4.80972254989088	0.00184812007157881	Tannase.	KEGG definition	FALSE	FALSE	Tannase.	Digallate + H(2)O = 2 gallate.	\N	tannase activity	-	-
gene_4072	1982632	Downregulated	1931.83769106385	-4.79767490425952	3.61906157690985e-144	-	CAZyme family	FALSE	TRUE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_6121	1984681	Downregulated	289.263902462869	-4.63224616468032	3.8953184748247895e-40	-	CAZyme family	FALSE	TRUE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_8037	1986597	Downregulated	1715.6533994264	-4.63135627565837	3.1367224998381898e-245	-	CAZyme family	FALSE	TRUE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_1818	1980378	Downregulated	189.330407319777	-4.62927088771607	2.71318599480665e-50	-	CAZyme family	TRUE	FALSE					-	-
gene_3698	1982258	Downregulated	3938.97136626651	-4.37912006702024	1.1904964843521198e-117	-	CAZyme family	TRUE	FALSE					-	-
gene_2965	1981525	Downregulated	3.99693352272579	-4.37471952802569	0.00484001252052237	4-hydroxyphenylpyruvate dioxygenase.	KEGG definition	FALSE	FALSE	4-hydroxyphenylpyruvate dioxygenase.	4-hydroxyphenylpyruvate + O(2) = homogentisate + CO(2).	Tyrosine metabolism; Phenylalanine metabolism	4-hydroxyphenylpyruvate dioxygenase activity	-	-
gene_1465	1980025	Downregulated	3.43227530263713	-4.2981203923734	0.0130730689374088	-	CAZyme family	FALSE	FALSE					-	-
gene_8584	1987144	Downregulated	6.56023600843575	-4.27865153978004	0.00306826310290093	-	CAZyme family	FALSE	FALSE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_3363	1981923	Downregulated	2.3279682952681	-4.1856423221031	0.0234675212553262	-	CAZyme family	FALSE	FALSE					-	-
gene_1762	1980322	Downregulated	1704.08270423939	-4.11596914855567	9.89312492067503e-248	-	CAZyme family	FALSE	FALSE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_8387	1986947	Downregulated	3.639794535709	-4.0983104636415	0.0182632781629293	-	CAZyme family	FALSE	FALSE					-	-
gene_6858	1985418	Downregulated	1.92244052302951	-4.04529343817294	0.0349667191512028	Catechol 1,2-dioxygenase.	KEGG definition	FALSE	FALSE	Catechol 1,2-dioxygenase.	Catechol + O(2) = cis,cis-muconate.	1,4-Dichlorobenzene degradation; Benzoate degradation via hydroxylation; Carbazole degradation; Toluene and xylene degradation	catalytic activity; aromatic compound metabolic process; ferric iron binding; iron ion binding; catechol metabolic process; catechol 1,2-dioxygenase activity; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	-	-
gene_5585	1984145	Downregulated	4.98405737606298	-4.03906591849309	0.0102457004016342	-	CAZyme family	FALSE	FALSE					-	-
gene_4925	1983485	Downregulated	6720.10727881526	-3.98669029916603	0	-	CAZyme family	FALSE	FALSE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_3441	1982001	Downregulated	22.1791466576183	-3.87635354618217	9.1356257726964e-6	Acting on the CH-OH group of donors.	KEGG definition	FALSE	FALSE	Acting on the CH-OH group of donors.	\N	Benzoate degradation via CoA ligation; Ethylbenzene degradation	metabolic process; oxidoreductase activity; glucose dehydrogenase activity; pinocarveol dehydrogenase activity; chloral hydrate dehydrogenase activity; hydroxymethylmethylsilanediol oxidase activity; 1-phenylethanol dehydrogenase activity; myrtenol dehydrogenase activity; versicolorin reductase activity; ketoreductase activity	-	-
gene_5576	1984136	Downregulated	3.11814837888343	-3.87588920531898	0.0350227268018072	-	CAZyme family	FALSE	FALSE					-	-
gene_2958	1981518	Downregulated	14.2359853843173	-3.86928872104892	9.22341237005621e-6	Cellulase.	KEGG definition	TRUE	TRUE	Cellulase.	Endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose.	Starch and sucrose metabolism	cellulase activity	AA9_e7	cellulose
gene_1070	1979630	Downregulated	5.26824178682125	-3.84638206521437	0.0138567943820694	-	CAZyme family	FALSE	FALSE					-	-
gene_4757	1983317	Downregulated	1108.09445627869	-3.79305651953303	1.91703714051524e-93	-	CAZyme family	FALSE	TRUE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_2947	1981507	Downregulated	1030.53678945043	-3.77128107430271	9.01171460603551e-200	Alpha-amylase.	KEGG definition	TRUE	TRUE	Alpha-amylase.	Endohydrolysis of 1,4-alpha-glucosidic linkages in oligosaccharides and polysaccharides.	Starch and sucrose metabolism	catalytic activity; carbohydrate metabolic process; cation binding; carbohydrate binding; alpha-amylase activity	GH13_1|CBM20_e25	alpha-glucan
gene_8531	1987091	Downregulated	11.6341228709754	-3.75713590047296	5.21589885432584e-5	AA13_e0|CBM20_e25	CAZyme family	TRUE	TRUE				catalytic activity; carbohydrate metabolic process; viral capsid; carbohydrate binding	AA13_e0|CBM20_e25	alpha-glucan
gene_1429	1979989	Downregulated	2.43770195136399	-3.71732972594887	0.0444665940655959	-	CAZyme family	FALSE	FALSE					-	-
gene_1283	1979843	Downregulated	23.8473246135909	-3.67978082590249	1.35981262075194e-7	-	CAZyme family	TRUE	FALSE					-	-
gene_4755	1983315	Downregulated	148.495181830664	-3.64888067547067	1.4249407931337799e-34	GH88_e4	CAZyme family	FALSE	TRUE				catalytic activity	GH88_e4	host glycan
gene_8561	1987121	Downregulated	2.8381892842795	-3.61362797883299	0.0267724496124987	-	CAZyme family	FALSE	FALSE					-	-
gene_5694	1984254	Downregulated	52.5862404946639	-3.5825921940093	1.1283140879985e-9	Galacturan 1,4-alpha-galacturonidase.	KEGG definition	TRUE	TRUE	Galacturan 1,4-alpha-galacturonidase.	{(1,4)-alpha-D-galacturonide}(N) + H(2)O = {(1,4)-alpha-D- galacturonide}(N-1) + D-galacturonate.	Starch and sucrose metabolism	polygalacturonase activity; carbohydrate metabolic process; galacturan 1,4-alpha-galacturonidase activity	GH28_e58	pectin
gene_5659	1984219	Downregulated	2849.55633332275	-3.50981822053998	1.19336645070625e-137	Beta-glucosidase.	KEGG definition	TRUE	TRUE	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	Starch and sucrose metabolism; Cyanoamino acid metabolism; Flavonoids, stilbene and lignin biosynthesis	hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; beta-glucosidase activity	GH3_e32	beta-glucan;xylan
gene_4767	1983327	Downregulated	11.7201349511619	-3.48599353404892	0.00556002677259075	-	CAZyme family	FALSE	FALSE					-	-
gene_5600	1984160	Downregulated	6.88686138125733	-3.43336623142549	0.014185911973238	-	CAZyme family	FALSE	FALSE				nucleic acid binding; intracellular; zinc ion binding	-	-
gene_7555	1986115	Upregulated	105.486026946753	10.3594480425544	2.94813485946502e-17	-	CAZyme family	FALSE	FALSE					-	-
gene_1322	1979882	Upregulated	12434.5333763648	9.67476214622918	0	15-hydroxyprostaglandin dehydrogenase (NAD+).	KEGG definition	FALSE	FALSE	15-hydroxyprostaglandin dehydrogenase (NAD+).	(5Z,13E)-(15S)-11-alpha,15-dihydroxy-9-oxoprost-13-enoate + NAD(+) = (5Z,13E)-11-alpha-hydroxy-9,15-dioxoprost-13-enoate + NADH.	\N	metabolic process; oxidoreductase activity; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity	-	-
gene_8543	1987103	Upregulated	21.0093802617062	7.99737019612562	4.5690207660406103e-10	-	CAZyme family	FALSE	FALSE					-	-
gene_1724	1980284	Upregulated	10.6494207925706	6.98853451423081	2.07287969547762e-7	Cellobiose dehydrogenase (acceptor).	KEGG definition	TRUE	TRUE	Cellobiose dehydrogenase (acceptor).	Cellobiose + acceptor = cellobiono-1,5-lactone + reduced acceptor.	\N	cellobiose dehydrogenase (acceptor) activity	AA8_e3	lignin
gene_6102	1984662	Upregulated	444.205200007386	6.30105203781776	5.84122366112001e-113	-	CAZyme family	TRUE	FALSE					-	-
gene_3211	1981771	Upregulated	1502.30296100747	5.83450094085867	2.338637533668949e-215	3-oxoacyl-[acyl-carrier protein] reductase.	KEGG definition	FALSE	FALSE	3-oxoacyl-[acyl-carrier protein] reductase.	(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.	Fatty acid biosynthesis (path 1)	metabolic process; oxidoreductase activity; 3-oxoacyl-[acyl-carrier-protein] reductase activity	-	-
gene_1480	1980040	Upregulated	33.9246051967723	5.80332826957266	6.11355554098578e-13	N-sulfoglucosamine sulfohydrolase.	KEGG definition	FALSE	TRUE	N-sulfoglucosamine sulfohydrolase.	N-sulfo-D-glucosamine + H(2)O = D-glucosamine + sulfate.	\N	metabolic process; sulfuric ester hydrolase activity; N-sulfoglucosamine sulfohydrolase activity	-	-
gene_6973	1985533	Upregulated	119.35300619768	5.6813357121006	1.02808806094344e-29	Carboxylic ester hydrolases.	KEGG definition	FALSE	FALSE	Carboxylic ester hydrolases.	\N	2,4-Dichlorobenzoate degradation; Pentose and glucuronate interconversions; Butanoate metabolism	metabolic process; hydrolase activity; phospholipase activity; lipase activity; 1-oxa-2-oxocycloheptane lactonase activity; sulfolactone hydrolase activity; 3,4-dihydrocoumarin hydrolase activity; butyrolactone hydrolase activity	-	-
gene_6803	1985363	Upregulated	4.69681262303136	5.67064548582031	1.4614354142815e-4	-	CAZyme family	TRUE	FALSE					-	-
gene_4422	1982982	Upregulated	90.6435440931073	5.37759813080258	1.3410693605809998e-27	-	CAZyme family	FALSE	TRUE				metabolic process; oxidoreductase activity	-	-
gene_2632	1981192	Upregulated	1040.79370861967	5.33501859314957	1.4862486230463398e-211	With NADH or NADPH as one donor, and incorporation of one atom	KEGG definition	FALSE	FALSE	With NADH or NADPH as one donor, and incorporation of one atom	\N	Methane metabolism; Phenylalanine metabolism; Ubiquinone biosynthesis; Alkaloid biosynthesis I; Styrene degradation; Tryptophan metabolism; Androgen and estrogen metabolism; Sterol biosynthesis; 1,4-Dichlorobenzene degradation; Tyrosine metabolism; Bile acid biosynthesis; Flavonoids, stilbene and lignin biosynthesis; Histidine metabolism; gamma-Hexachlorocyclohexane degradation	monooxygenase activity; iron ion binding; electron transport; heme binding; 3-(3-hydroxy-phenyl)propionate hydroxylase activity; 4-chlorobenzaldehyde oxidase activity; 3,5-xylenol methylhydroxylase activity; phenylacetate hydroxylase activity; 4-nitrophenol 4-monooxygenase activity; dimethyl sulfide monooxygenase activity; alpha-pinene monooxygenase [NADH] activity; limonene 1,2-monooxygenase activity; phenanthrene 9,10-monooxygenase activity; 1-hydroxy-2-naphthoate hydroxylase activity; toluene 4-monooxygenase activity; xylene monooxygenase activity; dibenzothiophene monooxygenase activity; 6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity; chlorophenol 4-monooxygenase activity; carbon disulfide oxygenase activity; toluene 2-monooxygenase activity; 1-hydroxy-2-oxolimonene 1,2-monooxygenase activity; phenanthrene 1,2-monooxygenase activity; methanesulfonic acid monooxygenase activity; tetrahydrofuran hydroxylase activity; styrene monooxygenase activity; toluene-4-sulfonate monooxygenase activity; toluene-sulfonate methyl-monooxygenase activity; 3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity; 2-hydroxy-phenylacetate hydroxylase activity; 2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity; phenanthrene 3,4-monooxygenase activity; toluene 3-monooxygenase activity; limonene monooxygenase activity; 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase; 6-hydroxynicotinate 3-monooxygenase activity	-	-
gene_3809	1982369	Upregulated	11257.1832101299	5.28800999349957	0	-	CAZyme family	TRUE	FALSE					-	-
gene_1574	1980134	Upregulated	552.291339581293	5.22143688835723	6.55970462888773e-117	-	CAZyme family	TRUE	FALSE				peroxidase activity; electron transport	-	-
gene_1406	1979966	Upregulated	312.02570499325	5.08131066082125	1.19055597331306e-77	3-oxoacyl-[acyl-carrier protein] reductase.	KEGG definition	FALSE	FALSE	3-oxoacyl-[acyl-carrier protein] reductase.	(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.	Fatty acid biosynthesis (path 1)	metabolic process; oxidoreductase activity; 3-oxoacyl-[acyl-carrier-protein] reductase activity	-	-
gene_1512	1980072	Upregulated	18.452381283645	5.06833315089217	3.64579189212141e-7	AA16_e2	CAZyme family	TRUE	TRUE				viral capsid	AA16_e2	cellulose
gene_5612	1984172	Upregulated	282.538013450813	5.06200047944124	1.81794664637581e-83	GH28_e27	CAZyme family	TRUE	TRUE				polygalacturonase activity; carbohydrate metabolic process	GH28_e27	pectin
gene_6043	1984603	Upregulated	297.800291193595	5.00080873282005	1.9146966330432397e-89	-	CAZyme family	FALSE	FALSE					-	-
gene_7725	1986285	Upregulated	938.303152049709	4.64261913510915	1.4434576037099999e-198	-	CAZyme family	FALSE	TRUE					-	-
gene_1893	1980453	Upregulated	201.380498138483	4.61638053976253	4.4383383280228e-67	NADPH:quinone reductase.	KEGG definition	FALSE	FALSE	NADPH:quinone reductase.	NADPH + quinone = NADP(+) + semiquinone.	\N	zinc ion binding; oxidoreductase activity; NADPH:quinone reductase activity	-	-
gene_3957	1982517	Upregulated	63.0458560717601	4.60931430211745	6.5619184557746504e-24	-	CAZyme family	FALSE	FALSE				zinc ion binding	-	-
gene_1892	1980452	Upregulated	1220.03244393468	4.59642282811118	6.80606771915635e-239	Fatty-acid synthase.	KEGG definition	FALSE	TRUE	Fatty-acid synthase.	Acetyl-CoA + N malonyl-CoA + 2N NADPH = a long-chain fatty acid + (N+1) CoA + N CO(2) + 2N NADP(+).	Fatty acid biosynthesis (path 1)	phosphopantetheine binding; metabolic process; catalytic activity; binding; fatty-acid synthase activity	-	-
gene_7088	1985648	Upregulated	62.6622808900568	4.55973662170196	9.16831863897702e-27	-	CAZyme family	FALSE	FALSE					-	-
gene_7930	1986490	Upregulated	36.3932083588627	4.54600526363792	9.72975379041918e-16	Carbonate dehydratase.	KEGG definition	FALSE	FALSE	Carbonate dehydratase.	H(2)CO(3) = CO(2) + H(2)O.	Nitrogen metabolism	carbonate dehydratase activity; zinc ion binding; carbon utilization	-	-
gene_1833	1980393	Upregulated	353.951437268764	4.36870183040631	1.24834583861582e-78	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	KEGG definition	FALSE	TRUE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	5-methyltetrahydropteroyltri-L-glutamate + L-homocysteine = tetrahydropteroyltri-L-glutamate + L-methionine.	Methionine metabolism	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; methionine biosynthetic process	-	-
gene_1497	1980057	Upregulated	55.2747781008982	4.21295389605965	1.6091070569205398e-18	Tripeptidyl-peptidase I.	KEGG definition	TRUE	TRUE	Tripeptidyl-peptidase I.	Release of an N-terminal tripeptide from a polypeptide.	\N	subtilase activity; proteolysis; serine-type peptidase activity; tripeptidyl-peptidase I activity	-	-
gene_1391	1979951	Upregulated	468.975014510957	4.2057550470811504	8.4506780621949395e-134	-	CAZyme family	TRUE	FALSE					-	-
gene_2439	1980999	Upregulated	1.84591949146278	4.13561477070074	0.0257743777727859	-	CAZyme family	FALSE	FALSE					-	-
gene_3469	1982029	Upregulated	72.4009807930766	3.97904234123989	1.03328721725158e-17	Dimethylaniline monooxygenase (N-oxide forming).	KEGG definition	FALSE	TRUE	Dimethylaniline monooxygenase (N-oxide forming).	N,N-dimethylaniline + NADPH + O(2) = N,N-dimethylaniline N-oxide + NADP(+) + H(2)O.	\N	flavin-containing monooxygenase activity	-	-
gene_1735	1980295	Upregulated	738.714069199106	3.91215640185307	2.4241351712125297e-234	Transaldolase.	KEGG definition	FALSE	FALSE	Transaldolase.	Sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-erythrose 4-phosphate + D-fructose 6-phosphate.	Pentose phosphate pathway	carbohydrate metabolic process; transaldolase activity	-	-
gene_5405	1983965	Upregulated	342.047641590788	3.872353969528	4.9937000645519e-102	Dihydroxy-acid dehydratase.	KEGG definition	FALSE	TRUE	Dihydroxy-acid dehydratase.	2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.	Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis	catalytic activity; metabolic process; dihydroxy-acid dehydratase activity	-	-
gene_4142	1982702	Upregulated	48.721533136317	3.86976232297357	5.93650107706117e-20	Acid phosphatase.	KEGG definition	TRUE	TRUE	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	gamma-Hexachlorocyclohexane degradation; Riboflavin metabolism	hydrolase activity, acting on ester bonds; acid phosphatase activity	-	-
gene_1261	1979821	Upregulated	383.446922250658	3.85309941659354	4.950220695581339e-100	-	CAZyme family	FALSE	TRUE					-	-
gene_1405	1979965	Upregulated	11.3407703270551	3.8415181324842	7.2158004544717e-4	-	CAZyme family	FALSE	FALSE					-	-
gene_1573	1980133	Upregulated	238.156746767853	3.83384918588088	1.15904538828997e-58	-	CAZyme family	TRUE	TRUE					-	-
gene_5183	1983743	Upregulated	2214.28497757622	3.78878930821943	5.95392419407269e-187	Long-chain-fatty-acid--CoA ligase.	KEGG definition	FALSE	FALSE	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.	Fatty acid metabolism	catalytic activity; metabolic process; phosphopantetheine binding; long-chain-fatty-acid-CoA ligase activity; fatty-acid ligase activity; short-chain-fatty-acid-CoA ligase activity; medium-chain-fatty-acid-CoA ligase activity; very-long-chain-fatty-acid-CoA ligase activity	-	-
gene_636	1979196	Upregulated	578.912871531249	3.75871880186856	1.14159602846083e-177	CE12_e43	CAZyme family	TRUE	TRUE					CE12_e43	xylan
gene_6657	1985217	Upregulated	350.239637668616	3.71557595381865	2.9667444013400497e-112	-	CAZyme family	FALSE	FALSE					-	-
gene_8320	1986880	Upregulated	283.096359523236	3.71494032994786	2.48993379480771e-66	-	CAZyme family	TRUE	FALSE					-	-
gene_3992	1982552	Upregulated	10.0959485371713	3.68976279270953	5.78485124637135e-5	Tripeptidyl-peptidase I.	KEGG definition	TRUE	FALSE	Tripeptidyl-peptidase I.	Release of an N-terminal tripeptide from a polypeptide.	\N	subtilase activity; proteolysis; serine-type peptidase activity; tripeptidyl-peptidase I activity	-	-
gene_4908	1983468	Upregulated	306.831807762808	3.65836436376412	4.98064553683519e-71	-	CAZyme family	TRUE	TRUE				carbon-nitrogen ligase activity, with glutamine as amido-N-donor	-	-
