gene_id	protein_id	direction	baseMean	log2FoldChange	padj	display_label	jgi_label	go_label	kegg_label	kegg_pathway_label	signal_peptide	cazyme	dbcan_label	dbcan_substrate	has_readable_annotation
gene_3696	1982256	Downregulated	4.90782877859497	-4.80972254989088	0.00184812007157881	jgi.p|Ophnu1|1982256	jgi.p|Ophnu1|1982256	tannase activity	Tannase.	\N	FALSE	FALSE		-	TRUE
gene_4072	1982632	Downregulated	1931.83769106385	-4.79767490425952	3.61906157690985e-144	jgi.p|Ophnu1|1982632	jgi.p|Ophnu1|1982632	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	TRUE		-	TRUE
gene_6121	1984681	Downregulated	289.263902462869	-4.63224616468032	3.8953184748247895e-40	jgi.p|Ophnu1|1984681	jgi.p|Ophnu1|1984681	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	TRUE		-	TRUE
gene_8037	1986597	Downregulated	1715.6533994264	-4.63135627565837	3.1367224998381898e-245	jgi.p|Ophnu1|1986597	jgi.p|Ophnu1|1986597	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	TRUE		-	TRUE
gene_1818	1980378	Downregulated	189.330407319777	-4.62927088771607	2.71318599480665e-50	jgi.p|Ophnu1|1980378	jgi.p|Ophnu1|1980378				TRUE	FALSE		-	TRUE
gene_3698	1982258	Downregulated	3938.97136626651	-4.37912006702024	1.1904964843521198e-117	jgi.p|Ophnu1|1982258	jgi.p|Ophnu1|1982258				TRUE	FALSE		-	TRUE
gene_2965	1981525	Downregulated	3.99693352272579	-4.37471952802569	0.00484001252052237	jgi.p|Ophnu1|1981525	jgi.p|Ophnu1|1981525	4-hydroxyphenylpyruvate dioxygenase activity	4-hydroxyphenylpyruvate dioxygenase.	Tyrosine metabolism; Phenylalanine metabolism	FALSE	FALSE		-	TRUE
gene_1465	1980025	Downregulated	3.43227530263713	-4.2981203923734	0.0130730689374088	jgi.p|Ophnu1|1980025	jgi.p|Ophnu1|1980025				FALSE	FALSE		-	TRUE
gene_8584	1987144	Downregulated	6.56023600843575	-4.27865153978004	0.00306826310290093	jgi.p|Ophnu1|1987144	jgi.p|Ophnu1|1987144	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	FALSE		-	TRUE
gene_3363	1981923	Downregulated	2.3279682952681	-4.1856423221031	0.0234675212553262	jgi.p|Ophnu1|1981923	jgi.p|Ophnu1|1981923				FALSE	FALSE		-	TRUE
gene_1762	1980322	Downregulated	1704.08270423939	-4.11596914855567	9.89312492067503e-248	jgi.p|Ophnu1|1980322	jgi.p|Ophnu1|1980322	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	FALSE		-	TRUE
gene_8387	1986947	Downregulated	3.639794535709	-4.0983104636415	0.0182632781629293	jgi.p|Ophnu1|1986947	jgi.p|Ophnu1|1986947				FALSE	FALSE		-	TRUE
gene_6858	1985418	Downregulated	1.92244052302951	-4.04529343817294	0.0349667191512028	jgi.p|Ophnu1|1985418	jgi.p|Ophnu1|1985418	catalytic activity; aromatic compound metabolic process; ferric iron binding; iron ion binding; catechol metabolic process; catechol 1,2-dioxygenase activity; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	Catechol 1,2-dioxygenase.	1,4-Dichlorobenzene degradation; Benzoate degradation via hydroxylation; Carbazole degradation; Toluene and xylene degradation	FALSE	FALSE		-	TRUE
gene_5585	1984145	Downregulated	4.98405737606298	-4.03906591849309	0.0102457004016342	jgi.p|Ophnu1|1984145	jgi.p|Ophnu1|1984145				FALSE	FALSE		-	TRUE
gene_4925	1983485	Downregulated	6720.10727881526	-3.98669029916603	0	jgi.p|Ophnu1|1983485	jgi.p|Ophnu1|1983485	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	FALSE		-	TRUE
gene_3441	1982001	Downregulated	22.1791466576183	-3.87635354618217	9.1356257726964e-6	jgi.p|Ophnu1|1982001	jgi.p|Ophnu1|1982001	metabolic process; oxidoreductase activity; glucose dehydrogenase activity; pinocarveol dehydrogenase activity; chloral hydrate dehydrogenase activity; hydroxymethylmethylsilanediol oxidase activity; 1-phenylethanol dehydrogenase activity; myrtenol dehydrogenase activity; versicolorin reductase activity; ketoreductase activity	Acting on the CH-OH group of donors.	Benzoate degradation via CoA ligation; Ethylbenzene degradation	FALSE	FALSE		-	TRUE
gene_5576	1984136	Downregulated	3.11814837888343	-3.87588920531898	0.0350227268018072	jgi.p|Ophnu1|1984136	jgi.p|Ophnu1|1984136				FALSE	FALSE		-	TRUE
gene_2958	1981518	Downregulated	14.2359853843173	-3.86928872104892	9.22341237005621e-6	jgi.p|Ophnu1|1981518	jgi.p|Ophnu1|1981518	cellulase activity	Cellulase.	Starch and sucrose metabolism	TRUE	TRUE	AA9_e7	cellulose	TRUE
gene_1070	1979630	Downregulated	5.26824178682125	-3.84638206521437	0.0138567943820694	jgi.p|Ophnu1|1979630	jgi.p|Ophnu1|1979630				FALSE	FALSE		-	TRUE
gene_4757	1983317	Downregulated	1108.09445627869	-3.79305651953303	1.91703714051524e-93	jgi.p|Ophnu1|1983317	jgi.p|Ophnu1|1983317	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	TRUE		-	TRUE
gene_7555	1986115	Upregulated	105.486026946753	10.3594480425544	2.94813485946502e-17	jgi.p|Ophnu1|1986115	jgi.p|Ophnu1|1986115				FALSE	FALSE		-	TRUE
gene_1322	1979882	Upregulated	12434.5333763648	9.67476214622918	0	jgi.p|Ophnu1|1979882	jgi.p|Ophnu1|1979882	metabolic process; oxidoreductase activity; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity	15-hydroxyprostaglandin dehydrogenase (NAD+).	\N	FALSE	FALSE		-	TRUE
gene_8543	1987103	Upregulated	21.0093802617062	7.99737019612562	4.5690207660406103e-10	jgi.p|Ophnu1|1987103	jgi.p|Ophnu1|1987103				FALSE	FALSE		-	TRUE
gene_1724	1980284	Upregulated	10.6494207925706	6.98853451423081	2.07287969547762e-7	jgi.p|Ophnu1|1980284	jgi.p|Ophnu1|1980284	cellobiose dehydrogenase (acceptor) activity	Cellobiose dehydrogenase (acceptor).	\N	TRUE	TRUE	AA8_e3	lignin	TRUE
gene_6102	1984662	Upregulated	444.205200007386	6.30105203781776	5.84122366112001e-113	jgi.p|Ophnu1|1984662	jgi.p|Ophnu1|1984662				TRUE	FALSE		-	TRUE
gene_3211	1981771	Upregulated	1502.30296100747	5.83450094085867	2.338637533668949e-215	jgi.p|Ophnu1|1981771	jgi.p|Ophnu1|1981771	metabolic process; oxidoreductase activity; 3-oxoacyl-[acyl-carrier-protein] reductase activity	3-oxoacyl-[acyl-carrier protein] reductase.	Fatty acid biosynthesis (path 1)	FALSE	FALSE		-	TRUE
gene_1480	1980040	Upregulated	33.9246051967723	5.80332826957266	6.11355554098578e-13	jgi.p|Ophnu1|1980040	jgi.p|Ophnu1|1980040	metabolic process; sulfuric ester hydrolase activity; N-sulfoglucosamine sulfohydrolase activity	N-sulfoglucosamine sulfohydrolase.	\N	FALSE	TRUE		-	TRUE
gene_6973	1985533	Upregulated	119.35300619768	5.6813357121006	1.02808806094344e-29	jgi.p|Ophnu1|1985533	jgi.p|Ophnu1|1985533	metabolic process; hydrolase activity; phospholipase activity; lipase activity; 1-oxa-2-oxocycloheptane lactonase activity; sulfolactone hydrolase activity; 3,4-dihydrocoumarin hydrolase activity; butyrolactone hydrolase activity	Carboxylic ester hydrolases.	2,4-Dichlorobenzoate degradation; Pentose and glucuronate interconversions; Butanoate metabolism	FALSE	FALSE		-	TRUE
gene_6803	1985363	Upregulated	4.69681262303136	5.67064548582031	1.4614354142815e-4	jgi.p|Ophnu1|1985363	jgi.p|Ophnu1|1985363				TRUE	FALSE		-	TRUE
gene_4422	1982982	Upregulated	90.6435440931073	5.37759813080258	1.3410693605809998e-27	jgi.p|Ophnu1|1982982	jgi.p|Ophnu1|1982982	metabolic process; oxidoreductase activity			FALSE	TRUE		-	TRUE
gene_2632	1981192	Upregulated	1040.79370861967	5.33501859314957	1.4862486230463398e-211	jgi.p|Ophnu1|1981192	jgi.p|Ophnu1|1981192	monooxygenase activity; iron ion binding; electron transport; heme binding; 3-(3-hydroxy-phenyl)propionate hydroxylase activity; 4-chlorobenzaldehyde oxidase activity; 3,5-xylenol methylhydroxylase activity; phenylacetate hydroxylase activity; 4-nitrophenol 4-monooxygenase activity; dimethyl sulfide monooxygenase activity; alpha-pinene monooxygenase [NADH] activity; limonene 1,2-monooxygenase activity; phenanthrene 9,10-monooxygenase activity; 1-hydroxy-2-naphthoate hydroxylase activity; toluene 4-monooxygenase activity; xylene monooxygenase activity; dibenzothiophene monooxygenase activity; 6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity; chlorophenol 4-monooxygenase activity; carbon disulfide oxygenase activity; toluene 2-monooxygenase activity; 1-hydroxy-2-oxolimonene 1,2-monooxygenase activity; phenanthrene 1,2-monooxygenase activity; methanesulfonic acid monooxygenase activity; tetrahydrofuran hydroxylase activity; styrene monooxygenase activity; toluene-4-sulfonate monooxygenase activity; toluene-sulfonate methyl-monooxygenase activity; 3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity; 2-hydroxy-phenylacetate hydroxylase activity; 2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity; phenanthrene 3,4-monooxygenase activity; toluene 3-monooxygenase activity; limonene monooxygenase activity; 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase; 6-hydroxynicotinate 3-monooxygenase activity	With NADH or NADPH as one donor, and incorporation of one atom	Methane metabolism; Phenylalanine metabolism; Ubiquinone biosynthesis; Alkaloid biosynthesis I; Styrene degradation; Tryptophan metabolism; Androgen and estrogen metabolism; Sterol biosynthesis; 1,4-Dichlorobenzene degradation; Tyrosine metabolism; Bile acid biosynthesis; Flavonoids, stilbene and lignin biosynthesis; Histidine metabolism; gamma-Hexachlorocyclohexane degradation	FALSE	FALSE		-	TRUE
gene_3809	1982369	Upregulated	11257.1832101299	5.28800999349957	0	jgi.p|Ophnu1|1982369	jgi.p|Ophnu1|1982369				TRUE	FALSE		-	TRUE
gene_1574	1980134	Upregulated	552.291339581293	5.22143688835723	6.55970462888773e-117	jgi.p|Ophnu1|1980134	jgi.p|Ophnu1|1980134	peroxidase activity; electron transport			TRUE	FALSE		-	TRUE
gene_1406	1979966	Upregulated	312.02570499325	5.08131066082125	1.19055597331306e-77	jgi.p|Ophnu1|1979966	jgi.p|Ophnu1|1979966	metabolic process; oxidoreductase activity; 3-oxoacyl-[acyl-carrier-protein] reductase activity	3-oxoacyl-[acyl-carrier protein] reductase.	Fatty acid biosynthesis (path 1)	FALSE	FALSE		-	TRUE
gene_1512	1980072	Upregulated	18.452381283645	5.06833315089217	3.64579189212141e-7	jgi.p|Ophnu1|1980072	jgi.p|Ophnu1|1980072	viral capsid			TRUE	TRUE	AA16_e2	cellulose	TRUE
gene_5612	1984172	Upregulated	282.538013450813	5.06200047944124	1.81794664637581e-83	jgi.p|Ophnu1|1984172	jgi.p|Ophnu1|1984172	polygalacturonase activity; carbohydrate metabolic process			TRUE	TRUE	GH28_e27	pectin	TRUE
gene_6043	1984603	Upregulated	297.800291193595	5.00080873282005	1.9146966330432397e-89	jgi.p|Ophnu1|1984603	jgi.p|Ophnu1|1984603				FALSE	FALSE		-	TRUE
gene_7725	1986285	Upregulated	938.303152049709	4.64261913510915	1.4434576037099999e-198	jgi.p|Ophnu1|1986285	jgi.p|Ophnu1|1986285				FALSE	TRUE		-	TRUE
gene_1893	1980453	Upregulated	201.380498138483	4.61638053976253	4.4383383280228e-67	jgi.p|Ophnu1|1980453	jgi.p|Ophnu1|1980453	zinc ion binding; oxidoreductase activity; NADPH:quinone reductase activity	NADPH:quinone reductase.	\N	FALSE	FALSE		-	TRUE
gene_3957	1982517	Upregulated	63.0458560717601	4.60931430211745	6.5619184557746504e-24	jgi.p|Ophnu1|1982517	jgi.p|Ophnu1|1982517	zinc ion binding			FALSE	FALSE		-	TRUE
gene_1892	1980452	Upregulated	1220.03244393468	4.59642282811118	6.80606771915635e-239	jgi.p|Ophnu1|1980452	jgi.p|Ophnu1|1980452	phosphopantetheine binding; metabolic process; catalytic activity; binding; fatty-acid synthase activity	Fatty-acid synthase.	Fatty acid biosynthesis (path 1)	FALSE	TRUE		-	TRUE
gene_7088	1985648	Upregulated	62.6622808900568	4.55973662170196	9.16831863897702e-27	jgi.p|Ophnu1|1985648	jgi.p|Ophnu1|1985648				FALSE	FALSE		-	TRUE
gene_7930	1986490	Upregulated	36.3932083588627	4.54600526363792	9.72975379041918e-16	jgi.p|Ophnu1|1986490	jgi.p|Ophnu1|1986490	carbonate dehydratase activity; zinc ion binding; carbon utilization	Carbonate dehydratase.	Nitrogen metabolism	FALSE	FALSE		-	TRUE
gene_1833	1980393	Upregulated	353.951437268764	4.36870183040631	1.24834583861582e-78	jgi.p|Ophnu1|1980393	jgi.p|Ophnu1|1980393	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; methionine biosynthetic process	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	Methionine metabolism	FALSE	TRUE		-	TRUE
gene_1497	1980057	Upregulated	55.2747781008982	4.21295389605965	1.6091070569205398e-18	jgi.p|Ophnu1|1980057	jgi.p|Ophnu1|1980057	subtilase activity; proteolysis; serine-type peptidase activity; tripeptidyl-peptidase I activity	Tripeptidyl-peptidase I.	\N	TRUE	TRUE		-	TRUE
gene_1391	1979951	Upregulated	468.975014510957	4.2057550470811504	8.4506780621949395e-134	jgi.p|Ophnu1|1979951	jgi.p|Ophnu1|1979951				TRUE	FALSE		-	TRUE
gene_2439	1980999	Upregulated	1.84591949146278	4.13561477070074	0.0257743777727859	jgi.p|Ophnu1|1980999	jgi.p|Ophnu1|1980999				FALSE	FALSE		-	TRUE
gene_3469	1982029	Upregulated	72.4009807930766	3.97904234123989	1.03328721725158e-17	jgi.p|Ophnu1|1982029	jgi.p|Ophnu1|1982029	flavin-containing monooxygenase activity	Dimethylaniline monooxygenase (N-oxide forming).	\N	FALSE	TRUE		-	TRUE
gene_1735	1980295	Upregulated	738.714069199106	3.91215640185307	2.4241351712125297e-234	jgi.p|Ophnu1|1980295	jgi.p|Ophnu1|1980295	carbohydrate metabolic process; transaldolase activity	Transaldolase.	Pentose phosphate pathway	FALSE	FALSE		-	TRUE
gene_5405	1983965	Upregulated	342.047641590788	3.872353969528	4.9937000645519e-102	jgi.p|Ophnu1|1983965	jgi.p|Ophnu1|1983965	catalytic activity; metabolic process; dihydroxy-acid dehydratase activity	Dihydroxy-acid dehydratase.	Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis	FALSE	TRUE		-	TRUE
