gene_id	direction	raw_baseMean	raw_log2FoldChange	shrunk_log2FoldChange	raw_padj	display_label	preferred_name	description	pfams	cog	go_terms	kegg_ko	signal_peptide	cazyme	cazy_eggnog	cazy_dbcan	has_readable_annotation
TRINITY_DN1875_c0_g1	Downregulated	4453.02296597974	-1.26499685711563	-1.25777994733829	9.02977814518093e-74	TRINITY_DN1875_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN14568_c0_g1	Downregulated	822.193304636002	-1.26854616590412	-1.25652254552065	9.64766035414254e-45	BCS1 N terminal		BCS1 N terminal	AAA,BCS1_N	O		ko:K08900	FALSE	FALSE			TRUE
TRINITY_DN8269_c1_g2	Downregulated	21.8099874760069	-1.68746462061599	-1.23926011810373	0.00751883212524596	Belongs to the cytochrome P450 family		Belongs to the cytochrome P450 family	p450	Q			FALSE	FALSE			TRUE
TRINITY_DN2760_c0_g1	Downregulated	401.8436486752	-1.24213957805141	-1.21346525616506	1.24836280098186e-18	DAO1	DAO1	D-amino-acid oxidase; FAD dependent oxidoreductase	DAO	E		ko:K00272,ko:K00273	FALSE	TRUE			TRUE
TRINITY_DN6905_c0_g1	Downregulated	127.360095682663	-1.26439986564482	-1.19445928453379	1.89923069755164e-8	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p		GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	Cas1_AcylT,PC-Esterase	S		ko:K03377	FALSE	FALSE			TRUE
TRINITY_DN11664_c0_g1	Downregulated	34.5147455569505	-1.45864592781144	-1.17572861256655	0.00210543232991535	TRINITY_DN11664_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN1259_c0_g1	Downregulated	525.490413064163	-1.17546801125944	-1.15571468540637	2.2624344803552e-25	bZIP_2			bZIP_2				FALSE	FALSE			TRUE
TRINITY_DN2627_c0_g1	Downregulated	123.382607972014	-1.22493641440935	-1.15003845550449	1.06718362901598e-7	TRINITY_DN2627_c0_g1							TRUE	FALSE			FALSE
TRINITY_DN14626_c0_g1	Downregulated	44.4848241961111	-1.35265468567104	-1.13506664533485	0.0010528406121759	integral membrane protein		integral membrane protein		S			FALSE	FALSE			TRUE
TRINITY_DN12913_c0_g1	Downregulated	57.5698692645145	-1.33791487484525	-1.12980641030667	7.2009012783116e-4	FAD binding domain		FAD binding domain	FAD_binding_2,FAD_binding_3	C	GO:0000166,GO:0003674,GO:0003824,GO:0004497,GO:0004502,GO:0005488,GO:0006082,GO:0006139,GO:0006520,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009987,GO:0016053,GO:0016174,GO:0016491,GO:0016651,GO:0016705,GO:0016709,GO:0018958,GO:0019362,GO:0019438,GO:0019637,GO:0019674,GO:0019748,GO:0019752,GO:0032787,GO:0034641,GO:0036094,GO:0042180,GO:0042181,GO:0042537,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0046394,GO:0046483,GO:0046496,GO:0048037,GO:0050660,GO:0050662,GO:0050664,GO:0051186,GO:0055086,GO:0055114,GO:0070189,GO:0071704,GO:0072330,GO:0072524,GO:0097159,GO:1900813,GO:1900815,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1901605,GO:1901615,GO:1901617		FALSE	FALSE			TRUE
TRINITY_DN16034_c0_g1	Downregulated	284.217754665181	-1.08444024070031	-1.0410185375629	4.2723701955918195e-11	TRINITY_DN16034_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN14765_c0_g1	Downregulated	399.217096510451	-1.42794703993568	-1.03398441130269	0.0085809616713595	TRINITY_DN14765_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN5040_c0_g1	Downregulated	482.22478207186	-1.05088243154979	-1.02884711613556	3.4350996080338996e-20	TRINITY_DN5040_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN538_c0_g2	Downregulated	3018.64713338566	-1.01970840008026	-1.01315642853346	5.27150413567221e-64	WSC domain		WSC domain	WSC	S			TRUE	FALSE			TRUE
TRINITY_DN3531_c0_g1	Downregulated	234.928659441064	-1.04273831544004	-0.984875369924441	3.07137542795232e-8	Ferric reductase like transmembrane component		Ferric reductase like transmembrane component	FAD_binding_8,Ferric_reduct,NAD_binding_1,NAD_binding_6	PQ			TRUE	TRUE			TRUE
TRINITY_DN9400_c0_g1	Downregulated	329.820135350104	-1.02962948417168	-0.980762740281449	2.3562844125047302e-9	Quinone oxidoreductase		Quinone oxidoreductase	ADH_N	C			FALSE	TRUE			TRUE
TRINITY_DN10790_c0_g1	Downregulated	8845.68932146449	-0.970984391449653	-0.966963624807611	3.45649525350873e-98	UPS2	UPS2	PRELI-like family	PRELI	U	GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006996,GO:0007005,GO:0007006,GO:0007007,GO:0008150,GO:0008152,GO:0009653,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010563,GO:0010876,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016043,GO:0019216,GO:0019220,GO:0019222,GO:0019637,GO:0019866,GO:0019898,GO:0031090,GO:0031312,GO:0031314,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032048,GO:0032502,GO:0032989,GO:0032990,GO:0033036,GO:0034204,GO:0042407,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045332,GO:0045833,GO:0045936,GO:0046337,GO:0046471,GO:0046486,GO:0046890,GO:0048519,GO:0048523,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051055,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0061024,GO:0065007,GO:0065008,GO:0070013,GO:0070584,GO:0071071,GO:0071072,GO:0071702,GO:0071704,GO:0071840,GO:0080090,GO:0097035,GO:1903725,GO:1903726,GO:1990050,GO:2001245,GO:2001246		FALSE	FALSE			TRUE
TRINITY_DN13118_c0_g1	Downregulated	3468.72565338517	-0.964086753799641	-0.95844317904154	1.55046091990999e-69	GDH3	GDH3	Belongs to the Glu Leu Phe Val dehydrogenases family	ELFV_dehydrog,ELFV_dehydrog_N	E	GO:0001505,GO:0003674,GO:0003824,GO:0004353,GO:0004354,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0010033,GO:0016053,GO:0016491,GO:0016638,GO:0016639,GO:0017144,GO:0019676,GO:0019740,GO:0019752,GO:0030447,GO:0033993,GO:0036267,GO:0040007,GO:0042133,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043650,GO:0044182,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046677,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070783,GO:0070887,GO:0071236,GO:0071310,GO:0071396,GO:0071704,GO:0097054,GO:0097305,GO:0097306,GO:0097307,GO:0097308,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901700,GO:1901701	ko:K00262	FALSE	FALSE			TRUE
TRINITY_DN2605_c0_g1	Upregulated	5673.32446833952	3.41800260417491	3.41628085244577	0	Cryptococcal mannosyltransferase 1; FAD binding domain of DNA photolyase		Cryptococcal mannosyltransferase 1; FAD binding domain of DNA photolyase	CAP59_mtransfer; DNA_photolyase,FAD_binding_7	G; LT		ko:K01669; ko:K13690	FALSE	TRUE	GT69	GT69	TRUE
TRINITY_DN14712_c0_g1	Upregulated	1477.5701341802	3.29315413671494	3.28882571440251	0	vivid PAS protein VVD		vivid PAS protein VVD	PAS_9	T			FALSE	FALSE			TRUE
TRINITY_DN17968_c0_g1	Upregulated	125.327898406437	3.14579711954558	3.09268609073076	1.4737699615145698e-25	GATA zinc finger		GATA zinc finger	GATA	K			FALSE	FALSE			TRUE
TRINITY_DN9690_c0_g1	Upregulated	47.7001717918418	2.88845484137577	2.75844165062261	2.53195672154026e-10	TRINITY_DN9690_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN2390_c0_g1	Upregulated	1459.45767080432	2.57665255314524	2.57198773745045	3.4701913388649593e-240	GATA zinc finger		GATA zinc finger	GATA	K			FALSE	FALSE			TRUE
TRINITY_DN11378_c0_g1	Upregulated	85.9671790540184	2.56676807127783	2.49603229535884	3.72667844954988e-16	CFEM domain		CFEM domain	CFEM	S			FALSE	FALSE			TRUE
TRINITY_DN7773_c0_g1	Upregulated	28.6812770860527	2.66715205185386	2.43958551875424	4.73956813121762e-6	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr	P			FALSE	TRUE			TRUE
TRINITY_DN9409_c0_g1	Upregulated	233.589718550028	2.3773535767209	2.35073747780466	2.13112622972307e-38	Belongs to the sterol desaturase family		Belongs to the sterol desaturase family	FA_hydroxylase	S			FALSE	TRUE			TRUE
TRINITY_DN10331_c0_g1	Upregulated	92.5126066913497	2.38904591886784	2.32436937082911	2.54433333853851e-16	avfA	avfA	NAD(P)H-binding	NAD_binding_10	S			FALSE	FALSE			TRUE
TRINITY_DN16328_c0_g1	Upregulated	2011.47936253275	2.28351227728983	2.27894775337451	4.4980795664720095e-211	neutral amino acid permease		neutral amino acid permease	Aa_trans	S			FALSE	TRUE			TRUE
TRINITY_DN17091_c0_g1	Upregulated	131.780682743184	2.30751640601121	2.26284234082252	1.6738249792463699e-22	TRINITY_DN17091_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN11121_c0_g1	Upregulated	77.0492962184316	2.32440112578307	2.25159533128591	2.4401463719234502e-14	Aldo/keto reductase family		Aldo/keto reductase family	Aldo_ket_red	C			FALSE	FALSE			TRUE
TRINITY_DN11743_c0_g1	Upregulated	112.643290263035	2.29538554793159	2.23023453448269	1.7556411370959402e-15	TRINITY_DN11743_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN14440_c0_g1	Upregulated	696.758273831736	2.19055983007455	2.17867736936095	1.52639310364565e-78	Base excision DNA repair protein		Base excision DNA repair protein	HhH-GPD	L		ko:K10773	FALSE	FALSE			TRUE
TRINITY_DN14980_c0_g1	Upregulated	96.1321312945982	2.19163823741233	2.07518102044292	5.182971460386291e-9	TRINITY_DN14980_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN1649_c0_g1	Upregulated	1065.66936425444	2.07046010212463	2.06383834958844	8.79188771603643e-127	TRINITY_DN1649_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN16956_c0_g1	Upregulated	194.535722160174	2.0327053169443	1.99537572519435	2.2888572455877397e-23	TRINITY_DN16956_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN13015_c0_g1	Upregulated	119.860098584779	2.05443460017475	1.98873690580021	5.65366813918746e-14	Belongs to the type-B carboxylesterase lipase family		Belongs to the type-B carboxylesterase lipase family	COesterase	G			FALSE	TRUE			TRUE
TRINITY_DN3940_c0_g1	Upregulated	592.777582775508	1.8523710683672	1.84071860189278	1.2326941038844701e-67	TRINITY_DN3940_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN16147_c0_g1	Upregulated	273.85010857496	1.81500164143561	1.78938883090748	2.2816933034795698e-30	Cytochrome P450		Cytochrome P450	p450	IQ			FALSE	FALSE			TRUE
TRINITY_DN12445_c0_g1	Upregulated	24.0802693495202	2.07648305516437	1.77992440022452	5.241971268192e-4	TRINITY_DN12445_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN6033_c0_g2	Upregulated	927.29084952813	1.73730020573296	1.72884630879576	4.22196876712432e-86	to trehalase precursor		to trehalase precursor	Trehalase	G		ko:K01194	TRUE	TRUE	GH37	GH37	TRUE
TRINITY_DN13119_c0_g1	Upregulated	28.8033690071329	1.99114063338918	1.72679201214435	3.4816154993793e-4	TRINITY_DN13119_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN8902_c0_g1	Upregulated	29.7253077849342	1.93813135361006	1.71625614645275	9.31868451798832e-5	TRINITY_DN8902_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN2780_c0_g1	Upregulated	8766.03906311854	1.71629434321196	1.71407135714668	0	Conserved hypothetical protein		Conserved hypothetical protein	FRQ	S			FALSE	FALSE			TRUE
TRINITY_DN11384_c0_g1	Upregulated	21.0205611815294	2.0219824318006	1.70780627224967	7.4931885947573e-4	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr	P			FALSE	FALSE			TRUE
TRINITY_DN16565_c0_g1	Upregulated	563.355862453782	1.68302976590996	1.66688364382133	2.9287960436031496e-44	Belongs to the short-chain dehydrogenases reductases (SDR) family		Belongs to the short-chain dehydrogenases reductases (SDR) family	adh_short	Q			FALSE	TRUE			TRUE
TRINITY_DN2108_c0_g1	Upregulated	705.562068402686	1.66970046047075	1.65840015925267	1.51285105220422e-63	NAD(P)H-binding		NAD(P)H-binding	NAD_binding_10,NmrA	S			FALSE	TRUE			TRUE
TRINITY_DN9575_c0_g1	Upregulated	22.5323158699255	1.94013894378741	1.62897401964758	9.8089086651538e-4	TRINITY_DN9575_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN16347_c0_g1	Upregulated	272.97221495109	1.64327018799473	1.61450307567152	1.39315869627726e-24	TRINITY_DN16347_c0_g1							FALSE	FALSE			FALSE
