# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-B" "-C" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "/home/alex/dual-rnaseq-elm-fungi/audit/strandedness/ophiostoma.gtf" "-o" "/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/gene_counts/ophiostoma_gene_featurecounts.txt" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam
gene_80	OphioH327chr_1	353489	358132	-	4644	1763	1677	1569	1298	1102	1687	2213	3269	4268
gene_81	OphioH327chr_1	360151	361563	-	1413	1444	1416	1404	671	587	890	1888	2365	3024
gene_82	OphioH327chr_1	366149	368611	-	2463	830	807	739	580	534	800	885	1319	1552
gene_83	OphioH327chr_1	372723	373937	+	1215	703	697	699	798	673	964	1003	1368	1533
gene_84	OphioH327chr_1	374112	376460	-	2349	551	561	507	421	332	461	903	1218	1481
gene_85	OphioH327chr_1	378625	379791	+	1167	830	767	778	429	309	545	1361	1832	1898
gene_86	OphioH327chr_1	380276	381802	-	1527	0	3	1	1	2	5	9	4	16
gene_87	OphioH327chr_1	383824	385515	-	1692	256	261	279	334	314	490	574	713	899
gene_88	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	386197;386367;386486;386552;386684;386918;387044	386238;386407;386501;386617;386864;386996;387122	+;+;+;+;+;+;+	504	336	320	286	214	169	265	587	641	686
gene_89	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	387289;389568;389671;389739	389510;389596;389687;390599	-;-;-;-	3129	291	335	288	351	324	480	427	748	843
gene_90	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	393940;394147;397292	394094;395062;398620	+;+;+	2400	411	421	409	674	566	1347	1485	1627	2026
gene_91	OphioH327chr_1	399109	400635	-	1527	486	475	489	622	518	830	1101	1420	1788
gene_92	OphioH327chr_1	406066	410001	+	3936	808	763	714	611	569	813	836	1081	1527
gene_93	OphioH327chr_1	410100	412511	-	2412	940	942	896	2929	2310	3819	581	756	911
gene_94	OphioH327chr_1	413695	414498	+	804	114	106	121	17	15	25	35	48	39
gene_95	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	415633;416154;416325	416091;416265;417631	+;+;+	1878	223	246	232	548	524	592	140	195	209
gene_96	OphioH327chr_1	418212	418607	+	396	187	210	127	77	77	215	397	431	452
gene_97	OphioH327chr_1;OphioH327chr_1	421640;421711	421658;422057	+;+	366	8396	9458	10354	1033	1039	799	6466	13351	9810
gene_98	OphioH327chr_1	422809	424386	+	1578	206	243	203	355	314	309	197	340	393
gene_99	OphioH327chr_1	424588	425814	-	1227	34	24	22	34	23	86	64	59	105
gene_100	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	426634;426790;426918	426732;426864;428009	-;-;-	1266	1453	1398	1268	1462	1190	2623	3412	3583	4974
gene_101	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	430839;431837;431985	431757;431934;434480	+;+;+	3513	1378	1451	1455	1243	1045	1661	1800	2504	3107
gene_102	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	440173;440467;440609;441530;441820;443381	440393;440540;441434;441770;443327;444014	+;+;+;+;+;+	3504	30	25	25	9	14	16	669	787	1129
gene_103	OphioH327chr_1;OphioH327chr_1	444919;445002	444949;445225	+;+	255	467	479	413	236	248	469	1171	1439	1424
gene_104	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	446023;446092;446425	446036;446361;446755	-;-;-	615	51	52	43	66	60	148	254	242	304
gene_105	OphioH327chr_1;OphioH327chr_1	448479;450031	449959;450184	-;-	1635	696	646	545	732	647	1470	2436	2394	3681
gene_106	OphioH327chr_1;OphioH327chr_1	455068;458042	457954;458568	-;-	3414	143	151	167	78	87	205	205	187	252
gene_107	OphioH327chr_1	465039	465485	+	447	60874	53941	54027	11054	9200	15822	51640	66421	82483
gene_108	OphioH327chr_1	466190	469798	-	3609	717	728	680	1074	887	1323	965	1437	1761
gene_109	OphioH327chr_1;OphioH327chr_1	470145;470873	470809;471158	+;+	951	1136	1172	1177	1188	1127	1640	1773	2471	2669
gene_110	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	471200;471352;471818;471894	471303;471744;471844;472161	-;-;-;-	792	131	128	115	163	158	278	455	557	561
gene_111	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	472762;473502;474560	473450;474508;474627	-;-;-	1764	1299	1284	1142	2245	1742	4435	4394	4761	6465
gene_112	OphioH327chr_1;OphioH327chr_1	476946;477892	477833;477924	-;-	921	460	498	458	702	608	921	1276	1640	1522
gene_113	OphioH327chr_1	478222	479166	+	945	96	116	105	137	114	161	185	356	251
gene_114	OphioH327chr_1;OphioH327chr_1	479462;480225	480156;480273	-;-	744	390	363	401	228	198	259	669	933	839
gene_115	OphioH327chr_1	482735	483151	+	417	710	666	617	471	347	828	1437	1577	1779
gene_116	OphioH327chr_1	484152	484487	+	336	379	413	435	273	251	371	811	1125	914
gene_117	OphioH327chr_1;OphioH327chr_1	484645;485976	485897;486042	-;-	1320	2985	3264	3372	2616	2339	2767	4609	7865	7769
gene_118	OphioH327chr_1	487438	488100	+	663	248	262	241	180	156	178	329	515	409
gene_119	OphioH327chr_1	488654	490525	-	1872	253	224	229	198	212	388	355	540	633
gene_120	OphioH327chr_1;OphioH327chr_1	493147;493503	493439;494244	+;+	1035	331	342	301	211	176	417	914	835	1032
gene_121	OphioH327chr_1	494356	497463	-	3108	369	334	348	332	329	496	420	593	755
gene_122	OphioH327chr_1;OphioH327chr_1	497907;498209	498152;498829	+;+	867	92	75	62	80	65	134	168	189	198
gene_123	OphioH327chr_1	500540	502567	+	2028	333	376	413	486	373	510	488	918	799
gene_124	OphioH327chr_1;OphioH327chr_1	502809;503641	503585;504102	-;-	1239	275	274	281	276	211	326	301	488	483
gene_125	OphioH327chr_1	504431	505981	+	1551	328	303	295	358	281	397	438	719	854
gene_126	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	506534;509098;518432	509016;518374;518647	-;-;-	11976	2234	1947	1776	2318	1981	4321	4935	6838	9873
gene_127	OphioH327chr_1	520356	521630	-	1275	1989	1876	1777	1175	1020	1963	3023	3633	5301
gene_128	OphioH327chr_1	526710	531350	-	4641	5285	5248	4815	6583	5495	9865	16169	21560	28975
gene_129	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	534896;535645;536356;537629	535593;536294;537576;537810	-;-;-;-	2751	903	783	688	1602	1163	2932	1535	1527	2214
gene_130	OphioH327chr_1	538735	542349	+	3615	1104	1109	979	597	473	980	1726	2035	2825
gene_131	OphioH327chr_1;OphioH327chr_1	542992;547084	543205;548213	-;-	1344	993	992	1039	451	398	526	1389	1921	2014
gene_132	OphioH327chr_1	548862	550262	-	1401	0	0	0	1	1	0	0	7	11
gene_133	OphioH327chr_1	550702	552186	+	1485	45	31	45	24	32	59	75	82	114
gene_134	OphioH327chr_1	552344	553942	-	1599	436	396	390	669	548	1067	1339	1747	2294
gene_135	OphioH327chr_1;OphioH327chr_1	556458;556629	556565;557636	+;+	1116	675	714	678	1602	1350	1835	1274	1799	2009
gene_136	OphioH327chr_1;OphioH327chr_1	562772;563304	562838;564913	+;+	1677	5859	5649	5075	16726	12812	30906	8766	8916	13070
gene_137	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	566533;566679;567817	566614;567774;568270	+;+;+	1632	450	478	407	484	409	734	1046	1277	1495
gene_138	OphioH327chr_1	568652	569404	-	753	251	296	337	257	254	250	356	625	527
gene_139	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	570317;570398;570883	570335;570822;571080	-;-;-	642	1859	1859	1696	1222	1085	2322	4316	5040	6239
gene_140	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	571767;571838;571904;572062	571776;571843;572005;572738	+;+;+;+	795	310	376	373	383	461	952	1148	917	1780
gene_141	OphioH327chr_1	573694	577617	-	3924	2664	2358	2143	1626	1395	3327	4681	4535	7201
gene_142	OphioH327chr_1	588199	588411	+	213	48143	48580	45165	27774	21708	37918	69418	81650	100055
gene_143	OphioH327chr_1	589171	589938	-	768	273	393	386	156	129	110	388	747	577
gene_144	OphioH327chr_1	594212	595126	+	915	21323	21047	19645	12394	9707	17695	31370	38471	48934
gene_145	OphioH327chr_1	596098	597219	-	1122	25	28	30	34	24	67	170	145	233
gene_146	OphioH327chr_1	598170	599108	-	939	638	641	604	426	468	677	1588	2149	2454
gene_147	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	599500;599616;599679;600146	599557;599623;600093;600183	+;+;+;+	519	1171	1120	1043	664	572	1008	2384	3336	3755
gene_148	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	600350;600914;601370;601955;602038	600847;601276;601901;601989;602217	-;-;-;-;-	1608	105	94	82	119	96	301	380	449	483
gene_149	OphioH327chr_1;OphioH327chr_1	603097;605367	605307;605435	+;+	2280	4228	4236	3970	3218	2837	5090	7270	9514	11979
gene_150	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	605689;606031;606404	605971;606355;606707	-;-;-	912	2087	2057	1703	4978	4058	10120	1933	2007	2510
gene_151	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	607580;610890;615100	610200;614655;616245	-;-;-	7533	840	842	750	978	761	1785	1939	1998	3461
gene_152	OphioH327chr_1	617046	619412	+	2367	530	506	468	664	588	1021	1434	1719	2054
gene_153	OphioH327chr_1	621336	623183	+	1848	659	737	616	454	389	723	1327	1832	2244
gene_154	OphioH327chr_1	623888	624352	-	465	3389	3285	3168	3122	2515	4588	5164	6493	8130
gene_155	OphioH327chr_1	625447	627417	+	1971	436	467	389	496	384	866	1473	1484	2121
gene_156	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	629730;629907;630186	629850;630115;630266	+;+;+	411	4135	3757	3660	3372	2694	5917	8351	8897	10828
gene_157	OphioH327chr_1	630943	632334	-	1392	462	384	352	208	167	342	646	804	1017
gene_158	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	633113;634619;634991;635125	634350;634921;635063;636171	-;-;-;-	2661	2152	2137	2085	2355	1939	3470	3206	4028	5076
gene_159	OphioH327chr_1;OphioH327chr_1	637980;641102	641042;641512	-;-	3474	1020	901	896	1103	909	1535	1553	2265	3038
gene_160	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	645690;650126;650225	650056;650163;650967	-;-;-	5148	1241	1331	1084	1290	1039	2237	2429	2655	4161
gene_161	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	657150;657373;657492;657597;657706;657860;658101;658425;658523	657196;657394;657522;657606;657789;658042;658357;658464;658754	+;+;+;+;+;+;+;+;+	906	2981	2651	2383	1865	1490	3404	5081	5987	7647
gene_162	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	659049;660723;664861	660177;664789;665037	-;-;-	5373	2233	2153	2298	2166	1853	3182	4215	5862	7905
gene_163	OphioH327chr_1	666249	667865	+	1617	330	345	349	307	290	398	696	1153	1164
gene_164	OphioH327chr_1	668870	670642	-	1773	534	495	481	380	310	473	646	1028	1100
gene_165	OphioH327chr_1;OphioH327chr_1	675153;676200	676142;676358	-;-	1149	7081	7154	6900	4374	3606	5487	8935	11846	15151
gene_166	OphioH327chr_1	677550	678932	+	1383	952	915	880	697	541	1071	2333	2726	3180
gene_167	OphioH327chr_1;OphioH327chr_1	679124;679238	679169;681237	-;-	2046	1038	1065	963	1298	1128	2281	3461	3543	4462
gene_168	OphioH327chr_1;OphioH327chr_1	682604;684156	684098;684262	-;-	1602	741	750	705	988	797	1633	3083	3628	5132
gene_169	OphioH327chr_1	695041	699474	+	4434	1251	1090	1030	674	600	1123	1735	2485	3217
gene_170	OphioH327chr_1	700177	701133	+	957	183	201	169	208	172	256	367	655	584
gene_171	OphioH327chr_1;OphioH327chr_1	701395;703331	703276;703662	-;-	2214	27	20	17	11	20	25	105	85	144
gene_172	OphioH327chr_1;OphioH327chr_1	705026;705158	705049;706150	+;+	1017	1338	1285	1453	1574	1306	1789	2382	3542	3596
gene_173	OphioH327chr_1;OphioH327chr_1	706371;706856	706770;706887	-;-	432	1379	1211	1163	682	544	1076	2153	2633	3434
gene_174	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	708709;708938;709091	708881;709036;710126	+;+;+	1308	372	349	365	568	478	857	772	1005	1127
gene_175	OphioH327chr_1;OphioH327chr_1	710770;710852	710799;715456	-;-	4635	185	189	149	958	775	1697	2708	3013	4459
gene_176	OphioH327chr_1;OphioH327chr_1	720373;721492	721419;721650	-;-	1206	1729	1700	1684	1896	1459	2665	3128	4210	4952
gene_177	OphioH327chr_1;OphioH327chr_1	723274;723749	723659;726227	+;+	2865	636	645	687	603	641	800	1021	1532	1831
gene_178	OphioH327chr_1;OphioH327chr_1	726485;726848	726789;726959	-;-	417	6285	6491	6461	10873	10378	13025	8344	14220	12513
gene_179	OphioH327chr_1;OphioH327chr_1	728861;729491	729380;730848	+;+	1878	1251	1231	1166	3167	2458	4196	1566	2098	2351
gene_180	OphioH327chr_1	731451	734492	+	3042	393	346	353	361	318	562	573	801	963
gene_181	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	735313;735713;736033;736319;736464;736606;737527	735650;735973;736239;736403;736537;736918;737562	-;-;-;-;-;-;-	1314	5382	4878	4591	4070	3333	6922	9711	11450	16642
gene_182	OphioH327chr_1	739726	741201	-	1476	2069	2142	1989	1257	984	2204	2594	3114	3964
gene_183	OphioH327chr_1	743218	743790	+	573	918	888	766	757	638	1183	1704	2286	2635
gene_184	OphioH327chr_1;OphioH327chr_1	743830;744887	744827;744962	-;-	1074	249	225	274	93	116	114	347	502	399
