gene_id	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate
gene_25	mRNA_25	OTHER	FALSE	1.000000	0.000039		FALSE	FALSE	0	-	-	-	-	-	-
gene_26	mRNA_26	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH47	-	-
gene_27	mRNA_27	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_28	mRNA_28	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_29	mRNA_29	SP	TRUE	0.000370	0.999611	CS pos: 18-19. Pr: 0.9692	FALSE	FALSE	0	-	-	-	-	-	-
gene_30	mRNA_30	SP	TRUE	0.000501	0.999474	CS pos: 21-22. Pr: 0.9545	FALSE	FALSE	0	-	-	-	-	-	-
gene_31	mRNA_31	OTHER	FALSE	1.000000	0.000019		FALSE	FALSE	0	-	-	-	-	-	-
gene_32	mRNA_32	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_33	mRNA_33	SP	TRUE	0.000461	0.999504	CS pos: 20-21. Pr: 0.9697	FALSE	FALSE	0	-	-	-	-	-	-
gene_34	mRNA_34	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_35	mRNA_35	SP	TRUE	0.000222	0.999751	CS pos: 19-20. Pr: 0.9470	FALSE	FALSE	0	-	-	-	-	-	-
gene_36	mRNA_36	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_37	mRNA_37	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-
gene_38	mRNA_38	SP	TRUE	0.000974	0.998994	CS pos: 23-24. Pr: 0.9731	FALSE	FALSE	0	-	-	-	-	-	-
gene_39	mRNA_39	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_40	mRNA_40	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_41	mRNA_41	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_42	mRNA_42	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_43	mRNA_43	OTHER	FALSE	0.999999	0.000029		FALSE	FALSE	0	-	-	-	-	-	-
gene_44	mRNA_44	OTHER	FALSE	1.000000	0.000003		FALSE	FALSE	0	-	-	-	-	-	-
gene_45	mRNA_45	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_46	mRNA_46	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_47	mRNA_47	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_48	mRNA_48	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_49	mRNA_49	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_50	mRNA_50	OTHER	FALSE	1.000000	0.000003		FALSE	FALSE	0	-	-	-	-	-	-
gene_51	mRNA_51	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_52	mRNA_52	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_53	mRNA_53	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_54	mRNA_54	OTHER	FALSE	0.976714	0.023288		FALSE	FALSE	0	-	-	-	-	-	-
gene_55	mRNA_55	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_56	mRNA_56	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_57	mRNA_57	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_58	mRNA_58	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH78	-	-
gene_59	mRNA_59	SP	TRUE	0.000735	0.999236	CS pos: 25-26. Pr: 0.9762	FALSE	FALSE	0	-	-	-	-	-	-
gene_60	mRNA_60	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH37	-	-
gene_61	mRNA_61	SP	TRUE	0.115150	0.884831	CS pos: 31-32. Pr: 0.8464	FALSE	FALSE	0	-	-	-	-	-	-
gene_62	mRNA_62	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_63	mRNA_63	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_64	mRNA_64	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_65	mRNA_65	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH3	-	-
gene_66	mRNA_66	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_67	mRNA_67	OTHER	FALSE	0.950267	0.049756		FALSE	FALSE	0	-	-	-	-	-	-
gene_68	mRNA_68	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_69	mRNA_69	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_70	mRNA_70	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_71	mRNA_71	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_72	mRNA_72	OTHER	FALSE	0.999249	0.000737		FALSE	FALSE	0	-	-	-	-	-	-
gene_73	mRNA_73	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_74	mRNA_74	OTHER	FALSE	0.999913	0.000115		FALSE	FALSE	0	-	-	-	-	-	-
gene_75	mRNA_75	SP	TRUE	0.027075	0.972879	CS pos: 28-29. Pr: 0.8049	FALSE	FALSE	0	-	-	-	-	-	-
gene_76	mRNA_76	OTHER	FALSE	1.000000	0.000004		FALSE	FALSE	0	-	-	-	-	-	-
gene_77	mRNA_77	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_78	mRNA_78	OTHER	FALSE	0.999996	0.000034		FALSE	FALSE	0	-	-	-	-	-	-
gene_79	mRNA_79	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_80	mRNA_80	SP	TRUE	0.001239	0.998731	CS pos: 24-25. Pr: 0.9732	TRUE	FALSE	1	-	-	-	GT39	-	-
gene_81	mRNA_81	SP	TRUE	0.034097	0.965882	CS pos: 19-20. Pr: 0.9136	TRUE	TRUE	3	-	GH132(155-462)	GH132_e2(164-465)	GH132	GH132_e2	beta-glucan
gene_82	mRNA_82	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_83	mRNA_83	OTHER	FALSE	0.999490	0.000526		FALSE	FALSE	0	-	-	-	-	-	-
gene_84	mRNA_84	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_85	mRNA_85	OTHER	FALSE	1.000000	0.000003		FALSE	FALSE	0	-	-	-	-	-	-
gene_86	mRNA_86	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_87	mRNA_87	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_88	mRNA_88	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_89	mRNA_89	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_90	mRNA_90	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_91	mRNA_91	OTHER	FALSE	0.999846	0.000164		FALSE	FALSE	0	-	-	-	-	-	-
gene_92	mRNA_92	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_93	mRNA_93	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_94	mRNA_94	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_95	mRNA_95	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_96	mRNA_96	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_97	mRNA_97	OTHER	FALSE	1.000000	0.000005		FALSE	FALSE	0	-	-	-	-	-	-
gene_98	mRNA_98	OTHER	FALSE	1.000000	0.000003		FALSE	FALSE	0	-	-	-	-	-	-
gene_99	mRNA_99	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_100	mRNA_100	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_101	mRNA_101	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_102	mRNA_102	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_103	mRNA_103	OTHER	FALSE	0.991105	0.008896		FALSE	FALSE	0	-	-	-	-	-	-
gene_104	mRNA_104	OTHER	FALSE	0.999795	0.000238		FALSE	FALSE	0	-	-	-	-	-	-
gene_105	mRNA_105	OTHER	FALSE	0.999910	0.000105		TRUE	FALSE	1	-	-	-	GH47	-	-
gene_106	mRNA_106	OTHER	FALSE	0.998997	0.001010		FALSE	FALSE	0	-	-	-	-	-	-
gene_107	mRNA_107	SP	TRUE	0.000212	0.999757	CS pos: 24-25. Pr: 0.9591	FALSE	FALSE	0	-	-	-	-	-	-
gene_108	mRNA_108	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH16	-	-
gene_109	mRNA_109	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_110	mRNA_110	OTHER	FALSE	0.998622	0.001400		FALSE	FALSE	0	-	-	-	-	-	-
gene_111	mRNA_111	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_112	mRNA_112	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_113	mRNA_113	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_114	mRNA_114	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_115	mRNA_115	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_116	mRNA_116	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_117	mRNA_117	OTHER	FALSE	1.000000	0.000015		FALSE	FALSE	0	-	-	-	-	-	-
gene_118	mRNA_118	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_119	mRNA_119	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_120	mRNA_120	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_121	mRNA_121	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH13_26	-	-
gene_122	mRNA_122	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_123	mRNA_123	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_124	mRNA_124	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_125	mRNA_125	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_126	mRNA_126	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_127	mRNA_127	SP	TRUE	0.000237	0.999731	CS pos: 16-17. Pr: 0.9452	TRUE	TRUE	3	1.14.99.53:1	AA11(17-213)	AA11_e7(18-211)	AA11	AA11_e7	chitin
gene_128	mRNA_128	OTHER	FALSE	1.000000	0.000014		TRUE	FALSE	1	-	-	-	GH105	-	-
gene_129	mRNA_129	OTHER	FALSE	1.000000	0.000001		TRUE	FALSE	1	-	-	-	GH79	-	-
gene_130	mRNA_130	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_131	mRNA_131	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_132	mRNA_132	OTHER	FALSE	0.819440	0.180576		FALSE	FALSE	0	-	-	-	-	-	-
gene_133	mRNA_133	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_134	mRNA_134	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_135	mRNA_135	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_136	mRNA_136	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_137	mRNA_137	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_138	mRNA_138	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_139	mRNA_139	SP	TRUE	0.001135	0.998830	CS pos: 22-23. Pr: 0.7875	FALSE	FALSE	0	-	-	-	-	-	-
gene_140	mRNA_140	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_141	mRNA_141	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_142	mRNA_142	SP	TRUE	0.064911	0.935063	CS pos: 19-20. Pr: 0.9413	FALSE	FALSE	0	-	-	-	-	-	-
gene_143	mRNA_143	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_144	mRNA_144	OTHER	FALSE	0.999947	0.000114		FALSE	FALSE	0	-	-	-	-	-	-
gene_145	mRNA_145	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_146	mRNA_146	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_147	mRNA_147	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_148	mRNA_148	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_149	mRNA_149	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_150	mRNA_150	OTHER	FALSE	0.999995	0.000017		FALSE	FALSE	0	-	-	-	-	-	-
gene_151	mRNA_151	OTHER	FALSE	1.000000	0.000013		FALSE	FALSE	0	-	-	-	-	-	-
gene_152	mRNA_152	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_153	mRNA_153	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_154	mRNA_154	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_155	mRNA_155	OTHER	FALSE	0.999050	0.000943		FALSE	FALSE	0	-	-	-	-	-	-
gene_156	mRNA_156	OTHER	FALSE	1.000000	0.000009		FALSE	FALSE	0	-	-	-	-	-	-
gene_157	mRNA_157	SP	TRUE	0.000201	0.999775	CS pos: 25-26. Pr: 0.9767	FALSE	FALSE	0	-	-	-	-	-	-
gene_158	mRNA_158	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_159	mRNA_159	OTHER	FALSE	1.000000	0.000052		FALSE	FALSE	0	-	-	-	-	-	-
gene_160	mRNA_160	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_161	mRNA_161	OTHER	FALSE	0.998930	0.001102		FALSE	FALSE	0	-	-	-	-	-	-
gene_162	mRNA_162	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-
gene_163	mRNA_163	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	CE8	-	-
gene_164	mRNA_164	SP	TRUE	0.000532	0.999437	CS pos: 21-22. Pr: 0.9729	TRUE	TRUE	3	-	GH132(121-379)	GH132_e1(121-377)	GH132	GH132_e1	beta-glucan
gene_165	mRNA_165	OTHER	FALSE	1.000000	0.000045		FALSE	FALSE	0	-	-	-	-	-	-
gene_166	mRNA_166	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_167	mRNA_167	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_168	mRNA_168	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_169	mRNA_169	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_170	mRNA_170	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_171	mRNA_171	OTHER	FALSE	0.684997	0.315006		FALSE	FALSE	0	-	-	-	-	-	-
gene_172	mRNA_172	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_173	mRNA_173	OTHER	FALSE	0.999534	0.000478		FALSE	FALSE	0	-	-	-	-	-	-
gene_174	mRNA_174	SP	TRUE	0.000289	0.999691	CS pos: 26-27. Pr: 0.8794	TRUE	TRUE	3	3.2.1.14:58	GH18(51-401)	GH18_e272(53-401)	GH18	GH18_e272	chitin
gene_175	mRNA_175	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH72	-	-
gene_176	mRNA_176	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_177	mRNA_177	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_178	mRNA_178	OTHER	FALSE	0.977640	0.022366		FALSE	FALSE	0	-	-	-	-	-	-
gene_179	mRNA_179	OTHER	FALSE	1.000000	0.000005		FALSE	FALSE	0	-	-	-	-	-	-
gene_180	mRNA_180	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_181	mRNA_181	OTHER	FALSE	0.999647	0.000387		FALSE	FALSE	0	-	-	-	-	-	-
gene_182	mRNA_182	OTHER	FALSE	1.000000	0.000005		FALSE	FALSE	0	-	-	-	-	-	-
gene_183	mRNA_183	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_184	mRNA_184	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_185	mRNA_185	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_186	mRNA_186	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_187	mRNA_187	OTHER	FALSE	1.000000	0.000003		TRUE	TRUE	3	-	GT34(91-339)	GT34_e16(93-275)	GT0	GT34_e16	-
gene_188	mRNA_188	OTHER	FALSE	1.000000	0.000017		FALSE	FALSE	0	-	-	-	-	-	-
gene_189	mRNA_189	OTHER	FALSE	1.000000	0.000007		FALSE	FALSE	0	-	-	-	-	-	-
gene_190	mRNA_190	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_191	mRNA_191	OTHER	FALSE	1.000000	0.000005		FALSE	FALSE	0	-	-	-	-	-	-
gene_192	mRNA_192	OTHER	FALSE	1.000000	0.000023		FALSE	FALSE	0	-	-	-	-	-	-
gene_193	mRNA_193	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_194	mRNA_194	OTHER	FALSE	1.000000	0.000002		TRUE	FALSE	1	-	-	-	GT50	-	-
gene_195	mRNA_195	OTHER	FALSE	1.000000	0.000006		FALSE	FALSE	0	-	-	-	-	-	-
gene_196	mRNA_196	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_197	mRNA_197	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_198	mRNA_198	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_199	mRNA_199	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_200	mRNA_200	OTHER	FALSE	0.999952	0.000094		FALSE	FALSE	0	-	-	-	-	-	-
gene_201	mRNA_201	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_202	mRNA_202	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_203	mRNA_203	OTHER	FALSE	0.999898	0.000132		FALSE	FALSE	0	-	-	-	-	-	-
gene_204	mRNA_204	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_205	mRNA_205	OTHER	FALSE	1.000000	0.000049		FALSE	FALSE	0	-	-	-	-	-	-
gene_206	mRNA_206	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_207	mRNA_207	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_208	mRNA_208	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-
gene_209	mRNA_209	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_210	mRNA_210	SP	TRUE	0.000247	0.999729	CS pos: 22-23. Pr: 0.9788	TRUE	TRUE	3	3.5.1.41:1	CE4(165-290)	CE4_e46(164-291)	CBM18+CE4	CE4_e46	chitin
gene_211	mRNA_211	OTHER	FALSE	0.999986	0.000048		FALSE	FALSE	0	-	-	-	-	-	-
gene_212	mRNA_212	OTHER	FALSE	0.999971	0.000043		FALSE	FALSE	0	-	-	-	-	-	-
gene_213	mRNA_213	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_214	mRNA_214	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_215	mRNA_215	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_216	mRNA_216	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_217	mRNA_217	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_218	mRNA_218	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_219	mRNA_219	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_220	mRNA_220	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_221	mRNA_221	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_222	mRNA_222	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_223	mRNA_223	OTHER	FALSE	1.000000	0.000013		FALSE	FALSE	0	-	-	-	-	-	-
gene_224	mRNA_224	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_225	mRNA_225	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_226	mRNA_226	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_227	mRNA_227	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_228	mRNA_228	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_229	mRNA_229	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_230	mRNA_230	OTHER	FALSE	1.000000	0.000007		FALSE	FALSE	0	-	-	-	-	-	-
gene_231	mRNA_231	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_232	mRNA_232	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_233	mRNA_233	OTHER	FALSE	0.974335	0.025683		FALSE	FALSE	0	-	-	-	-	-	-
